Fund,ISIN,Index,Country,Allocation

Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,LU0524480265,iBoxx EUR Sovereigns Eurozone Yield Plus,Italy,20
Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,LU0524480265,iBoxx EUR Sovereigns Eurozone Yield Plus,Spain,15
Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,LU0524480265,iBoxx EUR Sovereigns Eurozone Yield Plus,France,15
Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,LU0524480265,iBoxx EUR Sovereigns Eurozone Yield Plus,Germany,10
Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,LU0524480265,iBoxx EUR Sovereigns Eurozone Yield Plus,Other,40

ComStage iBoxx EUR Sovereigns Germany Capped 10+ TR UCITS ETF,LU0444607005,iBoxx € Sovereigns Germany Capped 10+,Germany,100

ComStage iBoxx EUR Sovereigns Germany Capped 5-10 TR UCITS ETF,LU0444606965,iBoxx € Sovereigns Germany Capped 5-10,Germany,100

iShares USD Treasury Bond 1-3yr UCITS ETF (Dist),IE00B14X4S71,ICE US Treasury 1-3 Year Bond,United States,100

iShares USD Treasury Bond 20+yr UCITS ETF USD (Acc),IE00BFM6TC58,ICE US Treasury 20+ Year Bond,United States,100

iShares USD Treasury Bond 20+yr EUR Hedged UCITS ETF,IE00BD8PGZ49,ICE US Treasury 20+ Year Bond (EUR Hedged),United States,100

iShares USD Treasury Bond 3-7yr UCITS ETF (Acc),IE00B3VWN393,ICE US Treasury 3-7 Year Bond,United States,100

iShares USD Treasury Bond 7-10yr UCITS ETF (Dist),IE00B1FZS798,ICE US Treasury 7-10 Year Bond,United States,100

iShares USD Treasury Bond 0-1yr UCITS ETF USD (Dist),IE00BGR7L912,ICE US Treasury Short Bond,United States,100

UBS ETF (LU) J.P. Morgan CNY China Government 1-10 Year Bond UCITS ETF (USD) A-acc,LU2095995895,JP Morgan China Government + Policy Bank 20% Capped 1-10 Year,China,100

iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),IE00B2NPKV68,JP Morgan EMBI Global Core,Mexico,15
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),IE00B2NPKV68,JP Morgan EMBI Global Core,Indonesia,12
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),IE00B2NPKV68,JP Morgan EMBI Global Core,Turkey,10
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),IE00B2NPKV68,JP Morgan EMBI Global Core,Brazil,10
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),IE00B2NPKV68,JP Morgan EMBI Global Core,Other,53

iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,JP Morgan EMBI Global Core (Hedged EUR),Mexico,15
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,JP Morgan EMBI Global Core (Hedged EUR),Indonesia,12
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,JP Morgan EMBI Global Core (Hedged EUR),Turkey,10
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,JP Morgan EMBI Global Core (Hedged EUR),Brazil,10
