Fund,ISIN,Index,Sector,Allocation
S&P Global Luxury,N/A,S&P Global Luxury,Consumer Discretionary,60
S&P Global Luxury,N/A,S&P Global Luxury,Consumer Staples,20
S&P Global Luxury,N/A,S&P Global Luxury,Other,20

S&P Global Mining Reduced Coal,N/A,S&P Global Mining Reduced Coal,Materials (Mining),100

S&P Select Sector Capped 20% Technology,N/A,S&P Select Sector Capped 20% Technology,Technology,100

S&P Technology Select Sector,N/A,S&P Technology Select Sector,Technology,100

Shiller Barclays CAPE US Sector Value,N/A,Shiller Barclays CAPE US Sector Value,Financials,30
Shiller Barclays CAPE US Sector Value,N/A,Shiller Barclays CAPE US Sector Value,Consumer Discretionary,25
Shiller Barclays CAPE US Sector Value,N/A,Shiller Barclays CAPE US Sector Value,Industrials,20
Shiller Barclays CAPE US Sector Value,N/A,Shiller Barclays CAPE US Sector Value,Energy,15
Shiller Barclays CAPE US Sector Value,N/A,Shiller Barclays CAPE US Sector Value,Other,10

STOXX Europe 600 Automobiles & Parts,N/A,STOXX Europe 600 Automobiles & Parts,Consumer Discretionary (Automobiles),100

STOXX Europe 600 Banks,N/A,STOXX Europe 600 Banks,Financials (Banking),100

STOXX Europe 600 Basic Resources,N/A,STOXX Europe 600 Basic Resources,Materials (Basic Resources),100

STOXX Europe 600 Food & Beverage,N/A,STOXX Europe 600 Food & Beverage,Consumer Staples (Food & Beverage),100

SXI Real Estate Funds Broad,N/A,SXI Real Estate Funds Broad,Real Estate,100

UBS CMCI,N/A,UBS CMCI,Commodities,100

MSCI AC Asia Pacific ex-Japan,N/A,MSCI AC Asia Pacific ex-Japan,Technology,30
MSCI AC Asia Pacific ex-Japan,N/A,MSCI AC Asia Pacific ex-Japan,Financials,25
MSCI AC Asia Pacific ex-Japan,N/A,MSCI AC Asia Pacific ex-Japan,Industrials,15
MSCI AC Asia Pacific ex-Japan,N/A,MSCI AC Asia Pacific ex-Japan,Consumer Discretionary,12
MSCI AC Asia Pacific ex-Japan,N/A,MSCI AC Asia Pacific ex-Japan,Other,18

MSCI ACWI IMI Robotics & AI ESG Filtered,N/A,MSCI ACWI IMI Robotics & AI ESG Filtered,Technology,60
MSCI ACWI IMI Robotics & AI ESG Filtered,N/A,MSCI ACWI IMI Robotics & AI ESG Filtered,Industrials,30
MSCI ACWI IMI Robotics & AI ESG Filtered,N/A,MSCI ACWI IMI Robotics & AI ESG Filtered,Other,10

MSCI EMU High Dividend Yield,N/A,MSCI EMU High Dividend Yield,Financials,35
MSCI EMU High Dividend Yield,N/A,MSCI EMU High Dividend Yield,Utilities,30
MSCI EMU High Dividend Yield,N/A,MSCI EMU High Dividend Yield,Energy,20
MSCI EMU High Dividend Yield,N/A,MSCI EMU High Dividend Yield,Other,15

MSCI Europe Quality,N/A,MSCI Europe Quality,Technology,35
MSCI Europe Quality,N/A,MSCI Europe Quality,Consumer Discretionary,30
MSCI Europe Quality,N/A,MSCI Europe Quality,Industrials,20
MSCI Europe Quality,N/A,MSCI Europe Quality,Other,15

MSCI Europe Small Cap SRI S-Series 5% Capped,N/A,MSCI Europe Small Cap SRI S-Series 5% Capped,Industrials,40
MSCI Europe Small Cap SRI S-Series 5% Capped,N/A,MSCI Europe Small Cap SRI S-Series 5% Capped,Technology,25
MSCI Europe Small Cap SRI S-Series 5% Capped,N/A,MSCI Europe Small Cap SRI S-Series 5% Capped,Financials,20
MSCI Europe Small Cap SRI S-Series 5% Capped,N/A,MSCI Europe Small Cap SRI S-Series 5% Capped,Other,15

MSCI Europe Value,N/A,MSCI Europe Value,Financials,40
MSCI Europe Value,N/A,MSCI Europe Value,Energy,30
MSCI Europe Value,N/A,MSCI Europe Value,Industrials,20
MSCI Europe Value,N/A,MSCI Europe Value,Other,10

MSCI Pacific,N/A,MSCI Pacific,Technology,30
MSCI Pacific,N/A,MSCI Pacific,Financials,25
MSCI Pacific,N/A,MSCI Pacific,Industrials,15
MSCI Pacific,N/A,MSCI Pacific,Consumer Discretionary,12
MSCI Pacific,N/A,MSCI Pacific,Other,18

MSCI USA Leveraged 2x Daily,N/A,MSCI USA Leveraged 2x Daily,Technology,50
MSCI USA Leveraged 2x Daily,N/A,MSCI USA Leveraged 2x Daily,Financials,30
MSCI USA Leveraged 2x Daily,N/A,MSCI USA Leveraged 2x Daily,Industrials,20

MSCI World Energy,N/A,MSCI World Energy,Energy,100

MSCI World Information Technology,N/A,MSCI World Information Technology,Technology,100

MSCI World Materials,N/A,MSCI World Materials,Materials,100

MSCI World Utilities,N/A,MSCI World Utilities,Utilities,100

Nasdaq-100 Leveraged Notional Net,N/A,Nasdaq-100 Leveraged Notional Net,Technology,60
Nasdaq-100 Leveraged Notional Net,N/A,Nasdaq-100 Leveraged Notional Net,Consumer Discretionary,25
Nasdaq-100 Leveraged Notional Net,N/A,Nasdaq-100 Leveraged Notional Net,Other,15

Northern Trust MSCI World Custom ESG,N/A,Northern Trust MSCI World Custom ESG,Technology,35
Northern Trust MSCI World Custom ESG,N/A,Northern Trust MSCI World Custom ESG,Financials,20
Northern Trust MSCI World Custom ESG,N/A,Northern Trust MSCI World Custom ESG,Industrials,15
Northern Trust MSCI World Custom ESG,N/A,Northern Trust MSCI World Custom ESG,Consumer Discretionary,10
Northern Trust MSCI World Custom ESG,N/A,Northern Trust MSCI World Custom ESG,Other,20

NYSE Arca Gold BUGS,N/A,NYSE Arca Gold BUGS,Materials (Gold Mining),100

Russell 1000 Growth,N/A,Russell 1000 Growth,Technology,50
Russell 1000 Growth,N/A,Russell 1000 Growth,Consumer Discretionary,30
Russell 1000 Growth,N/A,Russell 1000 Growth,Industrials,10
Russell 1000 Growth,N/A,Russell 1000 Growth,Other,10

S&P 500 Health Care Sector,N/A,S&P 500 Health Care Sector,Health Care,100

S&P 500 Leverage 2x Daily,N/A,S&P 500 Leverage 2x Daily,Technology,50
S&P 500 Leverage 2x Daily,N/A,S&P 500 Leverage 2x Daily,Consumer Discretionary,30
S&P 500 Leverage 2x Daily,N/A,S&P 500 Leverage 2x Daily,Industrials,10
S&P 500 Leverage 2x Daily,N/A,S&P 500 Leverage 2x Daily,Other,10

