Date,BNP Paribas Easy ESG Dividend Europe
08/2017,10000
09/2017,10436.647785838397
10/2017,10616.097460414068
11/2017,10533.146161170938
12/2017,10713.97017679916
01/2018,10632.589553044656
02/2018,10556.804460718387
03/2018,10481.608371700353
04/2018,10928.956384305025
05/2018,10728.69525950504
06/2018,10432.42659546271
07/2018,10658.11302973485
08/2018,10378.336458323107
09/2018,10380.790638774088
10/2018,9617.010415541834
11/2018,9308.23524792131
12/2018,8630.478957856812
01/2019,9435.636663492593
02/2019,9721.843187685903
03/2019,9578.676116897524
04/2019,10032.100680298821
05/2019,8938.056485417259
06/2019,9228.798335083982
07/2019,9184.60345352273
08/2019,8960.811646558748
09/2019,9618.963943180814
10/2019,9960.4386111302
11/2019,10140.08462014195
12/2019,10562.792661018779
01/2020,10223.723089911355
02/2020,9042.88925756133
03/2020,6770.759912434841
04/2020,7563.941217469836
05/2020,7649.808083088733
06/2020,7784.395339020488
07/2020,7322.744362747504
08/2020,7692.167237672651
09/2020,7491.886479429059
10/2020,7212.551660498493
11/2020,8778.36787183288
12/2020,9092.002316746346
01/2021,9277.84267721637
02/2021,9669.70657818528
03/2021,10525.979954254077
04/2021,10692.569723266612
05/2021,11058.733446552858
06/2021,11195.284046845396
07/2021,11115.47409857952
08/2021,11267.535119322252
09/2021,11254.773380977156
10/2021,11456.50701404773
11/2021,11007.293824300312
12/2021,11679.641100650848
01/2022,11508.142970736351
02/2022,10955.068864303454
03/2022,10849.440937693265
04/2022,10865.540361451696
05/2022,10789.264433035232
06/2022,9743.97007863194
07/2022,10335.535551258012
08/2022,9799.061521395544
09/2022,9103.546781587756
10/2022,9821.237495950603
11/2022,10490.93425741408
12/2022,10185.437874876063
01/2023,10766.391471232097
02/2023,11037.33299302031
03/2023,10748.42687033092
04/2023,11078.465057378738
05/2023,10702.877281160729
06/2023,10911.286285057968
07/2023,11474.667949384982
08/2023,11135.696545495597
09/2023,11188.60867601873
10/2023,10897.052038442282
11/2023,11589.940805167522
12/2023,11946.7207240814
01/2024,12056.66555410486
02/2024,12118.25419419439
03/2024,12475.996151845053
04/2024,12392.51573129669
05/2024,13056.276321085335
06/2024,12734.861142470083
07/2024,13211.19597121737
08/2024,13294.436863753719
09/2024,13390.909715609567
