Date,BNP Paribas Easy ESG Low Vol Europe
06/2016,10000
07/2016,10174.891799280875
08/2016,10258.796401558975
09/2016,10333.344735237719
10/2016,9992.655832174698
11/2016,9967.122273351939
12/2016,10397.329539852673
01/2017,10288.173072860181
02/2017,10673.590976130448
03/2017,10997.13678059852
04/2017,11173.396808405752
05/2017,11595.535550802526
06/2017,11256.597175412933
07/2017,11082.85227357327
08/2017,11030.738863525241
09/2017,11349.656836212986
10/2017,11684.067984860954
11/2017,11529.840460529625
12/2017,11607.809365524263
01/2018,11495.131722177173
02/2018,11106.59506270712
03/2018,11038.78726662146
04/2018,11482.95851249414
05/2018,11679.440153080626
06/2018,11794.532317356583
07/2018,12070.49193851825
08/2018,12062.141720305919
09/2018,12141.519095842395
10/2018,11604.992424440585
11/2018,11772.499813880679
12/2018,11303.479123448418
01/2019,11726.322101116111
02/2019,12174.416943498198
03/2019,12661.948961051765
04/2019,12842.031980329702
05/2019,12654.906608342571
06/2019,13096.663333286384
07/2019,13148.474928218304
08/2019,13228.154118870889
09/2019,13572.022141156918
10/2019,13621.620425237377
11/2019,13904.219978953426
12/2019,14077.059435444764
01/2020,14139.233349363069
02/2020,13055.717082534362
03/2020,11527.727754716867
04/2020,12004.394428090536
05/2020,12326.833577132877
06/2020,12642.733398659539
07/2020,12618.890004486984
08/2020,13015.173251937149
09/2020,12990.02199226146
10/2020,12334.177744958179
11/2020,13305.82120874942
12/2020,13411.054079232505
01/2021,13179.561885177454
02/2021,13143.142861167058
03/2021,14244.164404730047
04/2021,14409.961508512191
05/2021,14869.52532530639
06/2021,15340.65872155141
07/2021,15832.013730575682
08/2021,16058.676882772996
09/2021,15505.047354791717
10/2021,15993.283607616204
11/2021,16223.367331129411
12/2021,17135.855032163432
01/2022,16193.7894497508
02/2022,15627.584291931678
03/2022,15878.795073572464
04/2022,16091.775940506204
05/2022,15530.098009428704
06/2022,14542.25713440632
07/2022,15661.488189974507
08/2022,14941.558533017567
09/2022,14006.937723468942
10/2022,14708.356053304577
11/2022,15390.65942578668
12/2022,14824.655478044962
01/2023,15631.306678363679
02/2023,15927.4879123046
03/2023,16166.626089301057
04/2023,16673.574879324256
05/2023,16176.585988132629
06/2023,16354.556301597811
07/2023,16533.331455372612
08/2023,16102.842494763507
09/2023,15886.038636359062
10/2023,15385.52856881284
11/2023,16176.297251671553
12/2023,16686.517717553364
01/2024,17015.26782067353
02/2024,17055.385085906644
03/2024,17452.79108558873
04/2024,17044.884938017236
05/2024,17651.764712983888
06/2024,17703.998849078358
07/2024,18468.118263235097
08/2024,19003.64793870336
09/2024,19047.805502290776
