Date,BNP Paribas Easy ESG Momentum Europe
06/2016,10000
07/2016,10432.513773436516
08/2016,10470.701645381228
09/2016,10630.265023831296
10/2016,10428.694986242046
11/2016,10343.339931922377
12/2016,10779.920197668682
01/2017,10862.79820083518
02/2017,11241.9934481997
03/2017,11651.532572190561
04/2017,11974.684537214598
05/2017,12057.975382239956
06/2017,11788.492858867947
07/2017,12032.998449778821
08/2017,12192.665038693603
09/2017,12609.016053355683
10/2017,13079.03650966979
11/2017,12555.243401238939
12/2017,12745.769919103639
01/2018,12968.910943818417
02/2018,12442.640784234396
03/2018,12374.521877522206
04/2018,12955.080741546548
05/2018,13230.652682336768
06/2018,12921.227709119883
07/2018,13269.76944846392
08/2018,13007.51165762199
09/2018,12817.191560686722
10/2018,11814.398685511522
11/2018,11548.528528404553
12/2018,11075.721389543129
01/2019,11970.349697696549
02/2019,12090.899520484181
03/2019,12498.477645645447
04/2019,12524.796314147885
05/2019,12198.754456111814
06/2019,12664.233651978442
07/2019,12692.822950704618
08/2019,12400.840546024643
09/2019,12697.157790222667
10/2019,12667.639597314052
11/2019,13127.85505948019
12/2019,13416.637939753988
01/2020,13560.616538032025
02/2020,12504.56706306366
03/2020,10583.304262385773
04/2020,11398.873354567168
05/2020,11851.348031879648
06/2020,12125.681447093284
07/2020,12145.807487712795
08/2020,12601.791320825601
09/2020,12397.847442547896
10/2020,11813.882633187945
11/2020,12945.791799722158
12/2020,13158.921409359538
01/2021,13033.623905194996
02/2021,13232.71689163108
03/2021,14151.599658992625
04/2021,14523.983015685928
05/2021,15019.909298643606
06/2021,15236.960905940176
07/2021,15582.303120878032
08/2021,15849.515014026303
09/2021,15462.578981808125
10/2021,15908.964241702395
11/2021,15525.53736528454
12/2021,16214.467217260093
01/2022,15227.981595509933
02/2022,14451.838900849836
03/2022,14728.133314893064
04/2022,14317.35566532562
05/2022,14075.533546497347
06/2022,13022.68359593516
07/2022,14127.96446257279
08/2022,13478.667429047966
09/2022,12576.401546505604
10/2022,13122.69453624442
11/2022,14092.769694104825
12/2022,13636.682650527304
01/2023,14434.809174171789
02/2023,14744.130936923957
03/2023,14809.876002947693
04/2023,14931.045088523617
05/2023,14599.636286322346
06/2023,15037.661498574667
07/2023,15294.655555716106
08/2023,14853.224398128175
09/2023,14529.659591245274
10/2023,14052.001560542227
11/2023,15190.945552351443
12/2023,15631.539673070532
01/2024,16020.942435395411
02/2024,16571.750882965527
03/2024,17296.496830406628
04/2024,17218.66788317401
05/2024,18169.84830125896
06/2024,18182.124153932218
07/2024,18409.58350449069
08/2024,18567.85365581787
09/2024,18536.51379820703
