Date,BNP Paribas Easy ESG Quality Europe
06/2016,10000
07/2016,10451.570762311689
08/2016,10457.81137538952
09/2016,10490.366573612191
10/2016,10234.605447639176
11/2016,10184.347710319062
12/2016,10651.582411456102
01/2017,10695.266703000902
02/2017,11046.509209064698
03/2017,11457.141549585831
04/2017,11662.145689192506
05/2017,11736.408984818669
06/2017,11353.027321404054
07/2017,11414.705380656595
08/2017,11315.687653155046
09/2017,11617.733326121957
10/2017,11887.639841738051
11/2017,11514.97123077371
12/2017,11818.473046792116
01/2018,11933.924388731948
02/2018,11560.111665370005
03/2018,11457.869621111577
04/2018,12092.74799156269
05/2018,12509.204904289796
06/2018,12393.961582785892
07/2018,12559.129808912427
08/2018,12342.476524893806
09/2018,12304.304774901086
10/2018,11529.11662041679
11/2018,11345.01853462084
12/2018,10927.521519714097
01/2019,11765.427835630571
02/2019,12172.835859394827
03/2019,12508.16480211016
04/2019,12784.415941022045
05/2019,12285.166894795744
06/2019,12461.152183590515
07/2019,12496.515657698212
08/2019,12426.620791226529
09/2019,12755.91714129996
10/2019,12750.612620183807
11/2019,13104.351371478733
12/2019,13301.138703866267
01/2020,13351.583659578717
02/2020,12269.981402973028
03/2020,10649.294186660896
04/2020,11451.837028469676
05/2020,11908.857926202669
06/2020,12108.141503821334
07/2020,12033.150136669427
08/2020,12594.805313674015
09/2020,12566.514534387858
10/2020,12067.993559687304
11/2020,13341.494668436224
12/2020,13596.527722883498
01/2021,13593.823457216437
02/2021,13793.835106360848
03/2021,14771.115114348833
04/2021,15191.524415358565
05/2021,15678.91629673699
06/2021,16092.876964232966
07/2021,16464.81750367156
08/2021,16892.29949950283
09/2021,16237.555177420629
10/2021,16587.757581304788
11/2021,16455.768614708708
12/2021,17136.4114810639
01/2022,16043.784141354046
02/2022,15338.594863559396
03/2022,15210.558285245945
04/2022,14818.959814612186
05/2022,14594.921805118134
06/2022,13555.65170722372
07/2022,14788.48482074879
08/2022,13791.858912219535
09/2022,12863.359696456579
10/2022,13670.58299807373
11/2022,14777.147706990736
12/2022,14186.057638302385
01/2023,15143.15966400539
02/2023,15269.844109485315
03/2023,15564.713077412722
04/2023,15886.312671356833
05/2023,15750.47532669609
06/2023,16043.992161789973
07/2023,16529.511859245053
08/2023,16053.041050752825
09/2023,15760.564317838584
10/2023,15262.667404445812
11/2023,16379.315903994408
12/2023,17181.309571852336
01/2024,17380.323763006476
02/2024,17424.20671406759
03/2024,17813.975644967362
04/2024,17387.29452781441
05/2024,18194.708168130437
06/2024,17996.2098676574
07/2024,18096.34466489988
08/2024,18419.77587878233
09/2024,18578.52251405178
