Date,BNP Paribas Equity Value US
01/2000,10000
02/2000,9594.157435545534
03/2000,10409.763748652093
04/2000,10417.606117047348
05/2000,10447.995294578963
06/2000,10682.286050387216
07/2000,10316.635623958435
08/2000,11207.724732869327
09/2000,10822.468385452406
10/2000,10977.3551612587
11/2000,10174.492696794432
12/2000,10524.458386432701
01/2001,11717.478678560925
02/2001,10936.182727183608
03/2001,10265.660229389276
04/2001,11103.813351632192
05/2001,11187.13851583178
06/2001,11292.03019311832
07/2001,11276.34545632781
08/2001,10851.877266934614
09/2001,9504.950495049503
10/2001,9843.152632094892
11/2001,10825.409273600626
12/2001,11022.448779531418
01/2002,11266.54249583374
02/2002,11245.956278796197
03/2002,12007.646309185373
04/2002,11690.030389177531
05/2002,11657.680619547102
06/2002,10878.345260268601
07/2002,9859.81766493481
08/2002,9946.083717282618
09/2002,8819.723556514067
10/2002,9340.260758749142
11/2002,10251.936084697578
12/2002,9880.403881972356
01/2003,9635.329869620626
02/2003,9364.768159984314
03/2003,9427.507107146357
04/2003,10225.468091363591
05/2003,11318.498186452309
06/2003,11636.11410646015
07/2003,11900.79403980002
08/2003,12395.843544750514
09/2003,12226.252328203116
10/2003,12958.533477110086
11/2003,13250.661699833347
12/2003,14187.824723066366
01/2004,14580.92343887854
02/2004,14819.13537888442
03/2004,14794.627977649247
04/2004,14366.238604058424
05/2004,14323.105577884522
06/2004,14855.406332712479
07/2004,14456.425840603863
08/2004,14449.563768258013
09/2004,14974.022154690716
10/2004,15411.234192726202
11/2004,16460.15096559161
12/2004,17099.30398980492
01/2005,16784.628957945297
02/2005,17423.781982158613
03/2005,17246.34839721596
04/2005,16564.06234682874
05/2005,17320.850896970886
06/2005,17866.875796490538
07/2005,18816.782668365846
08/2005,18648.171747867855
09/2005,18905.009312812468
10/2005,17964.90540143123
11/2005,18928.536417998235
12/2005,19015.782766395452
01/2006,20268.601117537495
02/2006,19899.029506911087
03/2006,20351.926281737087
04/2006,20932.26154298598
05/2006,20428.38937359082
06/2006,20704.832859523576
07/2006,20754.827958043326
08/2006,20993.03989804921
09/2006,21315.557298304087
10/2006,22141.94686795412
11/2006,22657.58258994216
12/2006,22841.878247230663
01/2007,23677.09048132536
02/2007,23449.661797862955
03/2007,23198.70600921478
04/2007,24443.68199196157
05/2007,25735.712185079887
06/2007,24910.302911479266
07/2007,22736.006273894716
08/2007,22433.094794627978
09/2007,22942.848740319576
10/2007,22405.646505244582
11/2007,21002.842858543278
12/2007,20849.9166748358
