Date,Bitcoin
08/2011,10000
09/2011,6447.548692883064
10/2011,4257.28519391472
11/2011,4294.185049932927
12/2011,6393.5582347940335
01/2012,7265.577565270188
02/2012,6704.744104738527
03/2012,6626.703354297695
04/2012,6834.607234751023
05/2012,7529.075626864468
06/2012,9483.171167593331
07/2012,13645.39238033214
08/2012,14551.97843152803
09/2012,17070.668986852284
10/2012,15291.887939659817
11/2012,17289.147928538427
12/2012,18125.473700166745
01/2013,27273.708487084874
02/2013,46129.608119430275
03/2013,135627.44045294807
04/2013,193282.0149938801
05/2013,177639.11848377672
06/2013,123634.22209480124
07/2013,133723.72881355934
08/2013,174688.3264072535
09/2013,168855.28507960014
10/2013,269514.05688732496
11/2013,1485660.8625376534
12/2013,958723.0802697411
01/2014,1073112.4223142941
02/2014,721676.1836675595
03/2014,595834.5572236729
04/2014,585368.4566787005
05/2014,833367.9356213713
06/2014,847858.352247767
07/2014,785790.9783989835
08/2014,656101.0009099182
09/2014,561397.3714535484
10/2014,487459.627515171
11/2014,545521.3590483058
12/2014,477560.5386706203
01/2015,346550.7518796993
02/2015,407322.23087188613
03/2015,410036.71344920533
04/2015,380415.7378510923
05/2015,376908.55742935283
06/2015,423756.032710698
07/2015,468287.6470320051
08/2015,370204.7481052163
09/2015,380823.2169954477
10/2015,508543.72787510225
11/2015,643191.6414594952
12/2015,714884.782309176
01/2016,609510.1304945055
02/2016,722018.9084313007
03/2016,657865.2832674573
04/2016,710223.8994124354
05/2016,861247.9827864446
06/2016,1086727.3351648352
07/2016,1013941.2737334655
08/2016,926084.4300215596
09/2016,984334.2330436341
10/2016,1150168.3834277361
11/2016,1260315.8204043256
12/2016,1655800.5644625747
01/2017,1618974.3723849375
02/2017,2030407.7215249601
03/2017,1808294.301281452
04/2017,2231305.409423605
05/2017,3699118.2269851174
06/2017,3902288.216351209
07/2017,4398658.49108894
08/2017,7231507.082452432
09/2017,6618668.526596647
10/2017,9986073.047344906
11/2017,15164131.097560978
12/2017,20904485.95013758
01/2018,14715927.791603114
02/2018,15254043.003929919
03/2018,10157308.558558559
04/2018,13820406.956287773
05/2018,11567596.162065135
06/2018,9893797.124292333
07/2018,11889960.751107704
08/2018,10878970.420993907
09/2018,10294829.226416726
10/2018,10059446.401749428
11/2018,6314576.217096577
12/2018,5826221.069868997
01/2019,5366408.371779248
02/2019,5998724.597056763
03/2019,6585264.35246996
04/2019,8483803.931182032
05/2019,13844839.02788988
06/2019,17078585.78646749
07/2019,16336333.400591878
08/2019,15702639.939742662
09/2019,13765336.865185052
10/2019,14817387.42827685
11/2019,12418865.131578946
12/2019,11525592.175538545
01/2020,15244687.895855956
02/2020,14032276.919923479
03/2020,10586148.343373496
04/2020,14327966.853622656
05/2020,15321642.140355606
06/2020,14731567.244150743
07/2020,17313564.842167452
08/2020,17631359.924623117
09/2020,16628083.25503929
10/2020,21332958.197982565
11/2020,29702394.146494154
12/2020,42676413.44429957
01/2021,49325657.23879367
02/2021,67417279.1023843
03/2021,90555253.8379531
04/2021,86373598.27636154
05/2021,55280650.612654716
06/2021,53253110.642460465
07/2021,63023755.20351527
08/2021,71975399.3260943
09/2021,68378909.39416185
10/2021,95174313.86861314
11/2021,90565435.40438266
12/2021,73701841.61442699
01/2022,62321647.99211188
02/2022,69641961.44745068
03/2022,74061407.92496172
04/2022,64503689.51612904
05/2022,53553145.944179974
06/2022,34648438.01145663
07/2022,41308413.230535395
08/2022,36231568.75
09/2022,35993440.96224867
10/2022,37345685.394391775
11/2022,29889468.484965306
12/2022,27989593.099568725
01/2023,38561011.49266132
02/2023,39353423.10952067
03/2023,47296344.82758621
04/2023,48088260.40433476
05/2023,46021079.05082842
06/2023,50648473.44929137
07/2023,47898479.31597569
08/2023,43098707.21383879
09/2023,45976342.74117426
10/2023,58956993.36095677
11/2023,62327274.49455678
12/2023,69075576.92307693
01/2024,70933272.58466364
02/2024,102043281.2211343
03/2024,119099557.16399966
04/2024,102180024.25825715
05/2024,112311399.97235535
06/2024,105752942.5502102
07/2024,107781146.10269672
08/2024,96066694.10119961
09/2024,102125078.15291177
