Date,Bloomberg Barclays EUR Non-Government Float Adjusted Bond
06/2008,10000
07/2008,10123
08/2008,10218.156200000001
09/2008,9993.3567636
10/2008,9927.40060896024
11/2008,10122.970400956758
12/2008,10198.892678963934
01/2009,10236.6285818761
02/2009,10212.060673279599
03/2009,10224.315146087534
04/2009,10393.016345997978
05/2009,10536.43997157275
06/2009,10707.130299112228
07/2009,11005.859234457459
08/2009,11133.527201577166
09/2009,11290.509935119404
10/2009,11350.349637775538
11/2009,11440.017399913964
12/2009,11417.137365114137
01/2010,11570.127005806668
02/2010,11647.646856745572
03/2010,11755.969972513307
04/2010,11793.58907642535
05/2010,11782.97484625657
06/2010,11787.68803619507
07/2010,11876.095696466535
08/2010,12137.369801788798
09/2010,12053.621950156456
10/2010,12033.13079284119
11/2010,11868.276900979265
12/2010,11825.551104135739
01/2011,11751.050132179686
02/2011,11838.007903157817
03/2011,11797.75867628708
04/2011,11898.039625035519
05/2011,12017.020021285873
06/2011,11976.162153213501
07/2011,12112.690401760137
08/2011,12100.577711358377
09/2011,12048.545227199536
10/2011,12176.25980660785
11/2011,11882.8119452686
12/2011,12143.045526869984
01/2012,12435.69292406755
02/2012,12628.446164390598
03/2012,12744.627869102993
04/2012,12775.21497598884
05/2012,12850.588744347175
06/2012,12770.915094132222
07/2012,13049.321043184304
08/2012,13195.473438867968
09/2012,13285.202658252272
10/2012,13419.38320510062
11/2012,13533.447962343975
12/2012,13663.369062782476
01/2013,13540.398741217432
02/2013,13697.467366615554
03/2013,13770.063943658617
04/2013,13968.352864447304
05/2013,13915.273123562403
06/2013,13692.628753585403
07/2013,13785.738629109785
08/2013,13749.895708674097
09/2013,13846.144978634815
10/2013,13992.914115408343
11/2013,14036.29214916611
12/2013,13968.917946850113
01/2014,14157.49833913259
02/2014,14229.70158066217
03/2014,14290.889297459014
04/2014,14396.64187826021
05/2014,14531.970311915858
06/2014,14635.147301130462
07/2014,14702.46897871566
08/2014,14884.779594051734
09/2014,14920.503065077457
10/2014,14989.137379176813
11/2014,15067.080893548537
12/2014,15125.842509033375
01/2015,15258.949923112867
02/2015,15342.87414768999
03/2015,15391.9713449626
04/2015,15315.011488237786
05/2015,15224.652920457183
06/2015,14964.311355517364
07/2015,15127.422349292501
08/2015,15050.272495311112
09/2015,14996.091514327993
10/2015,15140.05399286554
11/2015,15224.838295225589
12/2015,15106.08455652283
01/2016,15234.486275253275
02/2016,15335.033884669945
03/2016,15451.58014219344
04/2016,15456.215616236097
05/2016,15530.405451194027
06/2016,15677.944302980373
07/2016,15878.62199005852
08/2016,15915.142820635654
09/2016,15918.325849199779
10/2016,15786.203744651422
11/2016,15606.241021962396
12/2016,15670.22661015244
01/2017,15585.60738645762
02/2017,15728.99497441303
03/2017,15677.089290997465
04/2017,15738.229939232357
05/2017,15785.444629050053
06/2017,15704.938861441897
07/2017,15769.32911077381
08/2017,15879.714414549224
09/2017,15843.191071395762
10/2017,15982.611152824042
11/2017,15977.816369478198
12/2017,15936.274046917553
01/2018,15850.218167064198
02/2018,15851.803188880906
03/2018,15888.26233621533
04/2018,15878.729378813601
05/2018,15873.965759999957
06/2018,15883.490139455957
07/2018,15896.196931567518
08/2018,15923.220466351186
09/2018,15861.119906532414
10/2018,15853.189346579147
11/2018,15802.459140670095
12/2018,15845.125780349903
01/2019,15981.393862060911
02/2019,16048.515716281569
03/2019,16265.170678451368
04/2019,16331.85787823302
05/2019,16382.486637655544
06/2019,16610.203201918957
07/2019,16809.52564034198
08/2019,16991.068517257674
09/2019,16870.431930785144
10/2019,16777.644555165825
11/2019,16737.37820823343
12/2019,16680.471122325434
01/2020,16898.9852940279
02/2020,16907.434786674916
03/2020,16062.06304734117
04/2020,16447.552560477357
05/2020,16495.25046290274
06/2020,16665.151542670636
07/2020,16843.468664177213
08/2020,16826.625195513036
09/2020,16900.66234637329
10/2020,17012.206717859353
11/2020,17121.08484085365
12/2020,17146.766468114933
01/2021,17114.187611825517
02/2021,16943.04573570726
03/2021,16956.60017229582
04/2021,16931.16527203738
05/2021,16907.46164065653
06/2021,16958.184025578495
07/2021,17149.811505067533
08/2021,17100.07705170284
09/2021,16956.436404468535
10/2021,16847.91521147994
11/2021,16930.46999601619
12/2021,16850.896787034915
01/2022,16643.630756554383
02/2022,16200.910178430038
03/2022,15910.913886236138
04/2022,15454.270657701161
05/2022,15288.90996166376
06/2022,14814.953752852183
07/2022,15432.737324346117
08/2022,14767.586345666801
09/2022,14252.197582203027
10/2022,14257.898461235909
11/2022,14622.900661843547
12/2022,14301.19684728299
01/2023,14581.500305489737
02/2023,14330.698500235314
03/2023,14524.162929988492
04/2023,14592.426495759439
05/2023,14631.826047297985
06/2023,14576.225108318253
