Date,Bloomberg Barclays Euro Corporate Bond 1-5Y
09/2009,10000
10/2009,10066.055700792995
11/2009,10138.0559993889
12/2009,10150.122528535476
01/2010,10273.534353932733
02/2010,10331.301077710072
03/2010,10406.378138074717
04/2010,10446.01352561164
05/2010,10397.765192052673
06/2010,10416.94980011331
07/2010,10506.536121893492
08/2010,10620.146816872382
09/2010,10608.941224680537
10/2010,10625.350985051062
11/2010,10561.102596175955
12/2010,10568.097088017354
01/2011,10519.583598592684
02/2011,10585.969725915964
03/2011,10570.952505736344
04/2011,10633.48259717677
05/2011,10711.145945533846
06/2011,10696.545086625549
07/2011,10783.989497403665
08/2011,10697.023142086677
09/2011,10593.869761300213
10/2011,10755.606692963229
11/2011,10561.147202764076
12/2011,10729.020967748973
01/2012,10975.657251004064
02/2012,11115.847710405924
03/2012,11193.470426035736
04/2012,11199.785387670543
05/2012,11181.951792954857
06/2012,11195.090668453766
07/2012,11378.63445961061
08/2012,11475.28928639066
09/2012,11556.738929372545
10/2012,11653.772663785334
11/2012,11721.31816501372
12/2012,11797.47243971025
01/2013,11711.676088376165
02/2013,11815.289940289464
03/2013,11851.13625149898
04/2013,11959.529068479233
05/2013,11973.409565760629
06/2013,11861.857430052327
07/2013,11938.215563810832
08/2013,11940.640612398982
09/2013,11995.407965347777
10/2013,12082.867178757586
11/2013,12114.703765015594
12/2013,12104.163397131253
01/2014,12182.121109231333
02/2014,12222.01718204049
03/2014,12250.842475887384
04/2014,12307.805784345905
05/2014,12367.530330021098
06/2014,12403.43187789653
07/2014,12432.595347302378
08/2014,12492.062188100977
09/2014,12522.803677653246
10/2014,12542.368087465315
11/2014,12561.66008911562
12/2014,12584.071770231923
01/2015,12622.492249158257
02/2015,12663.88696424321
03/2015,12649.360118493381
04/2015,12637.762107541876
05/2015,12646.87109074543
06/2015,12573.258000720602
07/2015,12630.407385213764
08/2015,12599.82365793753
09/2015,12553.413533064617
10/2015,12642.856696507417
11/2015,12699.003873292375
12/2015,12657.101497482903
01/2016,12678.787054874063
02/2016,12702.979721080073
03/2016,12714.622139926658
04/2016,12747.284792510372
05/2016,12771.662739978849
06/2016,12804.575149717442
07/2016,12890.69219162271
08/2016,12912.515343946056
09/2016,12911.78226596441
10/2016,12895.513975040401
11/2016,12874.830128624837
12/2016,12914.074190213838
01/2017,12894.934784820454
02/2017,12977.221819631484
03/2017,12933.302411397384
04/2017,12968.028292538193
05/2017,12996.321287723254
06/2017,12956.579599408402
07/2017,13025.767596675618
08/2017,13051.42522668666
09/2017,13043.928836218987
10/2017,13105.282863538703
11/2017,13086.422423177499
12/2017,13063.548780736537
01/2018,13055.733487935067
02/2018,13070.87578538517
03/2018,13057.69746931725
04/2018,13066.203419135712
05/2018,13053.832889633559
06/2018,13047.930315409212
07/2018,13065.439643078946
08/2018,13069.60265971302
09/2018,13056.468552847138
10/2018,13048.775853653118
11/2018,12990.597537237489
12/2018,13002.200416168542
01/2019,13058.534165720746
02/2019,13113.19670808943
03/2019,13200.633171145833
04/2019,13252.826455724331
05/2019,13229.442172163212
06/2019,13326.73251864086
07/2019,13398.670924353914
08/2019,13433.758327486214
09/2019,13374.312051417548
10/2019,13364.957582959538
11/2019,13349.689314120258
12/2019,13361.911121879833
01/2020,13417.706015899796
02/2020,13381.47235260322
03/2020,12805.599909086013
04/2020,13053.427357133072
05/2020,13098.119979343473
06/2020,13210.8589085968
07/2020,13327.232430336706
08/2020,13361.399685987504
09/2020,13376.436676124888
10/2020,13430.482972021131
11/2020,13505.21549864945
12/2020,13510.394929544293
01/2021,13512.247344782909
02/2021,13488.73679179305
03/2021,13515.064216051587
04/2021,13527.05931504925
05/2021,13524.129288092665
06/2021,13542.72179088557
07/2021,13603.052350341495
08/2021,13579.16517468889
09/2021,13555.835134328467
10/2021,13491.124486089142
11/2021,13495.32724133179
12/2021,13500.018284727272
01/2022,13421.245732458408
02/2022,13246.095828243853
03/2022,13136.204965066934
04/2022,12950.942777128887
05/2022,12880.657298839415
06/2022,12599.650596297195
07/2022,12940.087282078563
08/2022,12605.177243284441
09/2022,12340.141884913673
10/2022,12335.1101822962
11/2022,12518.554924971173
12/2022,12419.452199903046
01/2023,12588.16832404316
02/2023,12484.12062587077
03/2023,12571.653455052958
04/2023,12638.43339198719
05/2023,12657.476629947829
06/2023,12599.437498008725
07/2023,12728.081308610661
08/2023,12766.934342291306
09/2023,12737.482668626788
10/2023,12796.132483633133
11/2023,12978.250751553955
12/2023,13212.816730494656
01/2024,13244.889066048025
02/2024,13169.070483247411
03/2024,13276.731613097318
04/2024,13229.364085797366
05/2024,13276.82122365965
06/2024,13360.392212913664
07/2024,13524.051897152469
08/2024,13585.741020288975
09/2024,13724.696801122482
