Date,Bloomberg Barclays Euro Government Bond 5 Year Term
12/2006,10000
01/2007,9997.897789823854
02/2007,10070.402288355697
03/2007,10055.911576677427
04/2007,10057.723819900059
05/2007,9994.882173696775
06/2007,9986.313881309854
07/2007,10083.479536727655
08/2007,10202.095110708047
09/2007,10220.848216034585
10/2007,10261.536929547163
11/2007,10368.206086084838
12/2007,10335.020141902352
01/2008,10582.725969282614
02/2008,10676.97758743335
03/2008,10599.2682524175
04/2008,10536.68753628292
05/2008,10414.070599196617
06/2008,10317.24554945186
07/2008,10487.314583791473
08/2008,10592.222236299698
09/2008,10723.030589112275
10/2008,10946.713267283229
11/2008,11157.463680558982
12/2008,11309.990015631993
01/2009,11382.581624818267
02/2009,11477.630601854344
03/2009,11578.246823829491
04/2009,11608.047509327045
05/2009,11562.306277383654
06/2009,11649.96129805244
07/2009,11748.613059225409
08/2009,11767.047261187272
09/2009,11836.413063370952
10/2009,11871.701217729584
11/2009,11947.649048715986
12/2009,11914.245679555188
01/2010,11997.464286214145
02/2010,12131.107000689439
03/2010,12180.704712735636
04/2010,12214.869270267818
05/2010,12309.142590726928
06/2010,12310.628696482096
07/2010,12374.028473810384
08/2010,12508.642567532585
09/2010,12442.488104145921
10/2010,12411.346396843608
11/2010,12237.63840785315
12/2010,12249.787782068595
01/2011,12173.535415449449
02/2011,12192.651029704703
03/2011,12149.838403707607
04/2011,12192.245116159245
05/2011,12280.168300999523
06/2011,12303.589914467084
07/2011,12306.156011484662
08/2011,12626.424511640038
09/2011,12659.132000301863
10/2011,12538.160520179414
11/2011,12315.521763230568
12/2011,12708.881929927607
01/2012,12946.692911321765
02/2012,13126.707530840662
03/2012,13083.082977278998
04/2012,13052.079019350653
05/2012,12978.131920154032
06/2012,13032.753113746228
07/2012,13123.104746703768
08/2012,13276.870725668825
09/2012,13414.964322359536
10/2012,13492.492503384685
11/2012,13611.057338171893
12/2012,13675.363287348322
01/2013,13630.32517000669
02/2013,13678.096170624674
03/2013,13721.162492587682
04/2013,13930.267348425927
05/2013,13850.825546265438
06/2013,13715.530040249845
07/2013,13818.850108616536
08/2013,13801.097318948066
09/2013,13890.999533269754
10/2013,14046.802414538546
11/2013,14115.994196360658
12/2013,14055.733215854183
01/2014,14253.91387316345
02/2014,14303.946535639918
03/2014,14401.010712671354
04/2014,14469.716804870015
05/2014,14558.125779807395
06/2014,14665.817054785157
07/2014,14727.991756900628
08/2014,14819.148083319948
09/2014,14864.33108366468
10/2014,14835.422101809689
11/2014,14880.184720403384
12/2014,14929.173461657743
01/2015,14986.44062881916
02/2015,15061.47515432828
03/2015,15072.674851605192
04/2015,15041.605585804431
05/2015,15015.07421239987
06/2015,14917.335857177832
07/2015,15051.043879525543
08/2015,14999.6411583595
09/2015,15063.048169790582
10/2015,15146.810539842612
11/2015,15210.116072887324
12/2015,15152.93591590669
01/2016,15262.859916331778
02/2016,15291.102054572602
03/2016,15300.735970490005
04/2016,15282.25826343775
05/2016,15326.179917582069
06/2016,15401.091161922803
07/2016,15420.685231698717
08/2016,15425.426181341298
09/2016,15440.685315493742
10/2016,15349.094038644156
11/2016,15285.51300685151
12/2016,15406.984644802991
01/2017,15305.752217933214
02/2017,15367.637053568822
03/2017,15349.88426390035
04/2017,15391.507985198581
05/2017,15442.541063806762
06/2017,15429.297129649682
07/2017,15465.62187065398
08/2017,15502.889054494024
09/2017,15493.791567393258
10/2017,15563.208008296471
11/2017,15596.22003259104
12/2017,15511.276092416585
01/2018,15512.754964068965
02/2018,15521.265283159913
03/2018,15684.201190727292
04/2018,15656.024360358873
05/2018,15464.070557500047
06/2018,15563.722734804735
07/2018,15528.883999081952
08/2018,15430.478699772106
09/2018,15438.075612912122
10/2018,15450.311997308352
11/2018,15538.583122398115
12/2018,15645.998999101595
01/2019,15707.535794014068
02/2019,15676.879776335207
03/2019,15764.607238505547
04/2019,15768.21002264244
05/2019,15806.27456536782
06/2019,15926.093411779006
07/2019,16029.88470156357
08/2019,16144.165339920493
09/2019,16107.96377961093
10/2019,16035.640435069794
11/2019,15973.66135515061
12/2019,15942.889390879804
01/2020,16045.071394214465
02/2020,16039.982604796052
03/2020,15889.355422652807
04/2020,15908.43486639411
05/2020,15928.601535500611
06/2020,15998.663218183263
07/2020,16048.623439158177
08/2020,16015.30697970451
09/2020,16082.686518303994
10/2020,16151.791289945322
11/2020,16144.042058752108
12/2020,16144.382764898803
01/2021,16118.598111660045
02/2021,16034.748831900883
03/2021,16081.243917639218
04/2021,16030.616853050144
05/2021,16027.804193695798
06/2021,16043.86078720723
07/2021,16133.422295382223
08/2021,16092.25512634898
09/2021,16036.387054761948
10/2021,15899.446091782498
11/2021,16048.782890840514
12/2021,15940.83791989684
01/2022,15851.464900288993
02/2022,15746.847214734282
03/2022,15477.097066678825
04/2022,15236.922945039818
05/2022,15136.400866874594
06/2022,15027.897764805915
07/2022,15337.227397279434
08/2022,14855.240830666704
09/2022,14550.137320853846
10/2022,14565.128290834802
11/2022,14630.557836837685
12/2022,14344.533770766133
01/2023,14504.475864988455
02/2023,14312.565567220021
03/2023,14569.383450380283
04/2023,14593.631359144338
05/2023,14653.443021488609
06/2023,14504.084419648574
07/2023,14582.989893466081
08/2023,14647.252337552118
09/2023,14495.545063672815
10/2023,14606.1432422885
11/2023,14819.619204264167
12/2023,15124.903968541375
01/2024,15099.98188158672
02/2024,14920.728450439206
03/2024,15015.53819971495
04/2024,14892.232515758815
05/2024,14897.495325538795
06/2024,14971.942683038098
07/2024,15199.800744676531
08/2024,15275.44414050384
09/2024,15455.640014487095
