Date,Bloomberg Barclays Euro Treasury 50bn 15+ Year Bond
10/2012,10000
11/2012,10253.584647777854
12/2012,10422.783840187585
01/2013,10318.008452976756
02/2013,10268.169500851662
03/2013,10363.29458470405
04/2013,10975.844448096192
05/2013,10636.263633439266
06/2013,10349.389396025032
07/2013,10431.735858208924
08/2013,10266.726377821671
09/2013,10375.89630742057
10/2013,10610.920530938882
11/2013,10616.506813635564
12/2013,10516.73580467374
01/2014,10994.688841726118
02/2014,11151.053549640346
03/2014,11358.313948156476
04/2014,11589.730364099918
05/2014,11775.688404599494
06/2014,12043.108412522724
07/2014,12337.012055663565
08/2014,12955.264582641817
09/2014,12875.729882748512
10/2014,13020.884783384881
11/2014,13497.788598349449
12/2014,13931.99792114324
01/2015,15051.036870770506
02/2015,15239.270884852634
03/2015,15978.099745951155
04/2015,15278.762653749232
05/2015,14575.488020417522
06/2015,13453.88920362545
07/2015,14278.953008049504
08/2015,13818.926261322973
09/2015,14264.878392947197
10/2015,14649.7800198434
11/2015,14579.332475468647
12/2015,14229.766324054292
01/2016,14960.105734773668
02/2016,15368.204412486684
03/2016,15625.391939380055
04/2016,15074.080329557468
05/2016,15502.420575087965
06/2016,16669.203374490353
07/2016,17024.280221764937
08/2016,16804.597075987465
09/2016,16842.017679632598
10/2016,15906.08370115002
11/2016,15262.407429718336
12/2016,15377.126713131902
01/2017,14586.90502797244
02/2017,15000.956560419589
03/2017,14770.587132805218
04/2017,14906.218203803093
05/2017,15051.027562162672
06/2017,14910.425694561194
07/2017,14934.497754517983
08/2017,15237.316077199486
09/2017,15020.779240882815
10/2017,15361.125216200007
11/2017,15564.52760680944
12/2017,15270.138228555898
01/2018,15296.551403392461
02/2018,15353.394417362375
03/2018,15894.005782436176
04/2018,15749.350016106519
05/2018,15561.725715839957
06/2018,15694.559550172338
07/2018,15578.872171540066
08/2018,15481.434318640722
09/2018,15410.977465658136
10/2018,15376.33082715878
11/2018,15463.664186213227
12/2018,15718.101019480471
01/2019,16101.001295684157
02/2019,15928.042707119886
03/2019,16621.464179019218
04/2019,16571.798101718494
05/2019,17081.15581586233
06/2019,18058.866826474088
07/2019,18727.099205471983
08/2019,19984.976041508966
09/2019,19797.12368034962
10/2019,19283.75395621306
11/2019,18927.699705111932
12/2019,18420.856042995307
01/2020,19565.885050840458
02/2020,19933.065046768916
03/2020,18757.96955591956
04/2020,19182.54605223743
05/2020,19124.084408584877
06/2020,19487.393518020566
07/2020,19999.814024590556
08/2020,19575.16825066199
09/2020,20289.654227975516
10/2020,20747.206866943223
11/2020,20785.90707216963
12/2020,20857.704655864432
01/2021,20526.895405505667
02/2021,19585.421337032116
03/2021,19489.99142841839
04/2021,18971.067486152493
05/2021,18943.408400116863
06/2021,19165.590357040914
07/2021,20037.05939999415
08/2021,19766.7208439956
09/2021,19224.502305162445
10/2021,19313.861763146626
11/2021,19921.03672162693
12/2021,19165.412053577475
01/2022,18797.240078792463
02/2022,18005.24630215763
03/2022,17289.370331790527
04/2022,15706.874325167211
05/2022,14917.585405679354
06/2022,14218.175767364166
07/2022,15616.148644962928
08/2022,13992.037499699845
09/2022,12896.605426953625
10/2022,12863.821882875609
11/2022,13863.444772004708
12/2022,12302.679848357206
01/2023,12986.069302340087
02/2023,12289.654274718025
03/2023,12819.208669663009
04/2023,12710.082513517576
05/2023,12732.58439634825
06/2023,12907.929975815081
07/2023,12653.79126250896
08/2023,12644.27113523794
09/2023,11747.63735979714
10/2023,11661.910144756288
11/2023,12542.637264525567
12/2023,13578.451722481215
01/2024,13345.309836228114
02/2024,13143.579191469138
03/2024,13409.561516026188
04/2024,12978.914398800876
05/2024,12886.009072225821
06/2024,12831.66339590972
07/2024,13378.153478620969
08/2024,13382.520651689007
09/2024,13592.107982037096
