Date,Bloomberg Barclays Euro Treasury 50bn 7-10 Year Bond
10/2012,10000
11/2012,10177.15839224919
12/2012,10234.042194859401
01/2013,10178.811931819026
02/2013,10237.609553375865
03/2013,10333.290293671647
04/2013,10644.23738908141
05/2013,10470.53407797051
06/2013,10269.567778025588
07/2013,10380.74279651308
08/2013,10310.809300445546
09/2013,10424.842288560001
10/2013,10631.488803138409
11/2013,10667.69315409097
12/2013,10527.448501683844
01/2014,10843.075522357747
02/2014,10940.368974085839
03/2014,11070.671975004998
04/2014,11206.282633802748
05/2014,11346.532389727034
06/2014,11516.168197636762
07/2014,11631.507686152045
08/2014,11856.082856622304
09/2014,11903.111767536839
10/2014,11950.1917136233
11/2014,12147.04997998373
12/2014,12270.531681815017
01/2015,12476.024950729048
02/2015,12573.457060104054
03/2015,12653.085638023742
04/2015,12507.529394181523
05/2015,12329.7900397376
06/2015,12042.744452187804
07/2015,12334.938725102604
08/2015,12206.303235145735
09/2015,12420.338525170759
10/2015,12576.921834497396
11/2015,12685.978032337769
12/2015,12534.176009618599
01/2016,12815.047256938797
02/2016,12924.486161818215
03/2016,13009.375685834359
04/2016,12865.268625979885
05/2016,13006.94166906612
06/2016,13223.08950194653
07/2016,13338.616000126689
08/2016,13331.676245818999
09/2016,13383.418237495109
10/2016,13095.112268096798
11/2016,12867.66692342445
12/2016,12990.520985711772
01/2017,12711.246902434375
02/2017,12877.183571794858
03/2017,12810.572135962517
04/2017,12897.875265704739
05/2017,13007.758110749393
06/2017,12931.08403117104
07/2017,12967.196267373336
08/2017,13096.709432139674
09/2017,13040.41577807943
10/2017,13200.285265181185
11/2017,13256.512583354657
12/2017,13157.947661144102
01/2018,13034.94561880165
02/2018,13065.041700350557
03/2018,13303.202842115634
04/2018,13251.471055960605
05/2018,13133.735062475112
06/2018,13237.953843342255
07/2018,13185.93630259805
08/2018,13139.975738591487
09/2018,13095.23473434926
10/2018,13093.780447601011
11/2018,13200.239340336504
12/2018,13323.067888821231
01/2019,13503.863796816857
02/2019,13479.013353082823
03/2019,13721.71595171102
04/2019,13730.058965161774
05/2019,13898.552117542808
06/2019,14170.08021035032
07/2019,14397.540863304252
08/2019,14673.151164527993
09/2019,14612.0354017761
10/2019,14468.04060265308
11/2019,14329.357777231708
12/2019,14207.207089652213
01/2020,14544.698686751894
02/2020,14573.701870877609
03/2020,14238.669970296258
04/2020,14252.729170898974
05/2020,14319.901890204259
06/2020,14473.119748503716
07/2020,14602.244967884844
08/2020,14504.38797690531
09/2020,14677.849668420131
10/2020,14806.479409365875
11/2020,14824.369720013323
12/2020,14850.072663846522
01/2021,14784.44831465164
02/2021,14531.603899532156
03/2021,14608.624252739866
04/2021,14467.457137814168
05/2021,14468.058790199892
06/2021,14539.513858839206
07/2021,14793.110339440917
08/2021,14711.329854122323
09/2021,14531.75431262859
10/2021,14328.068436558153
11/2021,14626.656128654484
12/2021,14425.473038024033
01/2022,14247.764302193807
02/2022,13958.645295021828
03/2022,13585.471292109305
04/2022,13076.978414077352
05/2022,12867.267168892595
06/2022,12634.637745918948
07/2022,13203.376730947663
08/2022,12452.863609576629
09/2022,11910.601753111567
10/2022,11988.428673474586
11/2022,12240.051200294463
12/2022,11640.619007660554
01/2023,11986.883311645044
02/2023,11700.489612790578
03/2023,12031.00433859638
04/2023,12028.679836936815
05/2023,12109.014674456512
06/2023,12044.096382828404
07/2023,12041.4822917226
08/2023,12093.12326557747
09/2023,11734.954649938534
10/2023,11809.376748709623
11/2023,12197.669214151561
12/2023,12671.952049470048
01/2024,12625.616499374783
02/2024,12444.78704574483
03/2024,12586.83522575994
04/2024,12387.144235502377
05/2024,12376.068257607707
06/2024,12402.407448515774
07/2024,12715.443464903072
08/2024,12771.064723154142
09/2024,12967.324525289087
