Date,Bloomberg Barclays Global Aggregate Corporate 1-3Y
12/2012,10000
01/2013,9755.770184501846
02/2013,10091.760574133597
03/2013,10359.525048597685
04/2013,10179.38684010557
05/2013,10223.881232701697
06/2013,10121.309128099632
07/2013,10018.50864957911
08/2013,10046.777724419951
09/2013,9887.269412518723
10/2013,9829.806408944567
11/2013,9878.071256727555
12/2013,9746.21802240274
01/2014,9973.356171642672
02/2014,9785.263280776464
03/2014,9803.005635143989
04/2014,9782.544037360216
05/2014,9989.108346378685
06/2014,9949.817902307876
07/2014,10158.322921818664
08/2014,10327.085956626557
09/2014,10806.30213944508
10/2014,10887.610330576113
11/2014,10941.940055608546
12/2014,11216.413227989375
01/2015,12114.523688379018
02/2015,12190.673277782327
03/2015,12762.423672676097
04/2015,12266.768349111135
05/2015,12554.524705835933
06/2015,12285.41085571333
07/2015,12544.12612694703
08/2015,12248.334738063018
09/2015,12297.012657522995
10/2015,12527.131431539816
11/2015,13034.048276301255
12/2015,12643.775923631441
01/2016,12640.8622974653
02/2016,12684.352993797324
03/2016,12236.167619184407
04/2016,12269.384902946194
05/2016,12545.793222835317
06/2016,12683.964421404466
07/2016,12698.019390780699
08/2016,12682.684695875923
09/2016,12662.38058243215
10/2016,12918.840177081449
11/2016,13242.110495304409
12/2016,13380.238106938497
01/2017,13154.655254661366
02/2017,13394.847193625912
03/2017,13289.023139743107
04/2017,13033.53552993947
05/2017,12728.538486313893
06/2017,12525.516289801275
07/2017,12237.823541128078
08/2017,12161.88869985702
09/2017,12182.679595900123
10/2017,12370.900844174776
11/2017,12123.875806199012
12/2017,11990.28268423912
01/2018,11524.04279920408
02/2018,11727.458666051738
03/2018,11629.100876649627
04/2018,11871.576920500127
05/2018,12303.759755336983
06/2018,12347.03082670161
07/2018,12291.952716898284
08/2018,12432.393472626289
09/2018,12520.449744244872
10/2018,12810.98258790196
11/2018,12776.22996396789
12/2018,12762.14497940787
01/2019,12815.32984107998
02/2019,12938.712639692894
03/2019,13247.078496243354
04/2019,13310.935011952359
05/2019,13467.241032838027
06/2019,13288.613109883749
07/2019,13575.073231787957
08/2019,13822.148790145577
09/2019,14024.155515244689
10/2019,13751.205767875528
11/2019,13980.543624478101
12/2019,13714.767690877032
01/2020,14020.0786220301
02/2020,14203.38875521972
03/2020,13860.617269854843
04/2020,14248.803762973934
05/2020,14067.812734744886
06/2020,14100.443829145435
07/2020,13394.838244915962
08/2020,13324.857507083645
09/2020,13588.896364415674
10/2020,13629.07386832889
11/2020,13350.842354863842
12/2020,13064.213228059223
01/2021,13218.785282949882
02/2021,13244.408416683067
03/2021,13676.663999723238
04/2021,13296.435307934873
05/2021,13195.718052579967
06/2021,13536.869336482712
07/2021,13551.89957603159
08/2021,13623.982649782063
09/2021,13919.841334685008
10/2021,13793.88906386853
11/2021,14106.531328754434
12/2021,14152.61482329478
01/2022,14257.642803816256
02/2022,14085.01469197994
03/2022,13997.638244338767
04/2022,14639.475111513451
05/2022,14496.687959977744
06/2022,14809.631216245958
07/2022,15200.246348976172
08/2022,15402.003474835112
09/2022,15582.125386625345
10/2022,15272.190405725605
11/2022,14790.637164961814
12/2022,14434.53475600595
01/2023,14366.92495685146
02/2023,14564.119559262565
03/2023,14347.84620061126
04/2023,14288.918246540816
05/2023,14662.535806993705
06/2023,14402.622321285684
07/2023,14291.189952321023
08/2023,14532.69870171422
09/2023,14898.132011665755
10/2023,14895.756503885155
11/2023,14687.650616547235
12/2023,14725.6238424874
