Date,Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped
06/2016,10000
07/2016,10268.238055626363
08/2016,10449.675262867337
09/2016,10504.365750187322
10/2016,10708.49020240842
11/2016,10846.083491807156
12/2016,11105.801491498563
01/2017,11151.56954331057
02/2017,11404.273663516897
03/2017,11339.155502123138
04/2017,11299.722304527762
05/2017,11153.288674088417
06/2017,11028.211699840453
07/2017,10971.545908527662
08/2017,10931.3748390688
09/2017,11092.730018173366
10/2017,11300.29524452313
11/2017,11169.1219337814
12/2017,11101.014456336437
01/2018,10918.308044125983
02/2018,10924.284757977606
03/2018,10796.005626526836
04/2018,11021.407145859042
05/2018,11164.318118133073
06/2018,11202.277808434259
07/2018,11249.360589350266
08/2018,11329.784751206153
09/2018,11486.816726421817
10/2018,11507.69143247867
11/2018,11290.469709014189
12/2018,11105.753605710574
01/2019,11514.555168225075
02/2019,11774.135775117014
03/2019,12040.32042967332
04/2019,12194.51000219488
05/2019,12147.616541512274
06/2019,12269.24029193565
07/2019,12594.854459335695
08/2019,12830.71885965849
09/2019,13046.338582147151
10/2019,12901.092173978519
11/2019,13157.607575643146
12/2019,13125.551143578652
01/2020,13438.704393909478
02/2020,13388.920410508696
03/2020,11824.215116781255
04/2020,13144.096324605996
05/2020,13351.635197375932
06/2020,13622.55665551967
07/2020,13662.93683201359
08/2020,13785.339820868037
09/2020,13779.23084671201
10/2020,13884.520670190943
11/2020,14344.122508658858
12/2020,14386.454142405939
01/2021,14565.122487705463
02/2021,14646.004427827194
03/2021,14981.872721916741
04/2021,14819.00082898004
05/2021,14797.32274395128
06/2021,15270.22337697544
07/2021,15404.054094069965
08/2021,15535.78649796725
09/2021,15762.489989486974
10/2021,15686.129313423507
11/2021,15766.70932399149
12/2021,16083.524673952863
01/2022,15758.427245618384
02/2022,15401.22384871793
03/2022,15343.008299170055
04/2022,15340.291468484149
05/2022,15130.678690987543
06/2022,14572.583208457781
07/2022,15456.588271960018
08/2022,15439.360892223762
09/2022,15126.547432800218
10/2022,15084.445713568806
11/2022,14995.064859564673
12/2022,14715.084262569648
01/2023,15061.440417090032
02/2023,15093.290787321022
03/2023,14896.52985065751
04/2023,14930.907664359154
05/2023,15132.742732085964
06/2023,15159.230135455597
07/2023,15165.010268549739
08/2023,15339.717285090284
09/2023,15444.557941407773
10/2023,15278.07750892539
11/2023,15657.554217304878
12/2023,16056.119185938804
01/2024,16251.903466942704
02/2024,16190.318385928707
03/2024,16398.340580325912
04/2024,16357.970560679421
05/2024,16413.484457886534
06/2024,16676.59069813506
07/2024,16756.298683950958
08/2024,16689.330398663195
09/2024,16724.25212137259
