Date,Bloomberg Barclays MSCI Euro Corporate SRI Sustainable Ex Fossil Fuel Bond 1-3Y
10/2019,10000
11/2019,9991.128917727963
12/2019,9999.009879205263
01/2020,10019.522381730572
02/2020,10005.320649119194
03/2020,9693.8726524636
04/2020,9846.831313420238
05/2020,9881.58555343752
06/2020,9943.443100058208
07/2020,10004.02049049984
08/2020,10015.021832663586
09/2020,10022.522747775229
10/2020,10049.526042177145
11/2020,10081.329922250516
12/2020,10078.92962941479
01/2021,10080.029763631164
02/2021,10074.729116952269
03/2021,10084.230276093684
04/2021,10093.03134982468
05/2021,10091.831203406817
06/2021,10099.032081913994
07/2021,10123.135022472741
08/2021,10111.833643704533
09/2021,10105.332850607774
10/2021,10078.629592810323
11/2021,10074.729116952269
12/2021,10079.52970262372
01/2022,10053.626542438178
02/2022,9977.547260765814
03/2022,9937.672396032316
04/2022,9848.951572091797
05/2022,9816.197576104285
06/2022,9661.38868942011
07/2022,9832.049510040226
08/2022,9658.088286770988
09/2022,9513.330626336414
10/2022,9504.009489157677
11/2022,9589.359901908034
12/2022,9556.365876636952
01/2023,9630.954976507135
02/2023,9582.529068546362
03/2023,9640.916191775397
04/2023,9679.52090154999
05/2023,9692.532488963654
06/2023,9658.508338017238
07/2023,9742.358567745265
08/2023,9777.9629114752
09/2023,9777.142811422995
10/2023,9821.028165436184
11/2023,9916.995873496568
12/2023,10040.990000780095
01/2024,10067.064181830183
02/2024,10034.363192309464
03/2024,10099.388125351294
04/2024,10091.390149598252
05/2024,10128.600689284094
06/2024,10185.977689278092
07/2024,10279.791134518411
08/2024,10330.145277723883
09/2024,10418.593568415348
