Date,Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI
02/2017,10000
03/2017,9968.790439217477
04/2017,10022.83626398721
05/2017,10065.46395676334
06/2017,10012.17934079318
07/2017,10094.389891147142
08/2017,10147.674507117303
09/2017,10124.077034330516
10/2017,10234.452310268707
11/2017,10219.989343076806
12/2017,10194.108243891298
01/2018,10167.465935906219
02/2018,10164.421100707923
03/2018,10152.241759914745
04/2018,10156.047803912612
05/2018,10125.599451929664
06/2018,10120.270990332649
07/2018,10150.719342315597
08/2018,10149.958133516024
09/2018,10122.55461673137
10/2018,10108.852858339042
11/2018,10052.523407170587
12/2018,10073.076044759078
01/2019,10178.122859100251
02/2019,10242.825607064018
03/2019,10377.559564588568
04/2019,10448.351982948923
05/2019,10436.172642155743
06/2019,10592.98165486793
07/2019,10732.282865189922
08/2019,10806.120118748573
09/2019,10724.670777194182
10/2019,10701.834513206972
11/2019,10677.475831620613
12/2019,10669.863743624874
01/2020,10783.283854761361
02/2020,10742.178579584379
03/2020,10042.627692776128
04/2020,10394.306158179188
05/2020,10414.85879576768
06/2020,10555.682423688815
07/2020,10706.401766004416
08/2020,10727.71561239248
09/2020,10755.119129177134
10/2020,10829.717591535358
11/2020,10933.241988277385
12/2020,10949.227373068432
01/2021,10934.76440587653
02/2021,10854.837481921291
03/2021,10875.39011950978
04/2021,10876.151328309355
05/2021,10862.449569917027
06/2021,10905.077262693156
07/2021,11026.10946182538
08/2021,10982.720560249676
09/2021,10914.211768288042
10/2021,10831.240009134504
11/2021,10853.315064322145
12/2021,10841.135723528962
01/2022,10702.595722006547
02/2022,10442.262312552333
03/2022,10321.230113420112
04/2022,10044.91131917485
05/2022,9921.595493643907
06/2022,9587.424830631042
07/2022,10039.582857577832
08/2022,9607.977468219533
09/2022,9291.314607596863
10/2022,9299.687904392174
11/2022,9548.603181852783
12/2022,9382.65966354571
01/2023,9589.708457029763
02/2023,9444.317576311181
03/2023,9534.140214660882
04/2023,9603.41021542209
05/2023,9619.395600213138
06/2023,9573.723072238714
07/2023,9674.202633782446
08/2023,9690.949227373068
09/2023,9607.977468219533
10/2023,9648.32153459694
11/2023,9867.549668874171
12/2023,10133.972748724975
01/2024,10146.152089518155
02/2024,10052.523407170587
03/2024,10176.600441501103
04/2024,10089.822638349699
05/2024,10117.987363933926
06/2024,10183.451320697266
07/2024,10357.76813579965
08/2024,10386.69407018345
09/2024,10518.383192509706
