Date,Bloomberg Barclays US Government Inflation-Linked Bond
12/2006,10000
01/2007,10178.519136396744
02/2007,10189.70173011202
03/2007,10129.371966743305
04/2007,9986.625163315264
05/2007,9974.31112630894
06/2007,9919.548581317733
07/2007,9996.522345161746
08/2007,10089.560968178299
09/2007,9875.295112329353
10/2007,9804.223287972654
11/2007,9980.300119240985
12/2007,10000.30027592153
01/2008,10266.683861300442
02/2008,10201.27889910704
03/2008,9786.211370533354
04/2008,9746.387529663229
05/2008,9783.916757640618
06/2008,9785.096171844765
07/2008,9814.364698146312
08/2008,10502.186035838826
09/2008,10392.955257906375
10/2008,10687.929458253173
11/2008,10845.932685224987
12/2008,10397.347352943942
01/2009,11383.779230864735
02/2009,11315.647395040924
03/2009,11383.701909877864
04/2009,11191.506621008368
05/2009,10756.87877228148
06/2009,10783.475680022962
07/2009,10794.26471445165
08/2009,10779.69785473254
09/2009,10729.27516460877
10/2009,10744.61952307811
11/2009,10880.709551413409
12/2009,11097.377822804208
01/2010,11629.281110308757
02/2010,11826.448800717095
03/2010,11923.277217956522
04/2010,12364.756092330035
05/2010,13371.510944137264
06/2010,13604.012172435258
07/2010,12831.30367188888
08/2010,13417.87996660583
09/2010,12538.966111915282
10/2010,12682.3567241088
11/2010,13286.446119674514
12/2010,12722.297536095268
01/2011,12433.64600274637
02/2011,12413.886406545744
03/2011,12211.617861897086
04/2011,11975.096327286159
05/2011,12404.843972756295
06/2011,12449.28684273154
07/2011,13128.200443667525
08/2011,13071.683344736819
09/2011,13965.354477018873
10/2011,13720.40250125903
11/2011,14431.722188439355
12/2011,14975.215924536207
01/2012,15051.172890952912
02/2012,14696.813170531801
03/2012,14624.674239685995
04/2012,15094.79395710263
05/2012,16378.710156348385
06/2012,16040.709862000105
07/2012,16772.540558741264
08/2012,16278.751973527185
09/2012,15959.805226196591
10/2012,16034.053478312551
11/2012,16120.973888182845
12/2012,15752.508331680669
01/2013,15222.091316093802
02/2013,15713.127108039525
03/2013,16151.720670125005
04/2013,15973.05760139131
05/2013,15303.739978232092
06/2013,14643.792292088776
07/2013,14526.776045013192
08/2013,14353.719093167434
09/2013,14273.685644298572
10/2013,14213.301808851369
11/2013,14070.266209627032
12/2013,13675.152978647877
01/2014,14256.519293133873
02/2014,14017.4551429831
03/2014,13980.301128555348
04/2014,14121.062463905593
05/2014,14696.54816689011
