Date,Bloomberg Barclays World Government Inflation-Linked Bond
08/2008,10000
09/2008,9497.063443239114
10/2008,8382.182777691538
11/2008,8315.782238905811
12/2008,8931.772110513279
01/2009,8729.63927274812
02/2009,8414.938059212638
03/2009,8910.51673972349
04/2009,8955.028417685638
05/2009,9454.733070349714
06/2009,9538.864577765336
07/2009,9700.142730665544
08/2009,9851.540914887903
09/2009,10020.96665811612
10/2009,10190.45665065655
11/2009,10464.070429032046
12/2009,10111.630008426995
01/2010,10070.173753568715
02/2010,9862.499412625219
03/2010,9950.913218546071
04/2010,10039.607757130478
05/2010,9705.479618199895
06/2010,9840.369821496482
07/2010,10149.930680823669
08/2010,10312.531980785734
09/2010,10618.327605340048
10/2010,10809.726511037166
11/2010,10355.932902724486
12/2010,10510.863673732498
01/2011,10574.02842072418
02/2011,10766.409788435916
03/2011,10882.205873682353
04/2011,11362.768221312117
05/2011,11316.075340585043
06/2011,11319.311132379089
07/2011,11639.044458447202
08/2011,11609.40485933713
09/2011,11334.32746526018
10/2011,11620.511703416336
11/2011,11515.289131573045
12/2011,11630.335402792087
01/2012,11923.889487213452
02/2012,12027.83290435834
03/2012,11924.278461552674
04/2012,12042.36000123465
05/2012,11911.928577436234
06/2012,11923.821350204003
07/2012,12069.589944213285
08/2012,12163.78577900199
09/2012,12188.461402588884
10/2012,12230.755763124942
11/2012,12376.43606548384
12/2012,12438.397979412332
01/2013,12449.96193484021
02/2013,12206.456939246455
03/2013,12349.27436182248
04/2013,12616.8576056305
05/2013,12006.433177231718
06/2013,11528.994287407451
07/2013,11666.607208770785
08/2013,11576.236561138638
09/2013,11918.315961686827
10/2013,12013.999454515155
11/2013,11954.206773336418
12/2013,11836.121141341562
01/2014,11967.36662847959
02/2014,12128.291921701739
03/2014,12152.694894943013
04/2014,12353.789308314925
05/2014,12503.948544812929
06/2014,12598.15235961175
07/2014,12545.80175402055
08/2014,12715.684710905258
09/2014,12281.39424731506
10/2014,12323.949185873742
11/2014,12434.071483927999
12/2014,12318.957075699514
01/2015,12438.462126416722
02/2015,12289.46173061845
03/2015,12179.507728931376
04/2015,12432.215006190085
05/2015,12219.76514073152
06/2015,12175.975244453542
07/2015,12267.616862158327
08/2015,12105.344379536156
09/2015,12017.940965665322
10/2015,12104.093359488807
11/2015,11950.485837850472
12/2015,11739.880377806825
01/2016,11849.168764804006
02/2016,11871.671165636088
03/2016,12301.984003414955
04/2016,12339.454652451786
05/2016,12266.875130448869
06/2016,12511.466737420029
07/2016,12645.707388354775
08/2016,12886.922837200109
09/2016,12896.84291054418
10/2016,12486.598570512142
11/2016,12112.56986946453
12/2016,12212.351199795034
01/2017,12365.160822729631
02/2017,12364.04208669612
03/2017,12379.010334900871
04/2017,12697.689174247687
05/2017,12724.441851236714
06/2017,12612.799770486725
07/2017,12763.84120733379
08/2017,12970.436916909997
09/2017,12886.365566493705
10/2017,12885.94047749332
11/2017,13092.39582073775
12/2017,13252.06211390243
01/2018,13393.752820434825
02/2018,13155.071434032476
03/2018,13444.84432366074
04/2018,13198.12358860605
05/2018,13040.037235136433
06/2018,13031.34424180937
07/2018,12986.62805051105
08/2018,12925.067080936957
09/2018,12816.644831960784
10/2018,12665.771998404367
11/2018,12563.869417692627
12/2018,12712.51705612066
01/2019,12985.156454799479
02/2019,12937.509246708838
03/2019,13212.149479462405
04/2019,13176.483233482093
05/2019,13319.513251712222
06/2019,13513.8633288426
07/2019,13536.907040360855
08/2019,13862.29011128298
09/2019,13753.178205278742
10/2019,13785.821152811292
11/2019,13667.053843798483
12/2019,13755.596046035942
01/2020,14069.523300898038
02/2020,14053.183820955092
03/2020,13425.180760273368
04/2020,13919.612774715302
05/2020,14108.40139864205
06/2020,14297.795480259363
07/2020,14986.761930526913
08/2020,14980.430610962772
09/2020,14809.621461365545
10/2020,14799.641333329964
11/2020,15169.544062224355
12/2020,15480.239617605283
01/2021,15356.676731744297
02/2021,15010.980545072955
03/2021,14962.11034927819
04/2021,15185.482597812903
05/2021,15608.730364328283
06/2021,15414.628895205353
07/2021,16023.208918189213
08/2021,15949.723153499066
09/2021,15534.210165249948
10/2021,15903.306913122664
11/2021,16048.674460469727
12/2021,15963.568675665249
01/2022,15537.798816722056
02/2022,15594.367676121921
03/2022,15263.85223100161
04/2022,14409.545802685023
05/2022,13964.020098699017
06/2022,13253.124682941665
07/2022,13854.779898685998
08/2022,13072.407532323365
09/2022,12014.219927871554
10/2022,12140.216716817791
11/2022,12681.39777898108
12/2022,12474.501284408207
01/2023,12863.00899765579
02/2023,12483.74766074444
03/2023,13023.012088170477
04/2023,12991.467722030508
05/2023,12616.8576056305
06/2023,12797.51060924441
07/2023,12871.62587396329
08/2023,12655.154288022117
09/2023,12176.721068475887
10/2023,12052.380233936452
11/2023,12623.64603654331
12/2023,13157.465232451506
01/2024,12932.068107503874
02/2024,12809.419444340234
03/2024,12952.673925931818
04/2024,12630.598876126067
05/2024,12886.786563181213
06/2024,12865.763738070818
07/2024,13186.703989515006
08/2024,13382.589809361345
09/2024,13609.017480999932
