Date,Bloomberg China Treasury + Policy Bank
05/2020,10000
06/2020,10004.864778170764
07/2020,10073.288876873892
08/2020,10225.116346805822
09/2020,10276.588897207164
10/2020,10483.2608206435
11/2020,10697.132968109305
12/2020,10868.947650849963
01/2021,11006.195770705688
02/2021,11005.9854823696
03/2021,10925.526755323162
04/2021,11133.84241064991
05/2021,11404.910251884423
06/2021,11237.267519638142
07/2021,11419.646634800914
08/2021,11444.842154102189
09/2021,11458.23358263419
10/2021,11553.000117475955
11/2021,11715.345547828907
12/2021,11791.01522885451
01/2022,11910.327383705615
02/2022,11971.392909338523
03/2022,11920.135304597998
04/2022,11521.565200485833
05/2022,11469.615173053684
06/2022,11400.311447454105
07/2022,11413.654075322649
08/2022,11267.515730038333
09/2022,10931.973302716216
10/2022,10702.070744782868
11/2022,10822.387970559512
12/2022,11171.486047733388
01/2023,11493.712879919618
02/2023,11204.342663719823
03/2023,11383.009789828197
04/2023,11361.167038100126
05/2023,11156.024539605987
06/2023,10967.460902189205
07/2023,11189.182059268325
08/2023,11047.412892056
09/2023,10974.812084287574
10/2023,10972.494963989211
11/2023,11285.836835548722
12/2023,11465.56492047937
01/2024,11437.333230440205
02/2024,11510.998236908978
03/2024,11484.97422003707
04/2024,11500.701094427775
05/2024,11551.524251768133
06/2024,11623.435471738245
07/2024,11777.96064639577
08/2024,12016.769021670925
09/2024,12170.645208252223
