Date,Bloomberg Commodity (EUR Hedged)
03/2005,10000
04/2005,9416.569839090173
05/2005,9343.685081511214
06/2005,9500.721805570227
07/2005,9926.763142142883
08/2005,10676.032534065702
09/2005,11172.84602654836
10/2005,10470.758071898877
11/2005,10497.517693038977
12/2005,10832.365057568395
01/2006,11032.71011584099
02/2006,10341.889370092604
03/2006,10572.162952008732
04/2006,11288.687018062745
05/2006,11396.781803457625
06/2006,11219.675363543538
07/2006,11579.87394810042
08/2006,11162.635118481743
09/2006,10490.475687475793
10/2006,10987.99338051477
11/2006,11589.02855533256
12/2006,11056.652934755819
01/2007,11079.891553114327
02/2007,11453.117847963098
03/2007,11564.733636139574
04/2007,11698.531741840077
05/2007,11713.672053800923
06/2007,11549.945424456884
07/2007,11789.725713883312
08/2007,11361.571775641703
09/2007,12271.046794126967
10/2007,12679.835217069822
11/2007,12282.314003028063
12/2007,12851.308052533363
01/2008,13394.24668145488
02/2008,15039.611281292913
03/2008,14085.771627759586
04/2008,14587.514524136475
05/2008,14986.44413929087
06/2008,16350.128516601528
07/2008,14411.816485335024
08/2008,13362.20555614239
09/2008,11821.766839195803
10/2008,9305.658251470019
11/2008,8658.145839935214
12/2008,8269.779233125595
01/2009,7825.428682088659
02/2009,7478.609908101827
03/2009,7747.9666208936305
04/2009,7804.6547656772655
05/2009,8819.759867610295
06/2009,8651.808034928348
07/2009,8931.37565578677
08/2009,8879.264814619204
09/2009,9019.048625048414
10/2009,9314.812858702158
11/2009,9642.618217668392
12/2009,9833.456568430687
01/2010,9117.636702932996
02/2010,9456.357170522166
03/2010,9338.755677616986
04/2010,9520.439421147143
05/2010,8861.307700433084
06/2010,8889.475722685822
07/2010,9491.567198338087
08/2010,9250.026407520862
09/2010,9921.833738248653
10/2010,10416.182528784198
11/2010,10379.21199957748
12/2010,11488.679976057181
01/2011,11603.816767015247
02/2011,11756.628287736348
03/2011,11999.57747966621
04/2011,12415.055807894089
05/2011,11786.90891165804
06/2011,11192.563642125278
07/2011,11523.890003873103
08/2011,11639.026794831168
09/2011,9923.94633991761
10/2011,10580.965458962713
11/2011,10346.114573430512
12/2011,9958.452167177213
01/2012,10204.570261610506
02/2012,10479.912679131017
03/2012,10046.477236717017
04/2012,10003.873103059752
05/2012,9090.524981514736
06/2012,9589.80317594451
07/2012,10209.851765782896
08/2012,10342.593570648922
09/2012,10518.99581000669
10/2012,10111.615788176474
11/2012,10116.897292348862
12/2012,9853.174184007605
01/2013,10089.081370374282
02/2013,9676.771944649836
03/2013,9742.26259638745
04/2013,9470.089081370375
05/2013,9257.772613640365
06/2013,8821.520369001091
07/2013,8941.586563853385
08/2013,9245.80120418295
09/2013,9009.541917538116
10/2013,8876.44801239393
11/2013,8805.675856483927
12/2013,8914.826942713285
01/2014,8941.234463575227
02/2014,9498.609203901271
03/2014,9537.692334776944
04/2014,9770.07851836203
05/2014,9489.102496390973
06/2014,9545.790641174606
07/2014,9070.1031653815
08/2014,8975.38819055667
09/2014,8416.605049117989
10/2014,8349.00179571142
11/2014,8009.225027287772
12/2014,7398.331044681526
01/2015,7151.508749691913
02/2015,7335.657195169184
03/2015,6958.909897538819
04/2015,7357.8395126932155
05/2015,7159.254955811416
06/2015,7282.842153445302
07/2015,6509.629942607655
08/2015,6449.772895320588
09/2015,6229.358121192915
10/2015,6201.542199218337
11/2015,5751.5580437308545
12/2015,5574.099503538608
01/2016,5480.440829548255
02/2016,5391.359459173973
03/2016,5597.338121897116
04/2016,6073.729798246541
05/2016,6062.462589345446
06/2016,6312.805887116651
07/2016,5990.282032322806
08/2016,5884.65194887504
09/2016,6068.800394352313
10/2016,6039.223970986937
11/2016,6119.854934685399
12/2016,6230.062321749235
01/2017,6238.512728425056
02/2017,6251.5404387169465
03/2017,6085.349107425796
04/2017,5993.450934826239
05/2017,5913.8762719622555
06/2017,5902.609063061159
07/2017,6036.055068483504
08/2017,6060.349987676491
09/2017,6051.195380444352
10/2017,6181.120383085103
11/2017,6152.600260554206
12/2017,6336.396605753319
01/2018,6462.096405056161
02/2018,6350.480616879689
03/2018,6311.045385725855
04/2018,6474.0678145135735
05/2018,6565.613886834971
06/2018,6336.04450547516
07/2018,6200.83799866202
08/2018,6091.334812154501
09/2018,6207.880004225203
10/2018,6074.0818985247
11/2018,6039.576071265096
12/2018,5623.745642759058
01/2019,5930.072884757578
02/2019,5989.929932044646
03/2019,5979.36692369987
04/2019,5954.015703672406
05/2019,5754.0227456779685
06/2019,5908.242667511708
07/2019,5868.807436357875
08/2019,5732.544628710257
09/2019,5799.795781838668
10/2019,5917.045174465688
11/2019,5765.642054857223
12/2019,6056.12478433858
01/2020,5610.717932467167
02/2020,5327.981409105313
03/2020,4645.611070032745
04/2020,4574.134713566424
05/2020,4772.367170170065
06/2020,4881.518256399422
07/2020,5160.029576423365
08/2020,5508.960952079152
09/2020,5324.460406323721
10/2020,5399.457765571635
11/2020,5589.239815499454
12/2020,5867.046934967078
01/2021,6021.266856800817
02/2021,6410.6897644449145
03/2021,6273.018555684659
04/2021,6793.070666525827
05/2021,6978.627513115735
06/2021,7107.848315200169
07/2021,7238.477518397241
08/2021,7216.999401429527
09/2021,7576.141685151932
10/2021,7771.909439808458
11/2021,7203.619590859477
12/2021,7457.483891412275
01/2022,8112.390408788423
02/2022,8617.654307946903
