Date,Bloomberg Commodity Index 3 Month Forward
01/1991,10000
02/1991,9933.928710348839
03/1991,10884.485528937883
04/1991,11479.8849170699
05/1991,11594.782953126516
06/1991,11775.467830894766
07/1991,12282.718368389258
08/1991,11965.528565602317
09/1991,11744.103222957308
10/1991,11841.066685880816
11/1991,11174.875580749598
12/1991,10524.448533779221
01/1992,10837.079820356726
02/1992,11134.072047976912
03/1992,11475.953970606855
04/1992,11451.352049846264
05/1992,11621.12963312539
06/1992,11311.210277390966
07/1992,10614.763671268109
08/1992,10218.408689705284
09/1992,10486.290081072466
10/1992,10676.292502909922
11/1992,11381.306999919543
12/1992,11424.039132322227
01/1993,11641.821555931943
02/1993,12024.09037025516
03/1993,12359.222168785134
04/1993,12086.37973800119
05/1993,11979.058643888398
06/1993,12389.007848152904
07/1993,13129.604206703945
08/1993,12982.367906492218
09/1993,12156.805808953091
10/1993,12229.39122834317
11/1993,12518.21991518342
12/1993,12804.457729990601
01/1994,13166.722314161707
02/1994,13154.366498665511
03/1994,12890.444816142193
04/1994,13108.633955972882
05/1994,13576.201866978117
06/1994,13568.610171322449
07/1994,13450.11206409289
08/1994,13286.41085618034
09/1994,13282.194259309073
10/1994,13113.202445842799
11/1994,13387.490180131503
12/1994,13996.707465004218
01/1995,13699.647075818222
02/1995,13525.75110042345
03/1995,13328.356869449242
04/1995,13311.060960900431
05/1995,13507.98569465164
06/1995,13185.778838630049
07/1995,13267.661333106127
08/1995,13867.029642220517
09/1995,14270.588274340153
10/1995,14165.849971358986
11/1995,14322.67187224998
12/1995,14978.334207071173
01/1996,15268.207057906626
02/1996,15640.955544451406
03/1996,16089.771963004705
04/1996,16662.203680997274
05/1996,16932.787444080255
06/1996,16775.729682484645
07/1996,16325.28817989038
08/1996,16914.305883473582
09/1996,17087.658412896402
10/1996,16863.06206044624
11/1996,17172.156962227684
12/1996,17857.09156988186
01/1997,18653.946621526953
02/1997,19873.00899802501
03/1997,20508.736001298912
04/1997,20812.715868812935
05/1997,20909.231111577465
06/1997,20372.997800780166
07/1997,21447.611413210467
08/1997,22146.28394109474
09/1997,21737.616159732315
10/1997,21405.421174868556
11/1997,20594.489402466006
12/1997,20489.279675710033
01/1998,21064.00462005606
02/1998,20401.198417056148
03/1998,20419.023200254764
04/1998,20146.963403878737
05/1998,19024.35602084443
06/1998,18913.156538361214
07/1998,18061.878411063048
08/1998,16947.46806552111
09/1998,17134.932461742603
10/1998,16213.445827738824
11/1998,15972.871045313144
12/1998,15280.300444329627
01/1999,15672.076775302414
02/1999,15683.203924985977
03/1999,17406.06419317338
04/1999,18329.453452019294
05/1999,17677.19187526915
06/1999,18864.311531462477
07/1999,18406.768654659143
08/1999,19595.752285888077
09/1999,20452.995965933325
10/1999,20474.24290924569
11/1999,21548.31276378208
12/1999,22346.065794072085
01/2000,24018.197887893595
02/2000,24517.15303412826
03/2000,25610.999245381827
04/2000,26659.531436210298
05/2000,27650.777743209772
06/2000,27229.265117852254
07/2000,27213.587946838485
08/2000,30574.863699472477
09/2000,31394.645635976933
10/2000,31887.5011229644
11/2000,32382.31797892123
12/2000,29790.886323070437
01/2001,30130.414335844103
02/2001,30308.682872183348
03/2001,30621.618039080906
04/2001,31461.397173719
05/2001,32348.666719132052
06/2001,31406.50597879959
07/2001,30663.532571782955
08/2001,29363.464279466763
09/2001,27901.79469686631
10/2001,26968.356286568323
11/2001,27894.910054179232
12/2001,27650.381934867353
01/2002,28366.564776700285
02/2002,29033.83590337308
03/2002,31553.874109152275
04/2002,30595.94451659422
05/2002,29170.25916779495
06/2002,28039.255455620216
07/2002,28350.441184170042
08/2002,29597.79850440687
09/2002,30200.250923037285
10/2002,30086.832664519632
11/2002,29984.24987136715
12/2002,29430.755629596882
01/2003,30488.42204329201
02/2003,31238.256978218375
03/2003,29334.05444349224
04/2003,28873.636563839576
05/2003,28601.718667756424
06/2003,29047.02126264218
07/2003,29567.92442419215
08/2003,31781.856092047314
09/2003,29938.568750705177
10/2003,31558.08424652614
11/2003,30683.2314345217
12/2003,31014.373123899044
01/2004,32603.280165802295
02/2004,34753.16529291125
03/2004,36602.401125664226
04/2004,37089.47424787752
05/2004,37486.21568630759
06/2004,36694.42956159794
07/2004,37906.76489303235
08/2004,37901.64879019426
09/2004,39395.777994652526
10/2004,39447.09326995394
11/2004,37877.690538143775
12/2004,36022.528050371395
01/2005,38321.85325131428
02/2005,40748.7754234835
03/2005,43795.4163813116
04/2005,41982.60195009672
05/2005,43964.478358534805
06/2005,46106.89065321499
07/2005,48338.315358450825
08/2005,51025.18150947786
09/2005,54111.70776455647
10/2005,51716.48446417518
11/2005,53645.04639852192
12/2005,56528.02589473984
01/2006,57878.09178274906
02/2006,56337.17181646474
03/2006,56861.23619613965
04/2006,58840.858648077374
05/2006,57897.59744150151
06/2006,58264.031538425326
07/2006,60020.992830123694
08/2006,58268.36891912863
09/2006,55940.6768142073
10/2006,58704.71284050366
11/2006,59993.19746460336
12/2006,58185.142206662225
01/2007,59182.75092735751
02/2007,60322.61270204905
03/2007,60685.898387495494
04/2007,60502.223547234054
05/2007,61482.33540066959
06/2007,60918.73906912883
07/2007,61629.090615838366
08/2007,59913.02905069079
09/2007,62615.103833778085
10/2007,63702.43325821771
11/2007,61317.7248018326
12/2007,64803.86824565302
01/2008,67400.66369746104
02/2008,74340.83465025524
03/2008,67409.24722634412
04/2008,71379.5986390828
05/2008,74144.36360030086
06/2008,79922.93106284348
07/2008,71478.08796507644
08/2008,70447.100345678
09/2008,64162.45522110307
10/2008,57375.72982771369
11/2008,53753.089115468
12/2008,47729.84210390475
01/2009,49340.78638451774
02/2009,48127.81648320288
03/2009,47680.361052326305
04/2009,48271.337943149716
05/2009,51156.55892467819
06/2009,50168.19185806022
07/2009,51776.300403219706
08/2009,51239.81784603402
09/2009,50601.370153817596
10/2009,51800.20595361062
11/2009,53258.204346258375
12/2009,56506.80576762977
01/2010,54238.432091205614
02/2010,57995.69593313262
03/2010,57924.149004651365
04/2010,60298.45940780674
05/2010,60778.60235486551
06/2010,60728.9733343767
07/2010,60500.337536636456
08/2010,61370.236160959095
09/2010,60938.09853192991
10/2010,63188.661960712896
11/2010,67149.81319709604
12/2010,72299.58357238639
01/2011,71800.64492256327
02/2011,72850.79321762882
03/2011,72655.33489452275
04/2011,72465.03036903332
05/2011,71182.41048001467
06/2011,67361.39613700908
07/2011,70302.2535228978
08/2011,70232.30623935265
09/2011,64231.80069794396
10/2011,65912.06311311906
11/2011,67431.7650380121
12/2011,67620.28648093929
01/2012,68295.3770765964
02/2012,68766.28293555843
03/2012,66339.75743386448
04/2012,66363.46173052877
