Date,Bloomberg Commodity
03/2005,10000
04/2005,9421.6571269557
05/2005,9823.334149437303
06/2005,10185.854903027821
07/2005,10641.739632410514
08/2005,11346.457269357908
09/2005,12028.298944375767
10/2005,11290.269287540303
11/2005,11563.414000557166
12/2005,11903.940036137721
01/2006,11802.942229886334
02/2006,11290.29505632678
03/2006,11323.324562941278
04/2006,11673.170495506534
05/2006,11481.805976066573
06/2006,11441.191804686416
07/2006,11758.556110532925
08/2006,11260.789174071848
09/2006,10742.379685026553
10/2006,11219.939050487828
11/2006,11381.830772070552
12/2006,10883.709084751286
01/2007,11088.444811994297
02/2007,11238.984163272547
03/2007,11257.336451337545
04/2007,11147.355053378518
05/2007,11287.894484908584
06/2007,11087.263419671162
07/2007,11150.653254160887
08/2007,10747.275921154253
09/2007,11219.539504835462
10/2007,11378.236571889885
11/2007,10787.068541105333
12/2007,11317.461965426433
01/2008,11677.405109507805
02/2008,12855.114435991385
03/2008,11548.693611325278
04/2008,12169.404008423762
05/2008,12528.002438855227
06/2008,13446.020431947618
07/2008,11968.149952974392
08/2008,11756.201752957579
09/2008,10715.051758605498
10/2008,9456.655449718377
11/2008,8819.37633919385
12/2008,7703.486238287002
01/2009,7915.79724052726
02/2009,7667.881908306873
03/2009,7547.688553746997
04/2009,7621.811252899441
05/2009,8110.325359887919
06/2009,7935.6190296314635
07/2009,8189.726552667964
08/2009,8065.498112158308
09/2009,7984.903802166745
10/2009,8159.272560825324
11/2009,8321.03458522619
12/2009,8849.155279268045
01/2010,8463.485766634925
02/2010,9034.061485530534
03/2010,8981.944402746984
04/2010,9269.468768738381
05/2010,9334.361991420696
06/2010,9391.505441194604
07/2010,9444.93991090382
08/2010,9457.203655134104
09/2010,9424.57888208203
10/2010,9744.92244375827
11/2010,10352.062191300387
12/2010,11146.478611705232
01/2011,10986.844914372308
02/2011,11017.27115239367
03/2011,10949.70947042956
04/2011,10831.008310466957
05/2011,10622.557325737564
06/2011,10039.465512800947
07/2011,10476.557504222365
08/2011,10442.09988707206
09/2011,9527.811623394202
10/2011,9797.27420969878
11/2011,9996.052267845667
12/2011,9977.693322148958
01/2012,10040.380151147436
02/2012,10106.49319141966
03/2012,9751.612076729516
04/2012,9814.606546697945
05/2012,9501.698448791183
06/2012,9874.678981171139
07/2012,10775.034051742874
08/2012,10632.097617151107
09/2012,10546.655969135865
10/2012,10089.046954353867
11/2012,10099.757931465474
12/2012,9681.41201466383
01/2013,9652.756522917509
02/2013,9555.158160594141
03/2013,9863.232510704172
04/2013,9391.847831310095
05/2013,9227.876684855735
06/2013,8743.286702120042
07/2013,8732.107586726575
08/2013,9056.484080923896
09/2013,8648.626539723371
10/2013,8435.911739071542
11/2013,8387.097333293486
12/2013,8380.234680975638
01/2014,8576.07010844845
02/2014,8914.788222643601
03/2014,8967.699697421549
04/2014,9145.07566151952
05/2014,9040.694110620458
06/2014,9060.743144837284
07/2014,8788.759805367052
08/2014,8822.939983498385
09/2014,8671.450993941478
10/2014,8642.323481284162
11/2014,8317.839722323053
12/2014,7899.840512581443
01/2015,8200.987123485711
02/2015,8460.80603898339
03/2015,8385.101581159332
04/2015,8505.308198176981
05/2015,8460.581699830373
06/2015,8438.177288163812
07/2015,7694.979718789608
08/2015,7455.626911719671
09/2015,7208.551163362042
10/2015,7297.521382469505
11/2015,7048.227476975782
12/2015,6637.515014593049
01/2016,6506.266933540622
02/2016,6419.322559582237
03/2016,6373.640001078104
04/2016,6905.185749756043
05/2016,7046.240362943729
06/2016,7371.574087604059
07/2016,6988.03349833824
08/2016,6853.092693605464
09/2016,7049.182717711977
10/2016,7152.612786394542
11/2016,7460.06576147264
12/2016,7662.1314808042
01/2017,7519.858578456759
02/2017,7647.9164147897045
03/2017,7379.147491223274
04/2017,7108.792124344682
05/2017,6832.500845710602
06/2017,6705.347344332708
07/2017,6672.756707411967
08/2017,6644.091098540212
09/2017,6644.731230906366
10/2017,6885.379330324393
11/2017,6731.564670252742
12/2017,6849.415959058286
01/2018,6725.103780617168
02/2018,6740.4315308030355
03/2018,6640.401946315234
04/2018,6948.407579050747
05/2018,7275.546493625829
06/2018,7045.8467120415135
07/2018,6849.664605883982
08/2018,6777.792850808596
09/2018,6952.224980543845
10/2018,6957.448112075827
11/2018,6892.953973754796
12/2018,6367.3570753474605
01/2019,6691.979881441264
02/2019,6802.159393747969
03/2019,6899.556101365831
04/2019,6880.714885220991
05/2019,6689.548101064406
06/2019,6730.620205766415
07/2019,6822.995211635144
08/2019,6734.025785302626
09/2019,6905.000690215492
10/2019,6877.225537186048
11/2019,6806.208668654985
12/2019,6988.74859392606
01/2020,6581.374165445562
02/2020,6292.425160575867
03/2020,5497.052018246123
04/2020,5452.287828859427
05/2020,5555.762212112493
06/2020,5651.366554381329
07/2020,5646.068824168849
08/2020,5981.42125483703
09/2020,5895.652947350591
10/2020,5983.806674035791
11/2020,6048.322618375203
12/2020,6198.386151488323
01/2021,6432.078405699225
02/2021,6856.545013304502
03/2021,6935.898725449544
04/2021,7288.97269664301
05/2021,7415.041970332957
06/2021,7753.798852091468
07/2021,7891.65104267949
08/2021,7906.133195887476
09/2021,8482.347422602094
10/2021,8652.214167254344
11/2021,8218.57998555859
12/2021,8536.007519712937
01/2022,9427.127040115914
02/2022,9975.82556015927
03/2022,10933.972012344691
04/2022,11992.758894089775
05/2022,11979.32571551087
06/2022,11023.750219689793
07/2022,11706.986222631687
08/2022,11949.283194253721
09/2022,11264.06716102586
10/2022,11296.003984323279
11/2022,11088.667455729634
12/2022,10523.12376157079
01/2023,10309.915817611121
02/2023,10023.783828347563
03/2023,9767.674329097204
04/2023,9600.64187486315
05/2023,9312.131682484993
06/2023,9524.974729368358
07/2023,9976.919400336588
08/2023,10041.509603311542
09/2023,10229.69587689112
10/2023,10232.693255877772
11/2023,9716.79892717226
12/2023,9353.56307159537
01/2024,9575.31498216055
02/2024,9444.217874344276
03/2024,9770.187037289683
04/2024,10120.288795289393
05/2024,10170.724768377915
06/2024,10151.766797588438
07/2024,9631.331368153333
08/2024,9410.865604981593
09/2024,9772.201561018155
