Date,Bloomberg EM USD Sovereign + Quasi-Sov
11/2016,10000
12/2016,10209.503777131076
01/2017,10132.018633495562
02/2017,10461.248002463159
03/2017,10406.888668392547
04/2017,10312.654300981334
05/2017,10122.468861777275
06/2017,9923.769595221407
07/2017,9731.936612726764
08/2017,9797.785138428395
09/2017,9811.753243869616
10/2017,9988.34639675761
11/2017,9791.079570722919
12/2017,9711.321636800183
01/2018,9325.857057101688
02/2018,9370.077318696056
03/2018,9307.50824073664
04/2018,9391.500340168093
05/2018,9624.246646491214
06/2018,9585.017394432642
07/2018,9683.0550640974
08/2018,9610.523425129913
09/2018,9813.809043946621
10/2018,9891.54230688751
11/2018,9840.027803229073
12/2018,9902.397634085615
01/2019,10196.697914821147
02/2019,10335.894861267516
03/2019,10641.791729394907
04/2019,10685.920523966372
05/2019,10831.256808753586
06/2019,10922.785242495085
07/2019,11267.187704456972
08/2019,11408.98461869106
09/2019,11550.872361072436
10/2019,11314.894768032225
11/2019,11481.54899020322
12/2019,11414.514779019823
01/2020,11786.000870730044
02/2020,11826.698091393677
03/2020,10568.560936131675
04/2020,10861.93915919178
05/2020,11136.266815532923
06/2020,11348.290632802893
07/2020,11088.759635525621
08/2020,11046.690528863093
09/2020,11098.748010397881
10/2020,11076.19286115013
11/2020,11168.191239008034
12/2020,11070.9436316694
01/2021,11071.463440421903
02/2021,10874.520689700374
03/2021,11092.363308720374
04/2021,10922.741037587928
05/2021,10924.378487748341
06/2021,11309.57167763012
07/2021,11366.462217098147
08/2021,11534.984269494298
09/2021,11590.890449319939
10/2021,11519.562353698833
11/2021,11665.200067911845
12/2021,11856.261355652594
01/2022,11710.54274083303
02/2022,11135.524149343404
03/2022,11007.346787336695
04/2022,11036.817707567669
05/2022,10879.663225494447
06/2022,10670.277440283688
07/2022,11148.011116776937
08/2022,11274.097220647975
09/2022,10915.401011232905
10/2022,10707.800417386989
11/2022,10897.621376189436
12/2022,10650.916800917994
01/2023,10817.060149843435
02/2023,10793.984671454624
03/2023,10675.154401290518
04/2023,10604.659124316848
05/2023,10822.76976113004
06/2023,10823.72562339121
07/2023,10817.780710012574
08/2023,10831.274245171622
09/2023,10821.239556787217
10/2023,10643.97702923594
11/2023,10920.47313027392
12/2023,11291.258190646535
01/2024,11405.360911023225
02/2024,11459.533818890919
03/2024,11693.383585826596
04/2024,11587.749537667492
05/2024,11639.280969253743
06/2024,11869.315950468092
07/2024,11954.479136087628
08/2024,11938.649612455583
09/2024,12041.96831610957
