Date,Bloomberg Energy and Metals Equal-Weighted
10/2012,10000
11/2012,10069.520582307272
12/2012,9802.201616413116
01/2013,9811.042607199042
02/2013,9817.345545314065
03/2013,10113.41851664576
04/2013,9576.430220759066
05/2013,9529.922880814298
06/2013,9291.920417540527
07/2013,9371.028363867841
08/2013,9677.068934896964
09/2013,9244.7019191344
10/2013,8957.765963352804
11/2013,8851.47965547117
12/2013,8912.310240467754
01/2014,9209.040864285284
02/2014,9598.763520470653
03/2014,9690.609994421367
04/2014,9786.600848484943
05/2014,9814.585103043843
06/2014,9869.703220005797
07/2014,9647.856703318637
08/2014,9744.26366161624
09/2014,9667.726294050746
10/2014,9517.294235910838
11/2014,8946.394304621947
12/2014,8332.773107318215
01/2015,8503.533601577834
02/2015,8759.962395557752
03/2015,8649.778816247974
04/2015,8980.54800391928
05/2015,8926.660989264696
06/2015,8940.677922635767
07/2015,8040.477150321195
08/2015,7909.829137035671
09/2015,7613.146641265731
10/2015,7766.345245104616
11/2015,7580.875224501692
12/2015,7119.217532613085
01/2016,6762.353513261835
02/2016,6593.452555273197
03/2016,6569.943253900463
04/2016,7078.165043931274
05/2016,7344.869033663056
06/2016,7615.756836310382
07/2016,7113.561825157339
08/2016,7112.436824831049
09/2016,7289.761205010667
10/2016,7473.820705646689
11/2016,7852.028446024905
12/2016,8033.95302964909
01/2017,7825.283719444723
02/2017,7903.209038097717
03/2017,7661.432407437914
04/2017,7361.269792344874
05/2017,7057.699407259639
06/2017,6770.576661548822
07/2017,6850.881795789431
08/2017,6733.403063488584
09/2017,6860.822861776364
10/2017,7139.224114999159
11/2017,7042.351898430243
12/2017,7173.975068863262
01/2018,7049.618869928224
02/2018,7083.978585615682
03/2018,7086.209574459685
04/2018,7469.233432630885
05/2018,7776.348437265432
06/2018,7692.3739151033615
07/2018,7464.669527708544
08/2018,7458.94530492759
09/2018,7569.620384691759
10/2018,7608.605306082358
11/2018,7260.216472923224
12/2018,6732.579783130927
01/2019,7110.705996028885
02/2019,7302.868410890421
03/2019,7461.207255573617
04/2019,7511.78287480752
05/2019,7204.898462846707
06/2019,7290.961909590918
07/2019,7368.165347649483
08/2019,7120.265518061034
09/2019,7355.9870208736575
10/2019,7320.906071236001
11/2019,7406.863584811462
12/2019,7662.168163209262
01/2020,7123.7280262250815
02/2020,6736.768865491795
03/2020,5153.819330421086
04/2020,4968.999777302812
05/2020,5521.638702311941
06/2020,5706.186039802385
07/2020,5645.2286201949155
08/2020,5952.080315025633
09/2020,5884.364666776615
10/2020,5773.557572891554
11/2020,6218.144731356237
12/2020,6373.625944288978
01/2021,6664.507893009429
02/2021,7292.351003774607
03/2021,7315.05217314489
04/2021,7713.313907753868
05/2021,7849.243201176254
06/2021,8364.200442354018
07/2021,8549.215020278607
08/2021,8591.852118598119
09/2021,9183.011197637663
10/2021,9549.339816269634
11/2021,9053.732735224712
12/2021,9500.990913263602
01/2022,10582.827710190671
02/2022,11142.95793720453
03/2022,12344.721188003896
04/2022,13605.545783877351
05/2022,13769.655250669493
06/2022,12993.684051323848
07/2022,13387.374879825993
08/2022,13530.627376247157
09/2022,12863.959885078324
10/2022,13069.257788271776
11/2022,12846.97964584225
12/2022,12349.606496063881
01/2023,11973.240692030147
02/2023,11372.738818480731
03/2023,11005.418228213564
04/2023,10854.089007063412
05/2023,10267.877581983437
06/2023,10258.635187231519
07/2023,11016.889795770343
08/2023,11073.175070326444
09/2023,11487.647614534291
10/2023,11276.974167721884
11/2023,10551.38200321102
12/2023,10424.806126777263
01/2024,10549.353943355638
02/2024,10486.890365867319
03/2024,10815.188726204631
04/2024,11605.7376749211
05/2024,11715.76202649155
06/2024,11733.916667367717
07/2024,10963.554666591841
08/2024,10739.995455032524
09/2024,11133.709950470753
