Date,Bloomberg Euro Aggregate Bond
03/2009,10000
04/2009,10090.208467370827
05/2009,10067.507000112146
06/2009,10197.741787025267
07/2009,10407.43170934377
08/2009,10483.899836429668
09/2009,10577.692815799186
10/2009,10605.771000048244
11/2009,10681.641725470248
12/2009,10620.108741997064
01/2010,10710.914611031789
02/2010,10817.253127358435
03/2010,10893.12385278044
04/2010,10868.63018053007
05/2010,10967.202373210755
06/2010,10922.994242021186
07/2010,11007.826094416945
08/2010,11274.26968488215
09/2010,11162.799492343245
10/2010,11119.726383508956
11/2010,10899.546022682634
12/2010,10851.87885832747
01/2011,10795.22669541567
02/2011,10821.243864327349
03/2011,10763.588074781426
04/2011,10838.89118701048
05/2011,10944.178231521933
06/2011,10908.67435275187
07/2011,10970.046050017638
08/2011,11161.87451951426
09/2011,11204.037243709101
10/2011,11118.127191486545
11/2011,10860.357248847407
12/2011,11203.079421949824
01/2012,11424.661473155573
02/2012,11609.409569960473
03/2012,11651.630544898158
04/2012,11651.726949367487
05/2012,11769.258075590713
06/2012,11685.275806708773
07/2012,11896.77231817788
08/2012,11995.815209505632
09/2012,12115.558843803756
10/2012,12211.271343273658
11/2012,12357.107433783316
12/2012,12457.175681006527
01/2013,12373.62962959638
02/2013,12446.873154702414
03/2013,12522.241760761424
04/2013,12782.263181324432
05/2013,12664.016315676017
06/2013,12473.402032416367
07/2013,12561.31495124877
08/2013,12506.568026293755
09/2013,12598.707133433918
10/2013,12756.619082406754
11/2013,12797.788483513932
12/2013,12727.529824405838
01/2014,12962.821509287765
02/2014,13038.03301176713
03/2014,13133.290012871372
04/2014,13244.454873583085
05/2014,13372.363915425594
06/2014,13496.137052510983
07/2014,13595.215853228368
08/2014,13815.464666328677
09/2014,13835.608201667867
10/2014,13879.564661084069
11/2014,14024.135251655094
12/2014,14140.440255849913
01/2015,14385.566624817606
02/2015,14475.837015482486
03/2015,14602.789153703521
04/2015,14448.125372247496
05/2015,14282.459647512003
06/2015,13968.289009703809
07/2015,14222.367222251914
08/2015,14102.279388292929
09/2015,14204.898630394457
10/2015,14344.322956563687
11/2015,14413.423333825489
12/2015,14281.989969018052
01/2016,14501.73492849507
02/2016,14622.836080542762
03/2016,14701.636379663896
04/2016,14599.006017893424
05/2016,14718.508896056508
06/2016,14976.064708556898
07/2016,15118.018708404341
08/2016,15100.572559915403
09/2016,15121.752060742447
10/2016,14878.193259050613
11/2016,14676.315567268228
12/2016,14756.373511149013
01/2017,14539.441011793571
02/2017,14691.171342968632
03/2017,14619.854887096033
04/2017,14687.693232939793
05/2017,14754.24924631853
06/2017,14675.373557882227
07/2017,14715.748871805019
08/2017,14831.309674302755
09/2017,14774.920506863891
10/2017,14920.732011683487
11/2017,14946.508526475436
12/2017,14856.846045051532
01/2018,14789.708952458732
02/2018,14807.293331694695
03/2018,14965.666287860011
04/2018,14927.382083791479
05/2018,14823.55936706069
06/2018,14894.731471267576
07/2018,14865.157946583171
08/2018,14827.429725962083
09/2018,14789.747718277087
10/2018,14786.297458428277
11/2018,14822.20725612263
12/2018,14917.759081476986
01/2019,15060.58133364025
02/2019,15048.925982290897
03/2019,15292.012963167239
04/2019,15310.014380996441
05/2019,15433.136558379423
06/2019,15724.142477399604
07/2019,15954.696877263368
08/2019,16260.025950042836
09/2019,16173.471161051868
10/2019,16025.451126754524
11/2019,15926.391606931005
12/2019,15810.537000336273
01/2020,16124.998789843368
02/2020,16181.254827300778
03/2020,15632.471314493101
04/2020,15817.119130246834
05/2020,15850.501600615136
06/2020,16006.42425101455
07/2020,16169.144691692947
08/2020,16082.33874100517
09/2020,16246.146052811837
10/2020,16382.74669717523
11/2020,16427.007672296135
12/2020,16450.106693223566
01/2021,16375.241940787844
02/2021,16121.130777294138
03/2021,16138.223544744185
04/2021,16024.132068777377
05/2021,16011.604894576307
06/2021,16074.288202701486
07/2021,16325.491317726779
08/2021,16248.653079090911
09/2021,16074.096209885322
10/2021,15975.372830513057
11/2021,16174.783486018458
12/2021,15981.239935105612
01/2022,15801.841623248862
02/2022,15452.239231495807
03/2022,15354.485609674262
04/2022,14920.135528157394
05/2022,14688.678088756606
06/2022,14339.003674193658
07/2022,14948.10231168634
08/2022,14223.72535209335
09/2022,13686.000095017062
10/2022,13699.561194399756
11/2022,14030.343699479787
12/2022,13524.969742003585
01/2023,13831.985229896758
02/2023,13544.638192037313
03/2023,13818.005765721777
04/2023,13836.2985392805
05/2023,13886.759392939934
06/2023,13840.836588395388
07/2023,13865.773823219972
08/2023,13906.768880159869
09/2023,13615.75143340949
10/2023,13669.32691654304
11/2023,14043.872868069993
12/2023,14506.74632865512
01/2024,14459.834995742547
02/2024,14302.402110672314
03/2024,14458.44340487895
04/2024,14277.782449512291
05/2024,14283.185384437713
06/2024,14331.140129955877
07/2024,14623.723001660577
08/2024,14686.945766752742
09/2024,14868.168418424288
