Date,Bloomberg Euro Aggregate Treasury
04/2009,10000
05/2009,9879.202145123007
06/2009,10001.731320168688
07/2009,10176.796636312602
08/2009,10226.833323080988
09/2009,10288.691279893994
10/2009,10299.348770276782
11/2009,10367.289257118273
12/2009,10276.646457276578
01/2010,10329.5439044586
02/2010,10455.661795971691
03/2010,10517.852162298654
04/2010,10447.979662673319
05/2010,10605.949589973507
06/2010,10528.721725794987
07/2010,10623.056557237336
08/2010,10902.099351632225
09/2010,10774.078145983412
10/2010,10718.635326634554
11/2010,10446.024789931833
12/2010,10393.500029331997
01/2011,10346.037413378574
02/2011,10340.126778356263
03/2011,10276.0731770401
04/2011,10340.757455888992
05/2011,10436.892286333814
06/2011,10400.184538245085
07/2011,10410.492300964188
08/2011,10717.669963488193
09/2011,10800.05725083418
10/2011,10589.919910583722
11/2011,10333.519656832255
12/2011,10742.48548659884
01/2012,10945.312390524552
02/2012,11140.255577889042
03/2012,11144.954140351983
04/2012,11122.541188893552
05/2012,11259.040766884878
06/2012,11169.924240319075
07/2012,11352.0952427775
08/2012,11430.617910790668
09/2012,11579.667506567239
10/2012,11663.728320942246
11/2012,11833.51872660021
12/2012,11924.38013097192
01/2013,11864.101985257681
02/2013,11887.603901971117
03/2013,11966.272240363724
04/2013,12270.503145490587
05/2013,12116.494918122557
06/2013,11933.981709025475
07/2013,12022.06607386739
08/2013,11957.6664064392
09/2013,12048.178874834073
10/2013,12218.562649782203
11/2013,12260.201419383677
12/2013,12191.172758974028
01/2014,12456.795867584675
02/2014,12540.758413830072
03/2014,12655.916291624815
04/2014,12775.98480499605
05/2014,12903.595619976697
06/2014,13041.682530091817
07/2014,13160.23763509839
08/2014,13409.34209873174
09/2014,13421.607505096286
10/2014,13454.491801568125
11/2014,13641.101099439271
12/2014,13791.507844389515
01/2015,14110.55497089482
02/2015,14209.186682687241
03/2015,14384.306328340876
04/2015,14180.471013296617
05/2015,13965.841839810559
06/2015,13606.494389275746
07/2015,13920.54903957698
08/2015,13770.867578737412
09/2015,13953.990089822413
10/2015,14099.735085747998
11/2015,14161.553062375344
12/2015,14018.701978750016
01/2016,14293.06244026228
02/2016,14428.979138814133
03/2016,14497.047186198492
04/2016,14333.253808389774
05/2016,14483.088856477229
06/2016,14814.320736249765
07/2016,14935.51779921824
08/2016,14888.3783894192
09/2016,14918.056552091373
10/2016,14602.06325862897
11/2016,14375.53928718258
12/2016,14471.119837875201
01/2017,14172.96364486923
02/2017,14338.69309285687
03/2017,14253.968548023367
04/2017,14327.47004118434
05/2017,14408.00111976187
06/2017,14329.534562553828
07/2017,14362.27180319425
08/2017,14483.359811299857
09/2017,14414.865737432146
10/2017,14573.37628788647
11/2017,14617.748158397853
12/2017,14495.655400725358
01/2018,14443.925691639399
02/2018,14470.971396591804
03/2018,14702.978195281752
04/2018,14647.625925115766
05/2018,14468.168528278695
06/2018,14577.611218740936
07/2018,14527.42500211974
08/2018,14443.956468465489
09/2018,14424.869987207132
10/2018,14419.04099489069
11/2018,14502.681720433682
12/2018,14637.413263778893
01/2019,14794.920549079163
02/2019,14739.660906274015
03/2019,15008.004151922489
04/2019,15002.582977291966
05/2019,15166.394563898117
06/2019,15514.690758805715
07/2019,15777.501795743688
08/2019,16166.515533647997
09/2019,16103.676379951734
10/2019,15922.56465449163
11/2019,15779.435589822928
12/2019,15628.27624756586
01/2020,16013.420616016287
02/2020,16090.30666939957
03/2020,15673.664248142524
04/2020,15751.355743929522
05/2020,15784.996299259843
06/2020,15944.184236770734
07/2020,16110.90655902259
08/2020,15985.01489202539
09/2020,16207.261676331975
10/2020,16367.180142878891
11/2020,16383.180430894565
12/2020,16408.122623900377
01/2021,16308.148409140907
02/2021,15999.830420677847
03/2021,16022.619225465842
04/2021,15851.54618815847
05/2021,15843.783203841074
06/2021,15918.583657192632
07/2021,16211.753707489286
08/2021,16117.386021042877
09/2021,15924.50211012253
10/2021,15823.442492698865
11/2021,16099.398698007648
12/2021,15840.965788282196
01/2022,15670.220707250275
02/2022,15365.153978737035
03/2022,15002.390399466976
04/2022,14431.19457548841
05/2022,14166.35137738073
06/2022,13899.1667654296
07/2022,14473.89430442275
08/2022,13722.474136976232
09/2022,13197.010202547537
10/2022,13221.081441063227
11/2022,13536.930746480733
12/2022,12916.508329297709
01/2023,13229.93823971755
02/2023,12921.21728265049
03/2023,13234.949221601619
04/2023,13222.159421663258
05/2023,13277.811444260851
06/2023,13242.016906947581
07/2023,13220.754078552909
08/2023,13262.194926443188
09/2023,12908.911203374295
10/2023,12960.333540042768
11/2023,13350.738370694222
12/2023,13837.623504137395
01/2024,13769.594150447576
02/2024,13606.57365692108
03/2024,13747.987136197133
04/2024,13554.087095211506
05/2024,13539.26602475114
06/2024,13565.681151131672
07/2024,13873.538179929361
08/2024,13928.102523763075
09/2024,14110.397029369286
