Date,Bloomberg Euro Corporate Bond
03/2009,10000
04/2009,10293.64219983942
05/2009,10534.078657688653
06/2009,10769.127146759442
07/2009,11140.894294290363
08/2009,11269.531199448133
09/2009,11441.271455102833
10/2009,11539.601285713494
11/2009,11641.298446911704
12/2009,11636.584024196893
01/2010,11825.83507844888
02/2010,11893.857734579782
03/2010,12016.433124895477
04/2010,12085.802773220988
05/2010,12020.474101479309
06/2010,12048.760737700826
07/2010,12194.90834152323
08/2010,12425.91585401019
09/2010,12391.567802879248
10/2010,12385.506387969828
11/2010,12217.807008966307
12/2010,12188.84692661381
01/2011,12135.641084690973
02/2011,12233.297369238002
03/2011,12192.887903197641
04/2011,12313.442855187746
05/2011,12425.242407879208
06/2011,12370.689573761763
07/2011,12517.510723647796
08/2011,12355.521196489626
09/2011,12205.908328082289
10/2011,12439.502197494
11/2011,12058.646874938637
12/2011,12369.9314846759
01/2012,12733.451490368067
02/2012,12964.873423556195
03/2012,13075.515456358187
04/2012,13091.239259301194
05/2012,13107.694869043009
06/2012,13077.604748279895
07/2012,13396.35522639517
08/2012,13535.8764960355
09/2012,13640.013113162382
10/2012,13795.267179684251
11/2012,13913.170518728903
12/2012,14051.328906883207
01/2013,13881.029580114482
02/2013,14056.964508769315
03/2013,14129.579669781551
04/2013,14324.532181536255
05/2013,14298.232706067745
06/2013,14063.183417535749
07/2013,14182.200505969002
08/2013,14152.82210554197
09/2013,14247.732240856276
10/2013,14411.5414416454
11/2013,14446.591619577986
12/2013,14384.383444777393
01/2014,14580.060368314775
02/2014,14662.127559131524
03/2014,14723.808489268658
04/2014,14859.315464342806
05/2014,14991.917996866012
06/2014,15076.23017467378
07/2014,15151.100615740019
08/2014,15326.405069303544
09/2014,15353.44164800133
10/2014,15420.341860603046
11/2014,15507.340927581858
12/2014,15591.995174851909
01/2015,15735.285304469053
02/2015,15826.847296264683
03/2015,15804.002492520167
04/2015,15725.504196446802
05/2015,15654.18006534496
06/2015,15345.592637841726
07/2015,15537.219490924092
08/2015,15413.119827891993
09/2015,15305.325975558773
10/2015,15525.494393053801
11/2015,15631.81513818762
12/2015,15504.207739194171
01/2016,15596.198142262023
02/2016,15667.636496383264
03/2016,15886.233772748856
04/2016,15928.568541231638
05/2016,15982.87943840249
06/2016,16136.17032800744
07/2016,16406.848604383078
08/2016,16445.743391241474
09/2016,16433.689914682
10/2016,16313.489223937528
11/2016,16134.811144029482
12/2016,16237.153270553312
01/2017,16145.534816810214
02/2017,16339.97957076828
03/2017,16280.661847947576
04/2017,16368.37903095209
05/2017,16429.70370119058
06/2017,16338.475684312558
07/2017,16465.873624470787
08/2017,16556.347149838366
09/2017,16522.756188466785
10/2017,16705.292068410494
11/2017,16676.559632635584
12/2017,16628.838094566167
01/2018,16584.29631349952
02/2018,16580.53864597954
03/2018,16563.355126812286
04/2018,16570.319433217985
05/2018,16529.528324385785
06/2018,16521.928046593002
07/2018,16567.89406779301
08/2018,16569.91730423281
09/2018,16522.42191375123
10/2018,16492.488087653328
11/2018,16386.466440942128
12/2018,16420.642408049094
01/2019,16599.046472629772
02/2019,16713.148173788275
03/2019,16945.31740333602
04/2019,17067.052260129287
05/2019,17040.779766476382
06/2019,17310.750319821957
07/2019,17558.062543748645
08/2019,17669.894974282084
09/2019,17534.807016811024
10/2019,17498.277635787363
11/2019,17454.37452428936
12/2019,17445.359999628246
01/2020,17647.015393975234
02/2020,17576.302650828475
03/2020,16372.362346396647
04/2020,16983.40523404252
05/2020,17012.918343682275
06/2020,17237.319308651935
07/2020,17496.683610080985
08/2020,17527.32715786196
09/2020,17580.70518374142
10/2020,17717.06998068652
11/2020,17898.96948951254
12/2020,17928.86214335849
01/2021,17907.730984702863
02/2021,17769.078029861772
03/2021,17806.487917468025
04/2021,17809.441926613563
05/2021,17785.271016598366
06/2021,17858.817949642842
07/2021,18062.53705315303
08/2021,17989.011105965135
09/2021,17873.107519187444
10/2021,17740.47390760997
11/2021,17775.048805857296
12/2021,17755.745015646702
01/2022,17521.158515218667
02/2022,17080.610822336286
03/2022,16875.355654056948
04/2022,16412.798494454662
05/2022,16210.902862016143
06/2022,15645.808107625866
07/2022,16381.240662855269
08/2022,15688.49933587259
09/2022,15167.320284494266
10/2022,15183.093454166561
11/2022,15609.549144354163
12/2022,15332.84932619661
01/2023,15673.505041277429
02/2023,15447.074044447749
03/2023,15601.338777730749
04/2023,15710.490914648073
05/2023,15737.185224018272
06/2023,15667.764809906364
07/2023,15832.30072092913
08/2023,15857.121093239211
09/2023,15720.921085234604
10/2023,15784.192143704751
11/2023,16147.359786871639
12/2023,16588.164606463473
01/2024,16610.813242415275
02/2024,16464.218639847677
03/2024,16665.366776061273
04/2024,16524.176531226778
05/2024,16568.222546414843
06/2024,16677.952294051425
07/2024,16964.077160197885
08/2024,17014.29751419031
09/2024,17223.901251751387
