Date,Bloomberg Euro Government Bond 3-7 Year
06/2009,10000
07/2009,10112.929922318823
08/2009,10137.042457632251
09/2009,10201.034562603838
10/2009,10229.604214646253
11/2009,10285.842118316905
12/2009,10222.166349759476
01/2010,10261.683854773397
02/2010,10378.322019819487
03/2010,10438.464441282884
04/2010,10352.07599532986
05/2010,10535.507168929445
06/2010,10471.863271562677
07/2010,10536.551197870782
08/2010,10689.691081259045
09/2010,10600.625257332646
10/2010,10562.527010091746
11/2010,10382.984616647282
12/2010,10379.6880269696
01/2011,10299.283941447198
02/2011,10316.731636715698
03/2011,10250.961079713588
04/2011,10274.599803257754
05/2011,10374.300904937916
06/2011,10373.094847614238
07/2011,10386.522318810845
08/2011,10670.18809010821
09/2011,10712.8826183454
10/2011,10588.175895161281
11/2011,10369.155093349827
12/2011,10726.229718713385
01/2012,10936.245226522113
02/2012,11084.269189935887
03/2012,11074.620731346431
04/2012,11063.605374797186
05/2012,11063.846586261923
06/2012,11087.083356684094
07/2012,11223.609540619149
08/2012,11324.597070451624
09/2012,11454.20849273795
10/2012,11525.687754065106
11/2012,11650.314106420597
12/2012,11714.476652977033
01/2013,11660.686298383116
02/2013,11722.115049019969
03/2013,11764.809577257163
04/2013,11974.909217090932
05/2013,11886.457556947335
06/2013,11737.939095184023
07/2013,11838.05036523098
08/2013,11800.498580237434
09/2013,11887.904924714605
10/2013,12038.514017810769
11/2013,12098.741561087738
12/2013,12034.010282042023
01/2014,12236.645035762149
02/2014,12287.384169254947
03/2014,12374.549203288529
04/2014,12447.56204296391
05/2014,12540.275435580692
06/2014,12652.609109289104
07/2014,12715.651017271986
08/2014,12820.828123993819
09/2014,12865.45600616646
10/2014,12852.104748686656
11/2014,12918.487885809916
12/2014,12976.076355929617
01/2015,13041.150695679795
02/2015,13121.661876321132
03/2015,13139.257643953706
04/2015,13091.228650434623
05/2015,13036.104951712077
06/2015,12914.7877593486
07/2015,13068.152918606263
08/2015,13007.41474342672
09/2015,13095.833938506537
10/2015,13189.317188641877
11/2015,13263.192530042212
12/2015,13192.937934063099
01/2016,13325.447457164972
02/2016,13367.592949704629
03/2016,13389.928616649182
04/2016,13347.391761724803
05/2016,13405.591723198277
06/2016,13500.273706222173
07/2016,13531.073945695569
08/2016,13533.740534973967
09/2016,13553.293411466711
10/2016,13428.465538166536
11/2016,13351.587277345337
12/2016,13443.651665623067
01/2017,13318.97057796187
02/2017,13395.127183965917
03/2017,13355.617795217939
04/2017,13401.934355601445
05/2017,13458.537986133893
06/2017,13407.842403336414
07/2017,13440.514134962139
08/2017,13502.610003068146
09/2017,13479.809531429953
10/2017,13559.880355154337
11/2017,13573.225475945259
12/2017,13496.23715063954
01/2018,13432.789627317103
02/2018,13456.097761492281
03/2018,13588.111895434939
04/2018,13564.956683587629
05/2018,13359.140551574703
06/2018,13459.944673592587
07/2018,13424.24557476931
08/2018,13320.297785401614
09/2018,13324.04690639516
10/2018,13329.068103607342
11/2018,13419.44450652618
12/2018,13537.404039259685
01/2019,13621.101646115321
02/2019,13587.530889567888
03/2019,13700.15724374459
04/2019,13706.994900866839
05/2019,13747.709258171115
06/2019,13896.658673860344
07/2019,14031.290402549173
08/2019,14168.338106060632
09/2019,14139.996501295507
10/2019,14058.525027822461
11/2019,13981.340922345527
12/2019,13942.883480847127
01/2020,14085.313159489911
02/2020,14080.622155731307
03/2020,13909.318762009723
04/2020,13917.122848652563
05/2020,13949.078963171176
06/2020,14038.8987090208
07/2020,14099.734774285951
08/2020,14060.420967751483
09/2020,14141.323609756397
10/2020,14217.590280244964
11/2020,14223.669660374455
12/2020,14231.632707055198
01/2021,14200.77743533954
02/2021,14101.593993060513
03/2021,14155.372074276662
04/2021,14095.117113857414
05/2021,14094.163056693444
06/2021,14117.477327557508
07/2021,14227.290306816823
08/2021,14185.169361032713
09/2021,14112.242039086314
10/2021,13971.237260011172
11/2021,14130.798000571742
12/2021,14018.936060076683
01/2022,13910.187301444706
02/2022,13774.25885080286
03/2022,13507.160357876652
04/2022,13256.709613129078
05/2022,13148.052508914976
06/2022,13023.964700498602
07/2022,13352.584192352651
08/2022,12859.896561951726
09/2022,12527.968207042222
10/2022,12563.526755894254
11/2022,12660.239290087244
12/2022,12329.90726611876
01/2023,12515.876851382121
02/2023,12311.913999412578
03/2023,12560.383088544442
04/2023,12575.342851364188
05/2023,12634.038300975728
06/2023,12512.812763030113
07/2023,12573.495806988545
08/2023,12628.57051117886
09/2023,12450.612868149617
10/2023,12550.713745417006
11/2023,12775.397721281131
12/2023,13096.243710957917
01/2024,13066.880743408787
02/2024,12899.509977474194
03/2024,12998.277411634104
04/2024,12873.253857141566
05/2024,12876.54431013036
06/2024,12935.380408691999
07/2024,13158.119450094871
08/2024,13223.517945588592
09/2024,13397.475754189662
