Date,Bloomberg Euro Treasury 50bn 3-5 Year Bond
10/2012,10000
11/2012,10086.446621389889
12/2012,10124.766841207149
01/2013,10070.104823560481
02/2013,10113.151645044956
03/2013,10144.004165145376
04/2013,10285.383053285423
05/2013,10222.221977098337
06/2013,10125.958143377658
07/2013,10202.75301107144
08/2013,10183.5653247236
09/2013,10251.408880275261
10/2013,10346.453835386334
11/2013,10394.718119154542
12/2013,10354.721251838002
01/2014,10489.090209150732
02/2014,10518.98306916946
03/2014,10585.39816517405
04/2014,10633.844453440477
05/2014,10693.420592540471
06/2014,10765.996265047095
07/2014,10798.249668255485
08/2014,10858.129148185888
09/2014,10903.542028147844
10/2014,10875.772553942283
11/2014,10917.5755570689
12/2014,10947.741553668518
01/2015,10983.357176276655
02/2015,11037.903078703777
03/2015,11041.91307678897
04/2015,11020.522743124064
05/2015,11002.60185759617
06/2015,10935.121367122576
07/2015,11023.937033103064
08/2015,10987.041741229817
09/2015,11031.98460835249
10/2015,11084.296605381347
11/2015,11127.369610948537
12/2015,11090.34193949605
01/2016,11164.540693611696
02/2016,11182.400905165829
03/2016,11192.825797024192
04/2016,11166.851820431122
05/2016,11202.79839198711
06/2016,11263.516492292281
07/2016,11286.076178906422
08/2016,11283.980168903146
09/2016,11297.2181268185
10/2016,11220.879236173212
11/2016,11189.455633571557
12/2016,11254.448491120262
01/2017,11168.672039644485
02/2017,11225.650416838555
03/2017,11191.369621653545
04/2017,11223.923966493749
05/2017,11253.830719750851
06/2017,11207.77917365278
07/2017,11226.941117735314
08/2017,11264.77961411007
09/2017,11251.017653693863
10/2017,11294.802199498947
11/2017,11298.277163451712
12/2017,11249.897943086888
01/2018,11198.512603112003
02/2018,11219.263102144354
03/2018,11292.766863469507
04/2018,11279.611642791062
05/2018,11109.663842236723
06/2018,11187.105896041658
07/2018,11156.917836178822
08/2018,11085.427347620034
09/2018,11093.09433157935
10/2018,11094.74907631875
11/2018,11155.257575623598
12/2018,11224.563801126375
01/2019,11261.47564044709
02/2019,11240.72514141474
03/2019,11298.86735574215
04/2019,11302.425056931967
05/2019,11321.200893908566
06/2019,11395.372068945244
07/2019,11459.046646518149
08/2019,11525.446037095313
09/2019,11496.041223075845
10/2019,11442.394398623794
11/2019,11392.509360545993
12/2019,11370.03639111043
01/2020,11442.517026628573
02/2020,11441.39777397551
03/2020,11332.577532156396
04/2020,11339.410389078903
05/2020,11362.291884849565
06/2020,11415.438333408832
07/2020,11446.786433926196
08/2020,11429.085994791587
09/2020,11472.827110572474
10/2020,11518.436656185584
11/2020,11518.04852824949
12/2020,11518.265157795253
01/2021,11499.400334852144
02/2021,11440.061891776608
03/2021,11471.834225154445
04/2021,11439.493239219053
05/2021,11438.71698334672
06/2021,11449.674827869623
07/2021,11512.714025685156
08/2021,11485.824883318002
09/2021,11445.261000874847
10/2021,11350.882728772938
11/2021,11455.550904298336
12/2021,11380.891787832412
01/2022,11311.920201941131
02/2022,11230.31496367032
03/2022,11045.903227971692
04/2022,10887.601666342682
05/2022,10821.486972349889
06/2022,10741.584803060807
07/2022,10956.115622398416
08/2022,10615.953949887626
09/2022,10396.581009735677
10/2022,10412.555991750885
11/2022,10466.14706310173
12/2022,10250.26537825741
01/2023,10366.007635966067
02/2023,10221.651869698757
03/2023,10399.18832638857
04/2023,10414.004521060788
05/2023,10454.989831081251
06/2023,10351.781395653887
07/2023,10405.873332479596
08/2023,10452.081760461517
09/2023,10346.000456709451
10/2023,10426.298606686638
11/2023,10579.447906255751
12/2023,10803.208857615997
01/2024,10786.477116519669
02/2024,10658.202480726444
03/2024,10726.096064028758
04/2024,10645.832303985972
05/2024,10650.679208701955
06/2024,10702.840705824865
07/2024,10861.084228798205
08/2024,10917.411962670643
09/2024,11045.355335841281
