Date,Bloomberg Global Aggregate Bond (EUR Hedged)
11/2017,10000
12/2017,10034.648687044672
01/2018,10154.230163363143
02/2018,10064.128262929942
03/2018,10171.250511717739
04/2018,10008.336050677555
05/2018,9932.420293078589
06/2018,9888.257362766442
07/2018,9871.749440679221
08/2018,9882.105065403757
09/2018,9796.917604352207
10/2018,9687.481034485314
11/2018,9717.77424742078
12/2018,9914.248104348482
01/2019,10065.193389603697
02/2019,10007.25819538703
03/2019,10132.543384769308
04/2019,10102.540841730897
05/2019,10239.343241560437
06/2019,10466.366474836135
07/2019,10437.282778820922
08/2019,10649.523712562812
09/2019,10541.200498894153
10/2019,10611.393947715755
11/2019,10530.931488429054
12/2019,10592.344081082321
01/2020,10727.553713296002
02/2020,10799.705479696368
03/2020,10557.723237886838
04/2020,10765.006972050114
05/2020,10812.2326263306
06/2020,10908.291519412893
07/2020,11256.19355349458
08/2020,11239.03169872072
09/2020,11198.607004046675
10/2020,11209.318234502269
11/2020,11413.128349037048
12/2020,11566.43330106861
01/2021,11464.568169892109
02/2021,11267.227374831482
03/2021,11050.482698483462
04/2021,11190.084399579562
05/2021,11295.177328973157
06/2021,11195.52707655723
07/2021,11344.541490313584
08/2021,11297.3646622115
09/2021,11096.6212493378
10/2021,11069.799468299821
11/2021,11037.419756636998
12/2021,11022.011368265741
01/2022,10796.129732806743
02/2022,10667.810956055455
03/2022,10342.947420003353
04/2022,9776.274075122048
05/2022,9802.959222414369
06/2022,9488.404970966372
07/2022,9690.118543099627
08/2022,9307.733592318255
09/2022,8829.50315167015
10/2022,8768.779296515006
11/2022,9181.447018788402
12/2022,9231.09767344851
01/2023,9534.14505645037
02/2023,9217.190963529338
03/2023,9508.652719768792
04/2023,9550.611411648448
05/2023,9363.919297825061
06/2023,9363.184717418093
07/2023,9428.024191810151
08/2023,9299.048499102666
09/2023,9027.395951040926
10/2023,8919.49278172573
11/2023,9369.26730571549
12/2023,9758.667116530456
01/2024,9624.01386408894
02/2024,9503.065453659983
03/2024,9555.38305186069
04/2024,9314.23652329607
05/2024,9436.304853116286
06/2024,9449.848399688193
07/2024,9710.797076025909
08/2024,9940.552984214753
09/2024,10109.7280353025
