Date,Bloomberg Global Aggregate Bond
11/2017,10000
12/2017,9914.162619260595
01/2018,9658.6235213687
02/2018,9763.374470890527
03/2018,9781.604359495457
04/2018,9817.764207672686
05/2018,10059.769899366458
06/2018,10050.26260863095
07/2018,9966.799516241317
08/2018,10050.044023686305
09/2018,10027.961013646278
10/2018,10141.982927868572
11/2018,10136.975707165142
12/2018,10259.73150990613
01/2019,10381.482979928116
02/2019,10386.825714535822
03/2019,10686.29341932635
04/2019,10670.797507012785
05/2019,10880.277828826978
06/2019,10897.713212683075
07/2019,11090.607447426162
08/2019,11434.052779100834
09/2019,11470.537672090813
10/2019,11272.584443830372
11/2019,11362.320816462929
12/2019,11172.216932236466
01/2020,11501.15670908834
02/2020,11657.621411034188
03/2020,11418.260555469255
04/2020,11728.077198586047
05/2020,11504.502908530108
06/2020,11542.44920642288
07/2020,11257.143603591938
08/2020,11153.374086946555
09/2020,11333.472360005899
10/2020,11354.01023770024
11/2020,11288.327029026712
12/2020,11168.663367644198
01/2021,11193.44662533385
02/2021,11014.38636782264
03/2021,11167.349210603883
04/2021,10974.284890797739
05/2021,10969.31039841021
06/2021,11162.554723167841
07/2021,11304.47162717397
08/2021,11311.684458555354
09/2021,11355.373105052562
10/2021,11263.722962635004
11/2021,11509.494560977895
12/2021,11530.974104059755
01/2022,11466.774937614478
02/2022,11286.980267729361
03/2022,11039.868838809094
04/2022,10990.424242516237
05/2022,10842.459052215801
06/2022,10823.925146912543
07/2022,11258.8953341035
08/2022,11028.733533537903
09/2022,10732.538248270375
10/2022,10480.256796893918
11/2022,10484.86562506012
12/2022,10254.948090445472
01/2023,10428.328696933488
02/2023,10284.819260463242
03/2023,10360.278259911765
04/2023,10305.545452747698
05/2023,10385.947745008814
06/2023,10210.231521874379
07/2023,10134.505910256597
08/2023,10138.427094761457
09/2023,10096.81089521276
10/2023,9952.638663778906
11/2023,10156.110905262358
12/2023,10464.293815725736
01/2024,10522.740636300623
02/2024,10401.055104416882
03/2024,10472.827100314247
04/2024,10297.106602401112
05/2024,10303.241449002478
06/2024,10459.715430911296
07/2024,10626.453135743539
08/2024,10623.758664197765
09/2024,10699.371873017091
