Date,Bloomberg Global Aggregate Corporate (EUR Hedged)
09/2012,10000
10/2012,10114.40573947605
11/2012,10136.133866560307
12/2012,10189.242830908463
01/2013,10140.235704618408
02/2013,10088.316141594876
03/2013,10073.894750315825
04/2013,10312.902352166846
05/2013,10063.875041975789
06/2013,9820.695355545484
07/2013,9974.989743908125
08/2013,9910.959640719379
09/2013,10096.728561634825
10/2013,10236.847022414606
11/2013,10224.19636233579
12/2013,10224.64478260029
01/2014,10315.11950799177
02/2014,10483.309137198501
03/2014,10490.764248823316
04/2014,10631.585174814953
05/2014,10714.760648050502
06/2014,10770.213291787308
07/2014,10700.747464893853
08/2014,10790.102436789957
09/2014,10540.406387699772
10/2014,10582.471481359236
11/2014,10611.01940813594
12/2014,10546.62679697636
01/2015,10589.333389051597
02/2015,10530.614282079656
03/2015,10422.213921691055
04/2015,10500.389119827654
05/2015,10382.497995429707
06/2015,10260.35935126779
07/2015,10301.167690759168
08/2015,10250.145866302551
09/2015,10254.87044376224
10/2015,10315.877352208256
11/2015,10202.182858759212
12/2015,10170.932137210693
01/2016,10174.276629962262
02/2016,10254.71069279574
03/2016,10636.522986387961
04/2016,10787.618563704904
05/2016,10707.124332331261
06/2016,10864.978742544567
07/2016,11051.43785548706
08/2016,11071.083432651338
09/2016,11067.862070875828
10/2016,10865.557677652405
11/2016,10556.875904112143
12/2016,10605.340815066795
01/2017,10698.400792045491
02/2017,10776.586167945106
03/2017,10774.310040963901
04/2017,10925.18060989267
05/2017,11107.880935259787
06/2017,11154.681283051912
07/2017,11341.071147293125
08/2017,11433.453205429587
09/2017,11405.159024254268
10/2017,11413.398921232956
11/2017,11477.125587389137
12/2017,11569.300597895683
01/2018,11636.669705826529
02/2018,11424.047854803954
03/2018,11473.18928765298
04/2018,11342.77432608591
05/2018,11256.115563350259
06/2018,11201.67011902375
07/2018,11269.566973901405
08/2018,11293.842934326509
09/2018,11248.056171992062
10/2018,11061.701431011443
11/2018,11020.23303365409
12/2018,11156.533536138233
01/2019,11412.447400173258
02/2019,11433.866701997473
03/2019,11619.839477519148
04/2019,11673.005716729747
05/2019,11752.720850322965
06/2019,12076.411032591333
07/2019,12084.848897038817
08/2019,12316.598855823866
09/2019,12221.99924273452
10/2019,12364.495408561652
11/2019,12335.118592791354
12/2019,12441.081977630356
01/2020,12639.540274036868
02/2020,12681.77190383818
03/2020,11766.74570797248
04/2020,12333.018780587048
05/2020,12512.254974596204
06/2020,12773.166319834447
07/2020,13312.972319298457
08/2020,13272.73343562584
09/2020,13168.619909105393
10/2020,13160.46163379479
11/2020,13563.279433297366
12/2020,13730.671904183426
01/2021,13594.284591367705
02/2021,13405.810880040635
03/2021,13147.735638313274
04/2021,13337.794885466541
05/2021,13480.013058668637
06/2021,13497.520207998354
07/2021,13667.616371694141
08/2021,13602.477690592932
09/2021,13394.992416868083
10/2021,13398.820453144743
11/2021,13292.505336789862
12/2021,13333.337424394937
01/2022,12922.342291221601
02/2022,12656.376289699689
03/2022,12341.293301916377
04/2022,11620.361536892508
05/2022,11689.261001208899
06/2022,11264.629262110386
07/2022,11579.454912140662
08/2022,11148.63698898824
09/2022,10536.196585528145
10/2022,10502.073539606257
11/2022,11080.903876356704
12/2022,11104.099397390617
01/2023,11548.90655602201
02/2023,11178.280522018664
03/2023,11488.539349915944
04/2023,11624.323181254205
05/2023,11404.065812768316
06/2023,11496.120785540505
07/2023,11605.4778556523
08/2023,11488.745998417899
09/2023,11182.506289308742
10/2023,11043.05676699207
11/2023,11674.265564139534
12/2023,12170.804496088676
01/2024,12100.44771580365
02/2024,11938.864552394058
03/2024,12077.839611346755
04/2024,11802.66283408033
05/2024,12022.150085164925
06/2024,12058.431315755459
07/2024,12351.15056517617
08/2024,12588.336447229905
09/2024,12819.21740466125
