Date,Bloomberg Global Aggregate Corporate
09/2012,10000.000000000002
10/2012,10065.363365768131
11/2012,10092.423447915044
12/2012,9985.365302686554
01/2013,9676.25443990524
02/2013,9935.404654644051
03/2013,10172.23421488353
04/2013,10200.874190140554
05/2013,10005.067222262567
06/2013,9708.072702385558
07/2013,9715.752722315034
08/2013,9682.562006384705
09/2013,9666.841932761074
10/2013,9703.279231714745
11/2013,9712.64851700843
12/2013,9586.299546009843
01/2014,9867.896954597041
02/2014,9813.160583796178
03/2014,9837.94471549793
04/2014,9925.371574755043
05/2014,10181.660555544424
06/2014,10196.138370391705
07/2014,10341.62977211133
08/2014,10579.013080656212
09/2014,10831.07800945387
10/2014,10925.531479876632
11/2014,10990.986217030979
12/2014,11232.014206811988
01/2015,12111.462248601252
02/2015,12113.95397395818
03/2015,12525.255693602132
04/2015,12106.11068384945
05/2015,12237.52954247093
06/2015,11856.863563490262
07/2015,12144.989353653327
08/2015,11817.600182906104
09/2015,11835.711402110664
10/2015,12107.133898888333
11/2015,12469.44175855531
12/2015,12079.558421432377
01/2016,12047.014361301466
02/2016,12177.939865709855
03/2016,12079.951006938632
04/2016,12232.211525800612
05/2016,12411.970379867602
06/2016,12653.952003341852
07/2016,12858.37230913774
08/2016,12859.244411083526
09/2016,12822.099863491123
10/2016,12834.977231138824
11/2016,12835.01696663564
12/2016,13008.922942682255
01/2017,12861.954648177427
02/2017,13149.12325672645
03/2017,13030.757537149306
04/2017,12924.298745280166
05/2017,12799.652481321544
06/2017,12638.453293888995
07/2017,12504.481106378453
08/2017,12501.86468889679
09/2017,12490.996627444321
10/2017,12680.464689082497
11/2017,12524.198991049163
12/2017,12473.197426064467
01/2018,12078.521256830458
02/2018,12093.739869216892
03/2018,12040.283864081894
04/2018,12141.905127600861
05/2018,12440.514081042727
06/2018,12423.880137157068
07/2018,12416.112898137793
08/2018,12533.63566568035
09/2018,12563.697849331149
10/2018,12637.197340782643
11/2018,12544.3800620783
12/2018,12598.60075303645
01/2019,12844.963865271606
02/2019,12950.236199792163
03/2019,13372.899371991329
04/2019,13454.444991737888
05/2019,13627.717746809785
06/2019,13721.264907856408
07/2019,14012.832592477078
08/2019,14430.37542640473
09/2019,14512.852439026297
10/2019,14333.237012076577
11/2019,14523.136350827916
12/2019,14319.315468289167
01/2020,14787.301460667453
02/2020,14938.080597305974
03/2020,13886.822015706846
04/2020,14662.185806637599
05/2020,14527.96846457695
06/2020,14748.798045674173
07/2020,14528.758616520006
08/2020,14373.236459182755
09/2020,14543.069305153118
10/2020,14546.483922462527
11/2020,14638.83164211477
12/2020,14468.061911913594
01/2021,14483.693125114074
02/2021,14300.563870879088
03/2021,14498.952819052507
04/2021,14273.93543031637
05/2021,14285.43306684579
06/2021,14685.538226979026
07/2021,14861.851794298651
08/2021,14862.264368714434
09/2021,14957.876496252207
10/2021,14877.350662014727
11/2021,15125.591305526083
12/2021,15221.618655962082
01/2022,14977.221748430917
02/2022,14612.63911294017
03/2022,14374.643941426784
04/2022,14255.339152943085
05/2022,14108.293171439473
06/2022,14022.495076450112
07/2022,14681.540695624508
08/2022,14415.187626761794
09/2022,13975.484391760247
10/2022,13696.975072332953
11/2022,13808.412405675808
12/2022,13461.091806512346
01/2023,13784.488301427547
02/2023,13610.996058922809
03/2023,13659.477130520749
04/2023,13687.505576324274
05/2023,13802.730596189676
06/2023,13679.812420121361
07/2023,13613.24763436308
08/2023,13668.520956895789
09/2023,13648.27320377214
10/2023,13446.343723251479
11/2023,13809.18980370727
12/2023,14241.49340583046
01/2024,14437.463224632387
02/2024,14259.146375619357
03/2024,14445.145331117708
04/2024,14238.517488772035
05/2024,14324.21678964085
06/2024,14564.7376845136
07/2024,14748.834208323593
08/2024,14680.90468681182
09/2024,14804.616027355303
