Date,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged)
05/2019,10000
06/2019,10120.08387441
07/2019,10179.27869628826
08/2019,10398.84775155426
09/2019,10322.365478643616
10/2019,10281.705405529627
11/2019,10247.915366031013
12/2019,10197.583153697755
01/2020,10379.594146683805
02/2020,10491.946198633283
03/2020,10283.604870425921
04/2020,10448.554706299488
05/2020,10485.390305033363
06/2020,10548.916885767027
07/2020,10671.706829793633
08/2020,10585.56499497383
09/2020,10623.657836277634
10/2020,10618.733579315343
11/2020,10682.627924221799
12/2020,10698.839772294135
01/2021,10626.567482670422
02/2021,10441.774371267877
03/2021,10375.141294768204
04/2021,10393.825216170195
05/2021,10410.741588075185
06/2021,10466.857408754759
07/2021,10595.961742709638
08/2021,10565.42688412414
09/2021,10448.626855174016
10/2021,10410.554001052278
11/2021,10483.415278843411
12/2021,10419.091355753175
01/2022,10223.32430576712
02/2022,10064.829647595243
03/2022,9801.491585973146
04/2022,9472.155747789044
05/2022,9439.287263690416
06/2022,9256.99138021263
07/2022,9503.088497564473
08/2022,9190.802116674335
09/2022,8834.754626814607
10/2022,8771.614822451922
11/2022,9006.36019471099
12/2022,8860.926624538792
01/2023,9068.416108748857
02/2023,8874.736110687802
03/2023,9067.577914528129
04/2023,9097.725021756385
05/2023,9029.311623475616
06/2023,8997.520204803976
07/2023,8987.020108712217
08/2023,8951.140969820572
09/2023,8759.958979670942
10/2023,8680.42295765906
11/2023,8987.669740913343
12/2023,9283.147290683139
01/2024,9241.899691874929
02/2024,9145.080703765916
03/2024,9222.066946186518
04/2024,9038.077222053083
05/2024,9111.03863076438
06/2024,9174.984844845747
07/2024,9350.646153468713
08/2024,9440.518084176514
09/2024,9545.643258151613
