Date,Bloomberg Global Aggregate US Treasury Float Adjusted
01/2019,10000
02/2019,9972.912961330001
03/2019,10163.309861878348
04/2019,10135.091666677015
05/2019,10373.28499062534
06/2019,10468.998808440409
07/2019,10456.693652328779
08/2019,10812.159457389389
09/2019,10720.706068116953
10/2019,10728.012174594609
11/2019,10695.742070758666
12/2019,10635.70555193372
01/2020,10895.623098862683
02/2020,11184.415961751292
03/2020,11507.90501768686
04/2020,11581.094808000282
05/2020,11551.74429307864
06/2020,11562.578333089834
07/2020,11694.696128987734
08/2020,11566.597517508484
09/2020,11582.659133810334
10/2020,11473.44146119543
11/2020,11513.38368636888
12/2020,11486.711128520728
01/2021,11376.845563062709
02/2021,11170.394800754375
03/2021,10998.221563222378
04/2021,11080.688279462773
05/2021,11118.911630585808
06/2021,11190.365719470703
07/2021,11342.60052985515
08/2021,11322.75725105706
09/2021,11200.019981899099
10/2021,11192.136471469368
11/2021,11277.819310707233
12/2021,11219.905367925578
01/2022,11007.357588934354
02/2022,10934.852603128971
03/2022,10594.376347536878
04/2022,10266.156549466066
05/2022,10284.92683086776
06/2022,10194.426320969093
07/2022,10356.945218521243
08/2022,10100.007668466622
09/2022,9751.21535350982
10/2022,9615.296896476611
11/2022,9872.795100657284
12/2022,9821.619708672484
01/2023,10067.730818175243
02/2023,9832.173731804276
03/2023,10116.763239655958
04/2023,10170.970351380432
05/2023,10052.899384029452
06/2023,9977.409593526283
07/2023,9942.070470554743
08/2023,9890.550000994182
09/2023,9672.043624068927
10/2023,9555.16561703436
11/2023,9887.005162542297
12/2023,10219.695459974075
01/2024,10191.021839921876
02/2024,10057.322658185936
03/2024,10121.94653747542
04/2024,9886.372546181376
05/2024,10030.42304705151
06/2024,10131.57730361676
07/2024,10353.221094829147
08/2024,10485.688698574251
09/2024,10611.74383044751
