Date,Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral
07/2020,10000
08/2020,9944.715991886487
09/2020,10045.62857360057
10/2020,10128.78361418387
11/2020,10153.945540699047
12/2020,10167.593727514504
01/2021,10120.379602895026
02/2021,9962.97618223474
03/2021,9972.5584253491
04/2021,9902.162402448379
05/2021,9894.07242874269
06/2021,9932.01496006981
07/2021,10087.256201243723
08/2021,10040.209101129092
09/2021,9931.470869866755
10/2021,9870.885882137974
11/2021,9994.443126237753
12/2021,9873.675033798703
01/2022,9764.072923434642
02/2022,9550.881033385109
03/2022,9347.255865776608
04/2022,9028.283653903478
05/2022,8893.012240698197
06/2022,8686.210771232365
07/2022,9047.750911439833
08/2022,8603.109934828015
09/2022,8284.993250831372
10/2022,8294.024313079735
11/2022,8492.556966563458
12/2022,8182.622671246185
01/2023,8363.403219774049
02/2023,8186.827591940951
03/2023,8350.606857933335
04/2023,8361.36922371665
05/2023,8391.413308022657
06/2023,8363.914220216748
07/2023,8377.385770739817
08/2023,8402.321032396276
09/2023,8226.375843283851
10/2023,8259.75198767648
11/2023,8484.138222452762
12/2023,8766.910078883582
01/2024,8737.468622142496
02/2024,8642.30199853586
03/2024,8736.634917750845
04/2024,8625.443632251241
05/2024,8629.25021525897
06/2024,8658.638649598288
07/2024,8835.006836147777
08/2024,8873.480615699535
09/2024,8983.36217696867
