Date,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
12/2015,10000
01/2016,10004.954
02/2016,10015.4044
03/2016,10037.1649
04/2016,10048.3691
05/2016,10055.7487
06/2016,10060.8969
07/2016,10080.33
08/2016,10085.8579
09/2016,10088.0996
10/2016,10089.432999999999
11/2016,10088.7693
12/2016,10093.8819
01/2017,10093.4544
02/2017,10116.602
03/2017,10099.5885
04/2017,10110.792
05/2017,10115.265800000001
06/2017,10103.3475
07/2017,10127.4412
08/2017,10130.4231
09/2017,10128.8163
10/2017,10144.615899999999
11/2017,10136.3416
12/2017,10128.7285
01/2018,10131.1811
02/2018,10136.6332
03/2018,10128.127999999999
04/2018,10132.7245
05/2018,10124.4051
06/2018,10123.4484
07/2018,10131.331
08/2018,10130.733600000001
09/2018,10129.6219
10/2018,10127.4961
11/2018,10102.8776
12/2018,10105.6993
01/2019,10119.933299999999
02/2019,10138.1817
03/2019,10166.7117
04/2019,10177.3729
05/2019,10167.2841
06/2019,10198.1249
07/2019,10215.2524
08/2019,10227.1024
09/2019,10204.4709
10/2019,10201.3089
11/2019,10195.968
12/2019,10201.4981
01/2020,10211.7603
02/2020,10202.9979
03/2020,9979.991699999999
04/2020,10070.138500000001
05/2020,10098.4782
06/2020,10150.765300000001
07/2020,10197.1808
08/2020,10212.6046
09/2020,10219.4158
10/2020,10241.4401
11/2020,10265.9532
12/2020,10264.9145
01/2021,10266.3352
02/2021,10262.5529
03/2021,10268.2719
04/2021,10274.3109
05/2021,10273.9005
06/2021,10278.4409
07/2021,10293.807200000001
08/2021,10286.084499999999
09/2021,10279.947900000001
10/2021,10261.5783
11/2021,10256.8819
12/2021,10260.4102
01/2022,10241.6029
02/2022,10184.9324
03/2022,10156.116
04/2022,10091.0443
05/2022,10067.6995
06/2022,9952.3357
07/2022,10077.4031
08/2022,9956.0991
09/2022,9839.4272
10/2022,9840.0154
11/2022,9911.4713
12/2022,9890.0002
01/2023,9951.1571
02/2023,9919.989
03/2023,9965.3391
04/2023,10001.5557
05/2023,10016.9837
06/2023,10003.6162
07/2023,10074.1478
08/2023,10109.8269
09/2023,10120.3728
10/2023,10162.0019
11/2023,10243.7124
12/2023,10346.087
01/2024,10376.4089
02/2024,10362.031
03/2024,10417.776899999999
04/2024,10419.788
05/2024,10457.5147
06/2024,10506.910399999999
07/2024,10587.9721
08/2024,10634.9753
09/2024,10711.0088
