Date,Bloomberg MSCI Euro Corporate High Yield Sustainable BB+ SRI Bond
10/2019,10000
11/2019,10028.038499999999
12/2019,10118.1024
01/2020,10135.3217
02/2020,9968.5827
03/2020,8687.0904
04/2020,9169.5908
05/2020,9399.3382
06/2020,9589.0587
07/2020,9724.1276
08/2020,9875.5058
09/2020,9822.315
10/2020,9835.809799999999
11/2020,10218.0017
12/2020,10293.8234
01/2021,10345.5926
02/2021,10399.6779
03/2021,10446.3822
04/2021,10512.6773
05/2021,10523.0624
06/2021,10582.2618
07/2021,10626.0085
08/2021,10654.5596
09/2021,10628.9377
10/2021,10560.129
11/2021,10490.4871
12/2021,10578.4063
01/2022,10433.882800000001
02/2022,10112.5213
03/2022,10116.569300000001
04/2022,9823.9077
05/2022,9721.4997
06/2022,9087.2101
07/2022,9500.501699999999
08/2022,9371.214899999999
09/2022,9012.9305
10/2022,9152.844000000001
11/2022,9478.4049
12/2022,9440.0923
01/2023,9706.1956
02/2023,9689.797400000001
03/2023,9632.046
04/2023,9677.252900000001
05/2023,9749.6429
06/2023,9778.26
07/2023,9886.9793
08/2023,9899.1568
09/2023,9925.1226
10/2023,9909.074
11/2023,10187.8688
12/2023,10480.4915
01/2024,10507.1804
02/2024,10521.5692
03/2024,10568.6358
04/2024,10561.3992
05/2024,10662.789200000001
06/2024,10678.2769
07/2024,10824.958999999999
08/2024,10930.9855
09/2024,11021.721599999999
