Date,Bloomberg US 10+ Year Treasury Bond
10/2012,10000
11/2012,10134.314030493797
12/2012,9771.354860718415
01/2013,9211.389154824492
02/2013,9622.05407696715
03/2013,9863.365768219353
04/2013,10041.786880939533
05/2013,9486.90905893647
06/2013,9124.677301575657
07/2013,8820.344623518518
08/2013,8778.535160554662
09/2013,8643.679104010922
10/2013,8667.14948627201
11/2013,8471.504976834904
12/2013,8170.697908455408
01/2014,8831.950157669202
02/2014,8712.669748338016
03/2014,8777.617995308588
04/2014,8904.763567037167
05/2014,9325.388823837813
06/2014,9269.132060798242
07/2014,9508.96940306312
08/2014,10030.23066222387
09/2014,10328.766560749807
10/2014,10653.262984341054
11/2014,11004.158480321828
12/2014,11598.5874959334
01/2015,13497.875568477559
02/2015,12837.915535498816
03/2015,13578.144785738952
04/2015,12648.582847771951
05/2015,12724.350781879339
06/2015,12019.696648560457
07/2015,12679.103203279505
08/2015,12406.106788128107
09/2015,12611.560746352585
10/2015,12754.845688880907
11/2015,13176.750465288536
12/2015,12788.050280015113
01/2016,13395.798390837881
02/2016,13824.13232004399
03/2016,13211.068008643206
04/2016,13117.794890057532
05/2016,13534.070283468523
06/2016,14484.017493198018
07/2016,14671.275961256699
08/2016,14501.53700490706
09/2016,14242.665502532283
10/2016,13960.53827514326
11/2016,13341.489200380744
12/2016,13364.033713354858
01/2017,13175.394427873109
02/2017,13578.481198224992
03/2017,13389.917490279338
04/2017,13299.45668026635
05/2017,13201.419594632738
06/2017,13018.17796565479
07/2017,12596.813409290187
08/2017,12915.38839171229
09/2017,12658.684789907107
10/2017,12839.004010968343
11/2017,12686.752773845134
12/2017,12737.260191830277
01/2018,11868.108006339105
02/2018,11777.868050044943
03/2018,11996.593628183571
04/2018,12014.744835536563
05/2018,12650.375939548765
06/2018,12727.773741934861
07/2018,12450.582778073025
08/2018,12736.180667123223
09/2018,12447.546775583542
10/2018,12388.097640745995
11/2018,12561.236058937855
12/2018,13133.843142473328
01/2019,13172.662554235865
02/2019,13098.810166202142
03/2019,13985.686196270117
04/2019,13770.19387283949
05/2019,14734.149760892047
06/2019,14627.330587714712
07/2019,14945.035635798973
08/2019,16626.76689225596
09/2019,16423.336486456665
10/2019,15896.723628509237
11/2019,16061.589747983751
12/2019,15279.526675048637
01/2020,16594.28180860483
02/2020,17827.17655133872
03/2020,18942.373609642553
04/2020,19467.74914994247
05/2020,18658.3118936003
06/2020,18579.04087979207
07/2020,18301.803074410203
08/2020,17377.800380486216
09/2020,17790.329793573324
10/2020,17269.68817177422
11/2020,17065.601547579758
12/2020,16464.61328265609
01/2021,16047.118696955074
02/2021,15172.492669287509
03/2021,14902.98386232102
04/2021,14799.198716605832
05/2021,14720.893168016744
06/2021,15653.834125670066
07/2021,16215.271122843009
08/2021,16259.091770633195
09/2021,16141.425615506314
10/2021,16348.336019301376
11/2021,17198.725413919565
12/2021,17009.567896046632
01/2022,16554.08321371559
02/2022,16249.462320385235
03/2022,15517.77227608398
04/2022,14890.393742777725
05/2022,14372.712080850817
06/2022,14605.199009766646
07/2022,15272.776853334972
08/2022,14885.698873708938
09/2022,14064.187943041517
10/2022,13061.398663077049
11/2022,13362.374270167522
12/2022,12777.942472784252
01/2023,13387.396012813384
02/2023,13009.347711466564
03/2023,13305.24978747276
04/2023,13245.469917410965
05/2023,13234.425597853411
06/2023,13009.38823821629
07/2023,12546.084256860599
08/2023,12370.21091727155
09/2023,11764.48940254874
10/2023,11157.60252378846
11/2023,11831.590124090362
12/2023,12711.732629415632
01/2024,12676.198765252131
02/2024,12399.46381957554
03/2024,12569.644491921537
04/2024,11906.314827854003
05/2024,12095.226391158283
06/2024,12463.716715891
07/2024,12762.569289817022
08/2024,12718.282125431404
09/2024,12849.17252139553
