Date,Bloomberg US Aggregate Bond
09/2011,10000
10/2011,9570.31907479604
11/2011,10065.425273654744
12/2011,10552.77249655277
01/2012,10453.906632722032
02/2012,10243.937779964483
03/2012,10254.17064921948
04/2012,10387.713726620856
05/2012,11265.508806044118
06/2012,11102.535284066365
07/2012,11536.069120932212
08/2012,11244.297399170442
09/2012,10981.934310709983
10/2012,10950.181675301958
11/2012,10973.375937805824
12/2012,10785.004619347854
01/2013,10428.200943701868
02/2013,10816.567527043146
03/2013,11099.102805305803
04/2013,10982.44162004366
05/2013,10841.18679375941
06/2013,10613.13398594703
07/2013,10471.525214747608
08/2013,10449.455510932852
09/2013,10337.494268838536
10/2013,10317.166835190008
11/2013,10300.45147872311
12/2013,10109.323798134008
01/2014,10467.420529204845
02/2014,10296.789195213094
03/2014,10247.081117785687
04/2014,10338.328326988485
05/2014,10642.76206618182
06/2014,10608.467658130998
07/2014,10802.524683373287
08/2014,11079.956768232409
09/2014,11533.887548548364
10/2014,11702.106978916287
11/2014,11823.829318071794
12/2014,12168.264891148056
01/2015,13342.130688512474
02/2015,13293.113820818497
03/2015,13951.892579275793
04/2015,13336.585416294602
05/2015,13601.604018767144
06/2015,13189.97887871601
07/2015,13550.518880821915
08/2015,13231.844258180952
09/2015,13335.617103617018
10/2015,13563.014108487048
11/2015,14087.246898839196
12/2015,13644.47308559469
01/2016,13790.436166010926
02/2016,13860.361627500468
03/2016,13443.242773041202
04/2016,13473.541454245198
05/2016,13777.855550215738
06/2016,14091.106768774242
07/2016,14166.157466443812
08/2016,14125.807079956701
09/2016,14080.849290008036
10/2016,14177.313711960915
11/2016,14246.749119302582
12/2016,14465.433905418999
01/2017,14205.423239665339
02/2017,14514.122846647717
03/2017,14378.963852176254
04/2017,14173.08385510712
05/2017,13911.789093238558
06/2017,13665.18327411139
07/2017,13289.456414069493
08/2017,13363.46441145515
09/2017,13321.220008074151
10/2017,13521.346618877666
11/2017,13263.519451784423
12/2017,13164.40696717737
01/2018,12528.092107267297
02/2018,12656.218846042782
03/2018,12626.766964528357
04/2018,12720.878363145388
05/2018,13293.389828586516
06/2018,13323.733731786677
07/2018,13238.328919377147
08/2018,13420.713187032583
09/2018,13420.681835592204
10/2018,13618.140280897724
11/2018,13649.98697509558
12/2018,13722.242459867817
01/2019,13890.622888775482
02/2019,13970.130238392658
03/2019,14467.769297997054
04/2019,14493.403335583038
05/2019,14839.312344742002
06/2019,14723.305128188786
07/2019,15058.717356653178
08/2019,15532.886340515239
09/2019,15658.734314445754
10/2019,15332.754476119835
11/2019,15564.967020730526
12/2019,15205.209839405225
01/2020,15753.039336046157
02/2020,16146.140617169394
03/2020,16081.88980892955
04/2020,16488.159550589975
05/2020,16178.173772290038
06/2020,16189.945210368043
07/2020,15530.301465455588
08/2020,15286.245099143025
09/2020,15580.604029809581
10/2020,15524.292768232737
11/2020,15307.605240113937
12/2020,14965.187043556518
01/2021,15023.166479170917
02/2021,14824.54747425019
03/2021,15133.870827639465
04/2021,14802.717171169013
05/2021,14706.23278795667
06/2021,15204.5961492454
07/2021,15365.549430630865
08/2021,15410.163073668427
09/2021,15613.177795275922
10/2021,15520.406254973519
11/2021,15952.63999645543
12/2021,15963.801846782459
01/2022,15857.898194387692
02/2022,15620.774213768276
03/2022,15320.87011255078
04/2022,15523.993499787184
05/2022,15371.779804733007
06/2022,15605.506774672442
07/2022,16283.106231007045
08/2022,16136.296539665955
09/2022,15838.228223506676
10/2022,15371.325575997753
11/2022,15227.02559781177
12/2022,14746.196262971012
01/2023,14965.530412697119
02/2023,14872.386526283135
03/2023,14891.189472496118
04/2023,14836.824152988633
05/2023,15084.634371431926
06/2023,14777.690903333381
07/2023,14557.058887231293
08/2023,14670.365633265115
09/2023,14667.354118021165
10/2023,14401.900151092343
11/2023,14624.424113217883
12/2023,15020.709911124151
01/2024,15273.880369700675
02/2024,15073.387535646878
03/2024,15233.680896646116
04/2024,14977.744856529056
05/2024,15043.586523296472
06/2024,15394.541282541173
07/2024,15575.153942027942
08/2024,15429.892168855473
09/2024,15484.257511580903
