Date,CAC 40
02/1991,10000
03/1991,10324.9346858428
04/1991,10120.603954687816
05/1991,10596.994769673456
06/1991,10069.755000493427
07/1991,10299.224540463614
08/1991,10942.13399400616
09/1991,11037.962717692217
10/1991,10897.569742015572
11/1991,10215.290005245908
12/1991,10367.681048766173
01/1992,11015.368953571113
02/1992,11651.474308033512
03/1992,11414.57739273156
04/1992,11942.49237785084
05/1992,11971.266964800474
06/1992,11369.597623239893
07/1992,10638.962037282308
08/1992,10215.809402122255
09/1992,10530.200331375207
10/1992,10564.532464901757
11/1992,10744.555422243691
12/1992,11268.678810165637
01/1993,10753.956505705573
02/1993,12040.24286997938
03/1993,12333.13076855156
04/1993,11779.193999927285
05/1993,11487.189076044897
06/1993,12214.188883868053
07/1993,13061.429068565581
08/1993,13879.323329749495
09/1993,13241.452025907516
10/1993,13663.046470438527
11/1993,13216.988433031564
12/1993,14207.478276225647
01/1994,14626.060218873843
02/1994,14023.559842311106
03/1994,13048.703845095079
04/1994,13582.95547210579
05/1994,12767.29461749017
06/1994,12098.519199505534
07/1994,13402.776695700952
08/1994,13364.601025289434
09/1994,12138.512758984269
10/1994,12309.342391614857
11/1994,12769.112506557385
12/1994,12156.431951218245
01/1995,11622.855540146784
02/1995,11487.55265385834
03/1995,12024.868722439503
04/1995,12415.091595639144
05/1995,12643.36652279373
06/1995,12316.354249445547
07/1995,12815.28688886465
08/1995,12570.391261666953
09/1995,11936.20767564704
10/1995,12107.297006715804
11/1995,12208.631337291137
12/1995,12500.58432148589
01/1996,13499.280635326262
02/1996,13297.858526678821
03/1996,13658.579657301942
04/1996,14354.727290670075
05/1996,14184.053477102389
06/1996,14529.088822059824
07/1996,13733.424747183572
08/1996,13559.37485391963
09/1996,14675.454861814462
10/1996,14728.693041640048
11/1996,15940.653712908572
12/1996,15949.847037619917
01/1997,17336.221179965825
02/1997,17964.12006378194
03/1997,18302.50712872213
04/1997,18200.70534095808
05/1997,17915.92003365692
06/1997,20114.267312796383
07/1997,21742.005183580826
08/1997,19584.58637829752
09/1997,21265.458549532283
10/1997,19364.362102726314
11/1997,20211.913925549652
12/1997,21206.039546878164
01/1998,22433.01078787312
02/1998,24200.518358082594
03/1998,27410.754631721644
04/1998,27463.109836857442
05/1998,28765.60138367328
06/1998,30240.74045218692
07/1998,30114.423131859287
08/1998,26326.305893596356
09/1998,23054.157512296722
10/1998,25396.949062748336
11/1998,27707.330248115893
12/1998,28429.707423739554
01/1999,30660.620887025987
02/1999,29515.92211124442
03/1999,30275.85168102799
04/1999,31797.788408100518
05/1999,31572.006585952393
06/1999,33254.385008128564
07/1999,32224.109364206284
08/1999,33747.39652315731
09/1999,33763.809464449885
10/1999,35949.32764074357
11/1999,39280.53144688388
12/1999,43822.60519085237
01/2000,41627.11459453283
02/2000,45534.64117466797
03/2000,46237.69678649153
04/2000,47290.46231515963
05/2000,47612.072860993816
06/2000,48047.89877993673
07/2000,48825.85142132956
08/2000,49444.712799497225
09/2000,46773.61048350656
10/2000,47751.323163542496
11/2000,44246.277222888784
12/2000,44240.14833974789
01/2001,44778.139624268304
02/2001,40067.83323205094
03/2001,38675.589905002314
04/2001,42106.67373046419
05/2001,41229.10076818798
06/2001,39790.16366195574
07/2001,38752.82422051514
08/2001,35733.933756122395
09/2001,31082.994426871515
10/2001,33081.32196892968
11/2001,34108.273472843335
12/2001,35246.42784798292
01/2002,34006.47168507929
02/2002,34015.30143197719
03/2002,35735.647765814334
04/2002,34127.17951914237
05/2002,33143.49377502844
06/2002,30456.44597493391
07/2002,26740.265204045063
08/2002,26355.444058359433
09/2002,21745.90066015343
10/2002,24663.0932161574
11/2002,26045.831580368875
12/2002,23994.577496610935
01/2003,23007.515672800746
02/2003,21568.163049067425
03/2003,20511.553983514343
04/2003,23258.64406251461
05/2003,23943.10526616493
06/2003,24929.232175597695
07/2003,25948.96406293012
08/2003,26766.598625675866
09/2003,25340.4906222894
10/2003,27265.998722283686
11/2003,27682.970534615204
12/2003,28763.212158042086
01/2004,29417.963860365344
02/2004,30121.434989689977
03/2004,29315.53879634968
04/2004,29759.778944689428
05/2004,30403.83107135994
06/2004,31173.94081991991
07/2004,30456.705673372082
08/2004,30015.63384597805
09/2004,30404.19464917338
10/2004,30957.144563732596
11/2004,31447.03969750326
12/2004,32041.281663732072
01/2005,32819.90952106414
02/2005,33771.44459853219
03/2005,34112.1170097283
04/2005,32877.04317746233
05/2005,35187.06078501644
06/2005,36293.895528512294
07/2005,38204.65275721832
08/2005,37755.166700427464
09/2005,39477.278983644195
10/2005,38073.505045940656
11/2005,39282.55709470163
12/2005,40563.85724896251
01/2006,42566.28802634381
02/2006,43017.54003251424
03/2006,44913.59832961965
04/2006,44634.3705688954
05/2006,43228.83068181228
06/2006,43798.86875360332
07/2006,44194.70111306751
08/2006,45567.57093662839
09/2006,46329.42227485444
10/2006,47200.55471586394
11/2006,47123.528159101654
12/2006,49031.272885924875
01/2007,49620.11312463967
02/2007,48814.16499161174
03/2007,49856.958100253985
04/2007,52813.05348229636
05/2007,55026.46327084989
06/2007,54867.52782668765
07/2007,52144.849400875704
08/2007,51351.41873256774
09/2007,51831.96472256416
10/2007,53038.212028192866
11/2007,51574.29193220832
12/2007,51071.775454342416
01/2008,44306.57920023269
02/2008,43586.59125024022
03/2008,42835.12784954112
04/2008,45691.9145488259
05/2008,46879.048049405035
06/2008,41564.735029683536
07/2008,41182.718627130176
08/2008,42030.737907142226
09/2008,37873.27755010882
10/2008,32761.89288997616
11/2008,30860.27704629385
12/2008,30472.547278100672
01/2009,28168.29497587402
02/2009,25604.188416410863
03/2009,26597.69076148776
04/2009,30144.9636681885
05/2009,31949.504235681532
06/2009,30740.34830754528
07/2009,33569.866670821844
08/2009,35863.67909583392
09/2009,37256.286000695996
10/2009,35413.56976279145
11/2009,36282.52073692029
12/2009,38876.4926167734
01/2010,36932.02653079244
02/2010,36636.38582877563
03/2010,39256.1717333832
04/2010,37724.62616409825
05/2010,35571.154775075185
06/2010,35049.68031122261
07/2010,37129.08570567857
08/2010,35647.60999527349
09/2010,37939.085134342
10/2010,39147.306148100826
11/2010,37074.65291303738
12/2010,39091.574863268776
01/2011,41153.84016080527
02/2011,42239.535451433796
03/2011,40994.33338007906
04/2011,42360.035526746346
05/2011,42218.292119191196
06/2011,42175.18217845438
07/2011,38933.937911297406
08/2011,34547.73516992069
09/2011,31767.923087710555
10/2011,34547.21577304434
11/2011,33700.02752803445
12/2011,33857.76835938109
01/2012,35344.33415917437
02/2012,37003.391661602545
03/2012,36763.79388254359
04/2012,34618.11344666574
05/2012,33187.019233266336
06/2012,35433.30684409264
07/2012,36518.794375970625
08/2012,37876.44587105453
09/2012,37419.0649817432
10/2012,38249.42476795945
11/2012,39730.95241805216
12/2012,40754.164264456114
01/2013,41789.37417870369
02/2013,41684.663768432096
03/2013,41850.611070425024
04/2013,43388.54522128904
05/2013,45260.4515636443
06/2013,43038.212028192866
07/2013,45992.749219606194
08/2013,45314.20914034623
09/2013,47805.70401649605
10/2013,49610.81592055306
11/2013,49667.37824038726
12/2013,49808.65419075369
01/2014,48309.67480561572
02/2014,51120.33906228088
03/2014,51004.04610166675
04/2014,52310.744763181
05/2014,53519.01771662745
06/2014,52635.315871210354
07/2014,50552.3266383076
08/2014,52158.35371966073
09/2014,52655.364590637364
10/2014,50515.86497758803
11/2014,52417.01336408163
12/2014,51157.68369769024
01/2015,55138.34135801507
02/2015,59296.68468973828
03/2015,60385.652180687786
04/2015,60832.12573559583
05/2015,61134.46665731753
06/2015,58809.802057850415
07/2015,62440.59398226779
08/2015,57162.119347014246
09/2015,54814.4974056126
10/2015,60306.75579517065
11/2015,61082.83860780861
12/2015,57268.284068539615
01/2016,54563.99229215035
02/2016,53844.57567872187
03/2016,54337.587193750616
04/2016,55109.82646950361
05/2016,57051.643631415194
06/2016,54019.3527276127
07/2016,56639.86578784716
08/2016,56619.60930966961
09/2016,56833.02948616068
10/2016,57659.18215767851
11/2016,58597.83619261314
12/2016,62355.36095485922
01/2017,60912.94388955544
02/2017,62333.0268891763
03/2017,65835.42390576063
04/2017,67906.1553723816
05/2017,69271.33812217253
06/2017,67411.01433015981
07/2017,67098.1815915359
08/2017,66990.45867938151
09/2017,70299.48423890179
10/2017,72624.6162955576
11/2017,70940.21222556368
12/2017,70291.38164763077
01/2018,72547.64167848295
02/2018,70426.00931797996
03/2018,68524.60123304819
04/2018,73479.95907152614
05/2018,73076.85515579309
06/2018,72379.98036679807
07/2018,74946.94360908114
08/2018,73529.97699071838
09/2018,74810.4461099771
10/2018,69403.26492876472
11/2018,68225.1169941464
12/2018,64669.118219923024
01/2019,68283.54914273546
02/2019,71675.15880559494
03/2019,73328.86652019675
04/2019,76943.08968425864
05/2019,72891.84598843823
06/2019,77869.33013384858
07/2019,77647.8073660865
08/2019,77110.64711656825
09/2019,79994.85797092416
10/2019,80728.45411907692
11/2019,83251.47638562102
12/2019,84360.96005318624
01/2020,82071.56250162312
02/2020,75054.45876248501
03/2020,62300.61652409223
04/2020,64835.7407378552
05/2020,67025.82960666074
06/2020,70699.8353511902
07/2020,68832.91521884788
08/2020,71185.93888776354
09/2020,69263.70298809023
10/2020,66247.14980964104
11/2020,79575.2891742109
12/2020,80176.17942045697
01/2021,78091.2164794241
02/2021,82488.3265552041
03/2021,87863.82452695929
04/2021,90999.2157107167
05/2021,94669.689556487
06/2021,95830.17799730953
07/2021,97392.21216323605
08/2021,98390.1293817619
09/2021,96247.46144776685
10/2021,100828.59383683666
11/2021,99313.35732946903
12/2021,105737.77729300737
01/2022,103582.48801491708
02/2022,98550.2074990521
03/2022,98673.6161968722
04/2022,97418.54558486685
05/2022,97893.94954578743
06/2022,89873.8904384229
07/2022,97974.35218224597
08/2022,93060.75385262635
09/2022,87661.36362455916
10/2022,95335.14083446302
11/2022,102584.2072185778
12/2022,98677.45973375716
01/2023,108101.65635663866
02/2023,110940.57580337713
03/2023,111893.04579522258
04/2023,115291.40761747457
05/2023,110841.47487937006
