Date,CSI 300
06/2012,10000
07/2012,9497.419477884954
08/2012,9012.784131956285
09/2012,9479.47430169858
10/2012,9394.660948869252
11/2012,8931.293959902212
12/2012,10525.958376438359
01/2013,11228.767764568536
02/2013,11167.245574390125
03/2013,10453.97539112393
04/2013,10318.823073855525
05/2013,11066.365364943043
06/2013,9424.51178139828
07/2013,9486.294046593885
08/2013,10035.370202338363
09/2013,10459.957116519387
10/2013,10349.94538424639
11/2013,10632.444647367174
12/2013,10230.65764302681
01/2014,9663.57851664769
02/2014,9407.028960798027
03/2014,9170.41848959989
04/2014,9161.4892473429
05/2014,9208.0426754206
06/2014,9380.472411820121
07/2014,10346.13095066088
08/2014,10350.696712073839
09/2014,10861.137279152965
10/2014,11175.59687216446
11/2014,12443.404786536206
12/2014,15517.086928629637
01/2015,14963.733983713524
02/2015,15517.34700364683
03/2015,17790.171476128
04/2015,20870.32659642715
05/2015,21301.44428326215
06/2015,19742.84360244355
07/2015,16940.10183381784
08/2015,14551.399492564744
09/2015,13902.252249648898
10/2015,15412.970230079698
11/2015,15383.177191998937
12/2015,15855.068862085109
01/2016,12363.706242378357
02/2016,12131.372560351852
03/2016,13738.867344402897
04/2016,13454.981014523744
05/2016,13319.04847220376
06/2016,13213.891473585047
07/2016,13528.900113855061
08/2016,14016.454079421132
09/2016,13733.174591248764
10/2016,13875.377831205535
11/2016,14468.088795390315
12/2016,13411.664075548902
01/2017,13865.552775000431
02/2017,14158.194963791779
03/2017,14127.997364573159
04/2017,14052.257740121484
05/2017,14452.831061048277
06/2017,15363.613771261133
07/2017,15895.207106405358
08/2017,16598.767822362985
09/2017,16496.558340605803
10/2017,17334.173279314793
11/2017,17385.610338270904
12/2017,17612.887006074197
01/2018,19470.198292751997
02/2018,18235.10203609841
03/2018,17761.707710357343
04/2018,16992.868165084063
05/2018,17069.416911811448
06/2018,15346.015361764348
07/2018,15019.62121518607
08/2018,14255.9253758084
09/2018,14600.32249302132
10/2018,13234.032838805502
11/2018,13361.729672247684
12/2018,12848.197102186365
01/2019,13971.056540308738
02/2019,16055.702289238096
03/2019,16849.53793338612
04/2019,16989.573881532942
05/2019,15436.203598282349
06/2019,16468.817005438457
07/2019,16570.072878799263
08/2019,15834.956394088784
09/2019,15974.096528287493
10/2019,16471.90900842065
11/2019,16246.423968513585
12/2019,17538.88121507048
01/2020,17240.372889780207
02/2020,16788.449201569696
03/2020,15513.908233975044
04/2020,16570.737514954315
05/2020,16189.525334196398
06/2020,17749.13741785964
07/2020,20373.72779970756
08/2020,21419.98069665428
09/2020,20461.575361070816
10/2020,21322.857126344443
11/2020,22876.400792939832
12/2020,24248.874453120032
01/2021,25190.028145896307
02/2021,25096.31444803412
03/2021,23406.72265022222
04/2021,24106.035474232347
05/2021,25435.85683159276
06/2021,24784.802371884154
07/2021,22931.189929895336
08/2021,22954.56778421865
09/2021,23240.187947545757
10/2021,23734.38827466233
11/2021,23429.609251735277
12/2021,23949.759286122975
01/2022,22168.216521120983
02/2022,22430.34324122825
03/2022,20570.604587723305
04/2022,18820.61759147416
05/2022,19030.29584978067
06/2022,20882.954683373115
07/2022,19422.575667381392
08/2022,18600.767510272963
09/2022,16876.152276812292
10/2022,15167.979563883091
11/2022,16964.086529847944
12/2022,17557.375438515377
01/2023,19406.85557745323
02/2023,18498.32685072272
03/2023,18615.302814011688
04/2023,18379.183595623803
05/2023,16905.62744542759
06/2023,16888.69367208586
07/2023,18040.016875978894
08/2023,16619.516029290226
09/2023,16261.161552821237
10/2023,15725.522606298438
11/2023,15808.053078421284
12/2023,15604.790003872227
01/2024,14437.891196171697
02/2024,15762.973408774353
03/2024,15711.391863697574
04/2024,16063.966895340034
05/2024,15988.631832026216
06/2024,15523.617701283614
07/2024,15684.979800840332
08/2024,15460.303883208979
09/2024,18928.490929161344
