Date,DAXglobal Gold Miners
11/2009,10000
12/2009,9614.349491815217
01/2010,8831.01668619194
02/2010,9646.01209511446
03/2010,9901.845929772346
04/2010,11407.399550391034
05/2010,12173.004464427066
06/2010,12735.015672988633
07/2010,11200.645917107306
08/2010,12843.618402305037
09/2010,12625.14643954026
10/2010,12558.021720545865
11/2010,13584.839945540323
12/2010,13734.287433112751
01/2011,11901.655954152551
02/2011,12692.587784567648
03/2011,12440.23683627268
04/2011,12446.88598296552
05/2011,12074.533768166419
06/2011,11434.632555488713
07/2011,12084.982427255169
08/2011,13019.979102681824
09/2011,12228.09739416775
10/2011,12489.947123452492
11/2011,13246.683342304405
12/2011,11688.883259981636
01/2012,12706.519330019315
02/2012,12308.83703258082
03/2012,10833.043092803091
04/2012,10184.59297723459
05/2012,10159.262894595195
06/2012,10012.665041319699
07/2012,10081.372890479055
08/2012,10626.286293259032
09/2012,11917.803881835165
10/2012,11446.977804515087
11/2012,10488.553968907325
12/2012,9729.28157553114
01/2013,9004.844378304784
02/2013,8511.224392869583
03/2013,8526.422442453219
04/2013,6699.17360605389
05/2013,6626.666244498623
06/2013,5207.864990659532
07/2013,5710.0338789855305
08/2013,6199.221099958839
09/2013,5542.538707532533
10/2013,5504.5435835734415
11/2013,4785.169236614634
12/2013,4486.907513535763
01/2014,5250.609505113512
02/2014,5704.3346103916665
03/2014,5292.404141468512
04/2014,5441.218376974955
05/2014,5200.899217933699
06/2014,6019.694139252129
07/2014,6092.834752873381
08/2014,6368.9326536427825
09/2014,5382.959186904348
10/2014,4478.3586106449675
11/2014,4766.1716746350885
12/2014,4946.648513440776
01/2015,6447.139283791914
02/2015,6276.161225976
03/2015,5695.152455434886
04/2015,6027.293164043948
05/2015,6016.527878922206
06/2015,5427.920083589273
07/2015,4401.418484627807
08/2015,4401.101858594814
09/2015,4376.405028021404
10/2015,4919.418674603427
11/2015,4702.213215970617
12/2015,4642.68752176804
01/2016,4977.361238641041
02/2016,6651.679701105025
03/2016,6590.251084444163
04/2016,8146.7878288952925
05/2016,7421.714213342621
06/2016,9099.515562169521
07/2016,9849.602634328596
08/2016,8237.026248298136
09/2016,8484.627806098219
10/2016,8040.7181078428275
11/2016,7025.615046069088
12/2016,7257.701928252542
01/2017,7982.45891777222
02/2017,7938.131273153279
03/2017,7856.125130608239
04/2017,7643.352436437324
05/2017,7552.797391001489
06/2017,7177.912167938448
07/2017,7165.247126618751
08/2017,7627.837760820695
09/2017,7171.896273311592
10/2017,7186.777696862237
11/2017,6990.786182439921
12/2017,7305.1958332014065
01/2018,7207.991641072729
02/2018,6530.411930468924
03/2018,6639.014659785328
04/2018,6840.705442801507
05/2018,7033.214070860907
06/2018,7003.76784979261
07/2018,6674.793401513472
08/2018,5905.075515308869
09/2018,5879.745432669474
10/2018,6272.678339613084
11/2018,6407.56102966786
12/2018,6891.682234113289
01/2019,7582.876864135769
02/2019,7411.898806319856
03/2019,7600.924548016338
04/2019,7071.525820852991
05/2019,7388.468479878416
06/2019,8717.97802615331
07/2019,9221.099958838617
08/2019,10382.80087388785
09/2019,9538.675869930026
10/2019,9780.89478516924
11/2019,9463.002248044835
12/2019,10149.447487572428
01/2020,10199.474400785233
02/2020,9298.673336921762
03/2020,8207.58002722984
04/2020,11567.932115378528
05/2020,11703.764683532281
06/2020,12420.602855966818
07/2020,13984.10537314378
08/2020,13610.48665421271
09/2020,12890.479055187918
10/2020,12397.808947851692
11/2020,11209.828072064085
12/2020,11525.50422695754
01/2021,11120.856156793212
02/2021,10115.885128075231
03/2021,10776.683658930438
04/2021,11198.112908843366
05/2021,12547.573061457113
06/2021,11155.051768356394
07/2021,11629.357565779059
08/2021,11001.171516322072
09/2021,10149.76411360542
10/2021,11011.30354937783
11/2021,11332.67897286515
12/2021,11365.924706329357
01/2022,10897.318177500554
02/2022,12170.788082196119
03/2022,13396.447455909825
04/2022,13087.417281448881
05/2022,11752.841718646108
06/2022,10386.917012316753
07/2022,9958.205363645
08/2022,9338.251591045817
09/2022,9535.509609600103
10/2022,9481.366557958396
11/2022,10850.140898584683
12/2022,10712.408574232973
01/2023,11743.026311623342
02/2023,10273.881518538456
03/2023,11689.199886014629
04/2023,12027.356489250547
05/2023,11295.317100972043
06/2023,10821.641389355033
07/2023,11203.492385143907
08/2023,10573.409745749295
09/2023,10018.680935946553
10/2023,10533.831491625242
11/2023,11235.474780736473
12/2023,11383.972390209923
01/2024,10422.062501978915
02/2024,9907.861824399202
03/2024,11988.411487192478
04/2024,13066.52312953171
05/2024,13584.839945540323
06/2024,13251.746192571954
07/2024,14597.726625083114
08/2024,14501.155685020423
09/2024,14821.264604375772
