Date,Dow Jones Asia/Pacific Select Dividend 50
03/2006,10000
04/2006,10386.77213165061
05/2006,9588.939756909904
06/2006,9503.67654957441
07/2006,9915.51103107655
08/2006,10202.376626500276
09/2006,10650.388842415023
10/2006,11459.067552800298
11/2006,11962.058379819664
12/2006,12563.657887748217
01/2007,12928.781360492234
02/2007,12922.692479629424
03/2007,13513.344419337684
04/2007,14006.659775962768
05/2007,14369.699612538878
06/2007,14457.520927374853
07/2007,14326.018079661037
08/2007,13659.982641278833
09/2007,14281.523099646769
10/2007,14892.023584829265
11/2007,13579.042924259124
12/2007,13231.913971765514
01/2008,12412.223057679765
02/2008,12416.536027997508
03/2008,11201.430911728756
04/2008,11931.592515425793
05/2008,12045.139377832347
06/2008,10378.088781957831
07/2008,10451.647652825717
08/2008,10173.180634603244
09/2008,9140.161896579615
10/2008,6946.5731719307505
11/2008,6381.117041047573
12/2008,6235.5199076437775
01/2009,6059.713012665332
02/2009,5287.977811889528
03/2009,5817.973948418001
04/2009,6902.716435240931
05/2009,7681.509330039087
06/2009,8330.972794459965
07/2009,9308.108360179014
08/2009,9662.12327543525
09/2009,10265.808040291326
10/2009,9867.896551429862
11/2009,9939.781980999654
12/2009,10331.22871551418
01/2010,10199.02123555269
02/2010,10697.790257039225
03/2010,11399.012676312359
04/2010,11836.25891031175
05/2010,11123.568377807873
06/2010,11219.532102831801
07/2010,11645.228786252868
08/2010,11723.699514279917
09/2010,11920.143409350503
10/2010,12098.910642884055
11/2010,12756.86385989382
12/2010,13004.526375019313
01/2011,12638.525249567805
02/2011,12651.996015059214
03/2011,12562.83344256005
04/2011,12694.273876108242
05/2011,13114.109460040005
06/2011,13104.194467565356
07/2011,13453.305203128391
08/2011,12829.638985369958
09/2011,12488.747876202382
10/2011,13261.54752159169
11/2011,13188.801159997449
12/2011,13280.994278537994
01/2012,13798.695302389475
02/2012,14652.611102228533
03/2012,14631.448135895533
04/2012,15200.354030588285
05/2012,14589.86121313072
06/2012,15057.954603499367
07/2012,16311.995607859199
08/2012,15915.295103384684
09/2012,16025.631038308906
10/2012,16345.03136512756
11/2012,16614.06137621056
12/2012,16100.855774226839
01/2013,16424.825974814845
02/2013,17401.753229146037
03/2013,18266.13980624165
04/2013,18989.694056555534
05/2013,17043.74765507416
06/2013,16438.659603511875
07/2013,16556.346868829944
08/2013,16223.279143423828
09/2013,16810.193326753222
10/2013,17303.117213802707
11/2013,16675.300646790296
12/2013,16537.56088446578
01/2014,16105.612035231006
02/2014,16398.009307002492
03/2014,16836.367857328132
04/2014,17648.869794059297
05/2014,18299.70112880553
06/2014,18437.976232326677
07/2014,18954.59409275048
08/2014,19272.58123971242
09/2014,18249.23442977091
10/2014,18919.346552335544
11/2014,18082.368845121626
12/2014,18264.607956465912
01/2015,19412.987789967494
02/2015,20279.830068458792
03/2015,20461.511435698514
04/2015,20078.535225167885
05/2015,20599.83495476223
06/2015,19006.52479168079
07/2015,18688.472724581676
08/2015,16359.141490280275
09/2015,15369.41642913077
10/2015,16925.476436188117
11/2015,17460.65446178326
12/2015,16909.635584665335
01/2016,15493.274276507616
02/2016,15980.802825117367
03/2016,17342.960501072
04/2016,18025.85959487152
05/2016,17876.028904179784
06/2016,18378.026596902604
07/2016,20038.421128654416
08/2016,20079.179402905673
09/2016,20208.497380075736
10/2016,20366.837052724095
11/2016,20928.396334892026
12/2016,21135.560451742593
01/2017,21545.523465659808
02/2017,22465.977100178985
03/2017,22605.176974759514
04/2017,21927.733239039797
05/2017,21117.69837481916
06/2017,21257.3229309011
07/2017,21249.42506220279
08/2017,21002.952510840623
09/2017,21037.695141374683
10/2017,21328.603944494836
11/2017,21322.287271127687
12/2017,21703.983710878318
01/2018,21337.13774352301
02/2018,20529.18892113896
03/2018,19569.76248302168
04/2018,20333.646029338535
05/2018,20928.011786793348
06/2018,20439.10406519858
07/2018,20905.29033753631
08/2018,20329.281902493607
09/2018,20657.135327187396
10/2018,19952.69532830121
11/2018,20444.932343131706
12/2018,19365.53269823585
01/2019,20844.89844786899
02/2019,21256.380676780453
03/2019,21352.4256763172
04/2019,21767.985680313013
05/2019,21661.2627582042
06/2019,21839.198957689958
07/2019,22075.409064219162
08/2019,21565.73671362267
09/2019,22730.174382946996
10/2019,22675.578764233393
11/2019,22943.417851078404
12/2019,22682.821775813743
01/2020,22469.70381386983
02/2020,20399.44435493655
03/2020,15250.36562320317
04/2020,17542.814815296537
05/2020,17354.656695620062
06/2020,17655.36539812816
07/2020,16430.383912109606
08/2020,17309.960446727197
09/2020,16831.2476826653
10/2020,16732.565165909502
11/2020,18818.86697455096
12/2020,18767.432289551954
01/2021,19286.832690893232
02/2021,20874.788938582235
03/2021,21479.933367579528
04/2021,21001.0882395899
05/2021,21114.377854065475
06/2021,21335.658888817918
07/2021,20957.171115512083
08/2021,21022.4296217665
09/2021,20822.661987871346
10/2021,20732.442024927062
11/2021,20291.12437276805
12/2021,21230.18217196316
01/2022,22122.11352023521
02/2022,22222.791068402013
03/2022,22563.941766104086
04/2022,22644.223969633073
05/2022,22594.160375342293
06/2022,21401.013727386093
07/2022,22893.625914296153
08/2022,22790.299412693395
09/2022,20571.082734223557
10/2022,19701.5900622843
11/2022,21547.940358020984
12/2022,22124.80070934335
01/2023,23188.81530959253
