Date,Dow Jones Emerging Markets Select Dividend
11/2011,10000
12/2011,10331.73115060988
01/2012,11222.421887251814
02/2012,11861.043229338686
03/2012,11685.641972836756
04/2012,11582.665659612278
05/2012,11170.161992191039
06/2012,11520.878459626552
07/2012,11942.992759840039
08/2012,11869.836226033725
09/2012,12072.285389937098
10/2012,11857.36496407821
11/2012,12127.242795655584
12/2012,12584.514270191794
01/2013,12138.549135537954
02/2013,12298.821709365133
03/2013,12319.75924709006
04/2013,12299.907240699276
05/2013,11941.57410121466
06/2013,11183.090450686263
07/2013,10985.020860612038
08/2013,10801.270265274345
09/2013,11344.736466025586
10/2013,11778.576411565651
11/2013,11343.75723832679
12/2013,10834.73727713627
01/2014,10313.310743952692
02/2014,10372.50664046326
03/2014,10782.477021854018
04/2014,10872.002589117032
05/2014,11210.285180214216
06/2014,11301.711601743622
07/2014,11638.829208101657
08/2014,12004.486363437176
09/2014,11567.353449864378
10/2014,11506.292612261965
11/2014,11512.133046639203
12/2014,11195.432495723813
01/2015,12006.076836278336
02/2015,12382.282042787376
03/2015,12452.560187371726
04/2015,13289.637929027154
05/2015,12771.395637990854
06/2015,12237.346020717554
07/2015,11172.841087720031
08/2015,9752.691093888083
09/2015,9254.86373058177
10/2015,10026.55818916448
11/2015,9957.62708712989
12/2015,9467.311367210725
01/2016,8866.295474690602
02/2016,9204.497474387239
03/2016,9872.106609992314
04/2016,10118.178954957568
05/2016,9662.936090076495
06/2016,10388.529322143668
07/2016,11192.444014008035
08/2016,11194.42080642056
09/2016,11336.194675980916
10/2016,11736.237891325587
11/2016,11571.330946528582
12/2016,11842.321907122523
01/2017,12293.26731852385
02/2017,13170.58764734027
03/2017,13292.702036729683
04/2017,13059.081167629538
05/2017,12980.380457869192
06/2017,12694.787978746223
07/2017,12811.026887327564
08/2017,13138.022738741925
09/2017,12991.862453849877
10/2017,13250.737804370547
11/2017,12884.143505060045
12/2017,13114.524968678777
01/2018,13618.991497724499
02/2018,13550.040699508982
03/2018,13218.287620796667
04/2018,13106.731148756731
05/2018,13307.335020823848
06/2018,12977.029564794335
07/2018,13353.211477979947
08/2018,13099.637570406168
09/2018,13217.938191137166
10/2018,13053.741622273135
11/2018,13366.105214202496
12/2018,12953.199052802715
01/2019,14293.635752696602
02/2019,14198.753650321423
03/2019,14301.152106898793
04/2019,14493.274643005414
05/2019,14098.026226650893
06/2019,14614.511501635585
07/2019,14855.504666793504
08/2019,14105.634800871903
09/2019,14379.19044084495
10/2019,14355.161797738374
11/2019,14709.18646887423
12/2019,15285.643161849988
01/2020,14870.699916767246
02/2020,13700.957534775609
03/2020,11160.689478644423
04/2020,12268.138745658696
05/2020,12223.099285704095
06/2020,12249.372344855325
07/2020,11798.292630753942
08/2020,11636.069594293409
09/2020,11401.931187046885
10/2020,11349.913050744755
11/2020,12899.480692918716
12/2020,13677.257348721874
01/2021,13656.596290191397
02/2021,14284.960367071348
03/2021,15155.32721142562
04/2021,14957.130875091258
05/2021,15192.277023159484
06/2021,15369.257839361038
07/2021,15186.005091311281
08/2021,15859.59292836541
09/2021,16240.737399944439
10/2021,16029.380802596716
11/2021,15684.870720075933
12/2021,16538.82837479383
01/2022,16764.550297674094
02/2022,15507.03900577457
03/2022,14415.335243187104
04/2022,14328.710236492521
05/2022,14075.017194042477
06/2022,12822.18939872042
07/2022,12864.34442004378
08/2022,13085.641200984524
09/2022,11913.217524885968
10/2022,11811.75223750602
11/2022,12377.872418305775
12/2022,12041.680841246887
01/2023,12652.247281708333
02/2023,12218.928940516453
03/2023,12020.4666970897
04/2023,12157.109504538665
05/2023,11921.283005091338
06/2023,12411.792196385682
07/2023,12951.977590982671
08/2023,12459.357864729067
09/2023,12862.196781597384
10/2023,12427.987114813626
11/2023,13059.632439751009
12/2023,13919.328423682882
01/2024,13863.146386477501
02/2024,14092.408329659122
03/2024,14112.253976976963
04/2024,14869.474116600792
05/2024,15397.463173081736
06/2024,15358.758058235782
07/2024,15030.309918590885
08/2024,15036.903148754689
09/2024,15890.799017785177
