Date,Dow Jones Industrial Average
02/1990,10000
03/1990,10495.772368451431
04/1990,10186.726272612124
05/1990,10920.671518687826
06/1990,11018.49678411024
07/1990,10794.374395281175
08/1990,9346.050601505984
09/1990,8791.706191806457
10/1990,8509.10232118817
11/1990,8809.26641682612
12/1990,9185.690398101919
01/1991,9583.912145482562
02/1991,9986.144390100793
03/1991,11001.184135580863
04/1991,11508.066385794798
05/1991,12285.770567937034
06/1991,12252.498413329922
07/1991,12779.421147353429
08/1991,12644.951014501465
09/1991,12204.711814076902
10/1991,12412.187479461223
11/1991,11326.812685755105
12/1991,12026.546391946673
01/1992,12332.675776898435
02/1992,12833.198466414286
03/1992,13069.196162003816
04/1992,13463.688691467189
05/1992,13412.391479951417
06/1992,12746.082068220867
07/1992,12427.651581991371
08/1992,11687.66317869044
09/1992,12029.95001884501
10/1992,12369.438081415523
11/1992,13572.898206994549
12/1992,13569.28625482132
01/1993,13880.85034127072
02/1993,14557.430522699944
03/1993,14935.342353190741
04/1993,14402.43465338473
05/1993,14931.074449574015
06/1993,15343.75505428399
07/1993,16111.755505995763
08/1993,16824.98709545089
09/1993,15756.702543614212
10/1993,16512.539475520352
11/1993,17049.670540362124
12/1993,17394.189200338446
01/1994,18699.748162740034
02/1994,18013.39788260717
03/1994,16767.092815497395
04/1994,17038.99330691605
05/1994,17094.700061014595
06/1994,16249.05636423933
07/1994,16367.040425884456
08/1994,17108.704302169488
09/1994,16652.402690583458
10/1994,16626.195571647273
11/1994,16214.757777044268
12/1994,17002.231673193684
01/1995,16711.110806961704
02/1995,17318.171562948137
03/1995,17287.63233730169
04/1995,17634.671459893987
05/1995,18579.248502791612
06/1995,18832.33360084968
07/1995,19248.309637206938
08/1995,19491.710881722574
09/1995,20543.762041794933
10/1995,20095.25734621616
11/1995,21571.890797181517
12/1995,22135.433942406617
01/1996,23639.421668977953
02/1996,24251.331259494247
03/1996,24724.9573259363
04/1996,24869.09251054296
05/1996,25594.2323220002
06/1996,25481.85460789251
07/1996,24561.426697168776
08/1996,24796.102653121012
09/1996,26233.942464659092
10/1996,26995.154141594376
11/1996,28902.98722780002
12/1996,29247.080012638093
01/1997,31756.10555278518
02/1997,33551.13545021469
03/1997,32541.128348696122
