Date,EQM Future of Defence
02/2023,10000
03/2023,10058.809650902105
04/2023,9818.96608355045
05/2023,10385.769222186578
06/2023,10576.090087579687
07/2023,10607.601289058144
08/2023,10807.50422178441
09/2023,10878.663064144612
10/2023,10977.443609022557
11/2023,11618.496391522054
12/2023,12153.235013938895
01/2024,13051.39256034609
02/2024,13945.86168546196
03/2024,14610.878926491856
04/2024,14423.798872531206
05/2024,14473.247968872498
06/2024,14720.193046563993
07/2024,14873.051441281119
08/2024,15480.265618730107
09/2024,15259.217885340522
