Date,EURO STOXX 50 Daily Leverage
12/1991,10000
01/1992,10843.4
02/1992,11524.7
03/1992,11021.099999999999
04/1992,11484.9
05/1992,12026.199999999999
06/1992,11049.1
07/1992,9757.2
08/1992,8954.4
09/1992,9206.6
10/1992,9326.2
11/1992,9891.5
12/1992,10243
01/1993,10369.5
02/1993,12039.4
03/1993,12257.4
04/1993,11664.3
05/1993,11832.4
06/1993,12837.9
07/1993,14703.1
08/1993,16716.5
09/1993,15793
10/1993,17556.8
11/1993,16612.1
12/1993,19339.7
01/1994,19871.2
02/1994,18138.6
03/1994,17273.6
04/1994,18833.6
05/1994,17294.3
06/1994,15520.7
07/1994,17822
08/1994,18368.2
09/1994,15950.8
10/1994,16565.3
11/1994,16383.699999999999
12/1994,16260.1
01/1995,15621.8
02/1995,15990.2
03/1995,15600.5
04/1995,16757.7
05/1995,17877.1
06/1995,17635.9
07/1995,19618.3
08/1995,19508.7
09/1995,19161
10/1995,18758.4
11/1995,20005.1
12/1995,21397.1
01/1996,24406
02/1996,23911.2
03/1996,24353.7
04/1996,26219.1
05/1996,26741.7
06/1996,26688.6
07/1996,24382.5
08/1996,24684.3
09/1996,27683.9
10/1996,27826.3
11/1996,31730.5
12/1996,32740
01/1997,38355
02/1997,41074.799999999996
03/1997,43358.5
04/1997,44287.2
05/1997,47289.9
06/1997,55614.9
07/1997,68944.2
08/1997,55534
09/1997,63722.8
10/1997,51249.399999999994
11/1997,55049.3
12/1997,59732.4
01/1998,66423.1
02/1998,76594
03/1998,91588.3
04/1998,93431.9
05/1998,103897.3
06/1998,108060.8
07/1998,112488.1
08/1998,81436.9
09/1998,64532.700000000004
10/1998,73900.7
11/1998,88977.6
12/1998,97690.1
01/1999,108616.6
02/1999,104222.3
03/1999,108205
04/1999,120124
05/1999,113023.2
06/1999,123209.4
07/1999,113276.4
08/1999,121209.9
09/1999,114381.7
10/1999,130095.5
11/1999,156694.8
12/1999,201505.4
01/2000,182170.4
02/2000,221406.69999999998
03/2000,225322
04/2000,228668.1
05/2000,219211.4
06/2000,213904.6
07/2000,211295.3
08/2000,214967.59999999998
09/2000,192682.7
10/2000,202231.4
11/2000,179951.69999999998
12/2000,177026.9
01/2001,176482
02/2001,143144.3
03/2001,132996.6
04/2001,154703.3
05/2001,148821
06/2001,136461.8
07/2001,125974.1
08/2001,104964.7
09/2001,79356.7
10/2001,87142.2
11/2001,95581.4
12/2001,102690.6
01/2002,94943.9
02/2002,92009.5
03/2002,99941.5
04/2002,89153
05/2002,82651.1
06/2002,68546.1
07/2002,48883.3
08/2002,48761.7
09/2002,31446.4
10/2002,40052
11/2002,44066.5
12/2002,35247.2
01/2003,31005.6
02/2003,27768.7
03/2003,24611.5
04/2003,32059.699999999997
05/2003,32472.800000000003
06/2003,35072.7
07/2003,37955.5
08/2003,39036.2
09/2003,34122.8
10/2003,39284.7
11/2003,40864.6
12/2003,44890
01/2004,47447.299999999996
02/2004,49163.8
03/2004,45459.7
04/2004,45700.4
05/2004,45005.9
06/2004,47215
07/2004,44209.799999999996
08/2004,42590.8
09/2004,44265.9
10/2004,46943.100000000006
11/2004,49094
12/2004,51558.3
01/2005,52729.799999999996
02/2005,55388.2
03/2005,55151.899999999994
04/2005,51270.3
05/2005,57269
06/2005,61426.6
07/2005,67067
08/2005,64582.5
09/2005,71043.2
10/2005,66469.6
11/2005,71656.7
12/2005,77049.5
01/2006,81851.8
02/2006,85366.8
03/2006,88874.4
04/2006,88415.3
05/2006,80473.1
06/2006,81156.2
07/2006,82804
08/2006,88057.6
09/2006,91987.2
10/2006,96827.3
11/2006,96010.1
12/2006,102125
01/2007,104784.3
02/2007,99874.1
03/2007,103957.5
04/2007,115288.1
05/2007,124143.2
06/2007,122886.5
07/2007,113049.9
08/2007,111263.9
09/2007,115138.4
10/2007,120511.4
11/2007,115285.7
12/2007,114991.6
01/2008,84121.9
02/2008,80439.3
03/2008,75633.7
04/2008,84563
05/2008,84892.8
06/2008,66579.9
07/2008,66702.6
08/2008,66322.4
09/2008,53106.1
10/2008,36487
11/2008,31460.7
12/2008,31341.8
01/2009,25973.7
02/2009,20098.7
03/2009,21704.4
04/2009,28672.9
05/2009,31405
06/2009,30087.199999999997
07/2009,36151.2
08/2009,39951.7
09/2009,42744.399999999994
10/2009,38819.8
11/2009,40409.4
12/2009,45392.700000000004
01/2010,39744.2
02/2010,38260.7
03/2010,44113.100000000006
04/2010,40765.6
05/2010,35532.6
06/2010,34485.5
07/2010,39019.6
08/2010,35661.2
09/2010,39066.6
10/2010,41843.100000000006
11/2010,36443.9
12/2010,40379.8
01/2011,45198.4
02/2011,46968
03/2011,43684.399
04/2011,47010.1
05/2011,43795.3
06/2011,43358.9
07/2011,38023.6
08/2011,27819.5
09/2011,24563.6
10/2011,29089.8
11/2011,27584.4
12/2011,27156.8
01/2012,29616.6
02/2012,31962.7
03/2012,31015.100000000002
04/2012,27107.1
05/2012,23486.9
06/2012,26875.100000000002
07/2012,28272.199
08/2012,31009.699
09/2012,31390.100000000002
10/2012,32637
11/2012,34491.2
12/2012,36174.4
01/2013,38177.4
02/2013,36091.4
03/2013,35801.6
04/2013,38594
05/2013,41060.8
06/2013,36252.7
07/2013,41012.4
08/2013,39571.2
09/2013,44775.8
10/2013,50333.3
11/2013,51071.1
12/2013,51768.5
01/2014,48718.7
02/2014,53132.8
03/2014,53462.299
04/2014,54983.100000000006
05/2014,57906.3
06/2014,57486
07/2014,53510.1
08/2014,55390.5
09/2014,57297.4
10/2014,53157.5
11/2014,57939.9
12/2014,54113.6
01/2015,61215.3
02/2015,70516.1
03/2015,74377.8
04/2015,71425.2
05/2015,71007.8
06/2015,65181.8
07/2015,71796
08/2015,58645.3
09/2015,52431
10/2015,63633
11/2015,66968.8
12/2015,57919.5
01/2016,50124
02/2016,46535.600000000006
03/2016,48352.2
04/2016,49431.6
05/2016,51761.4
06/2016,44874
07/2016,48901.3
08/2016,49934.3
09/2016,49226.2
10/2016,51030.200000000004
11/2016,50977.6
12/2016,59284.2
01/2017,57217.9
02/2017,60522.2
03/2017,67498.5
04/2017,70052.5
05/2017,71391.5
06/2017,67148.2
07/2017,67482.3
08/2017,66440.8
09/2017,73442.2
10/2017,76797.3
