Date,EURO STOXX 50
12/1986,10000
01/1987,9536.728502511563
02/1987,9340.403839458895
03/1987,9667.528721340826
04/1987,9801.18864077187
05/1987,9633.9583229721
06/1987,10066.643457502363
07/1987,10642.064952504103
08/1987,10594.569055552793
09/1987,10385.06490277018
10/1987,8157.482468791964
11/1987,7347.689859252997
12/1987,7239.518575620431
01/1988,7110.832048540309
02/1988,7932.9338041478095
03/1988,7864.176654896305
04/1988,7975.58064355697
05/1988,8031.406972696076
06/1988,8623.738001690954
07/1988,8903.98866066544
08/1988,8698.711891381112
09/1988,9265.55428457751
10/1988,9601.755607499876
11/1988,9498.184711791913
12/1988,9882.379270900683
01/1989,10111.528323469438
02/1989,9796.090913612175
03/1989,10171.582036106829
04/1989,10389.416621077236
05/1989,10699.880638583578
06/1989,11106.206793653952
07/1989,11685.109663301339
08/1989,12159.073954344258
09/1989,12120.903168050929
10/1989,11397.025911374149
11/1989,12027.776396279904
12/1989,12917.01894862486
01/1990,12593.872780623664
02/1990,12346.57084597404
03/1990,13147.03834485503
04/1990,12842.418063361021
05/1990,13263.29139105784
06/1990,13360.521211518377
07/1990,13410.006465410057
08/1990,11560.153180484409
09/1990,10191.226935892973
10/1990,10726.488287661014
11/1990,10532.650320783807
12/1990,10370.393395334959
01/1991,10536.753369473317
02/1991,11599.318645247924
03/1991,11881.931665589098
04/1991,12144.89978614413
05/1991,12771.920226786691
06/1991,12305.291689461383
07/1991,12377.40587854976
08/1991,12578.828268762123
09/1991,12493.037250708709
10/1991,12454.742129606606
11/1991,12248.222012234546
12/1991,12433.48087730641
01/1992,13009.151041925697
02/1992,13472.049534987817
03/1992,13233.575371761079
04/1992,13571.393047197495
05/1992,13943.900134281594
06/1992,13425.050977271598
07/1992,12680.658477147263
08/1992,12210.921569602626
09/1992,12467.797284527776
10/1992,12626.821504948526
11/1992,13057.765952155965
12/1992,13347.093052170887
01/1993,13484.234346247576
02/1993,14587.084100064654
03/1993,14780.673397324315
04/1993,14471.079723479388
05/1993,14627.86591734222
06/1993,15290.446113293878
07/1993,16423.88223006913
08/1993,17574.973889690158
09/1993,17141.04540707216
10/1993,18132.366837419806
11/1993,17702.292733873775
12/1993,19162.48072810464
01/1994,19485.999900532155
02/1994,18678.32098274233
03/1994,18295.618441338836
04/1994,19159.745362311634
05/1994,18412.24449196797
06/1994,17500.74600885264
07/1994,18799.547421296065
08/1994,19139.603123290395
09/1994,17881.70786293331
10/1994,18281.44427313871
11/1994,18232.705028099666
12/1994,18209.081414432785
01/1995,17894.51434823693
02/1995,18146.541005619933
03/1995,17974.08862585169
04/1995,18667.255184761525
05/1995,19331.451733227233
06/1995,19243.17401899836
07/1995,20345.650768389118
08/1995,20331.973939424082
09/1995,20195.20564977371
10/1995,20034.067737603822
11/1995,20728.10464017506
12/1995,21479.83289401701
01/1996,22992.49017755011
02/1996,22798.900880290446
03/1996,23047.197493410255
04/1996,23955.836275923808
05/1996,24234.967921619336
06/1996,24247.401402496645
07/1996,23230.218331924207
08/1996,23411.001143880243
09/1996,24834.510369523054
10/1996,24939.0759437012
11/1996,26674.416869746856
12/1996,27164.296016312728
01/1997,29464.614313423193
02/1997,30543.094444720744
03/1997,31450.489879146568
04/1997,31877.828616899587
05/1997,33010.76739443975
06/1997,35866.489282339484
07/1997,40062.91341323917
08/1997,36080.34515342915
09/1997,38760.25762172378
10/1997,35010.31978912817
11/1997,36407.47003531109
12/1997,38053.16556423136
01/1998,40241.458198637294
02/1998,43301.462177351175
03/1998,47477.24672999453
04/1998,48148.03302332521
05/1998,50946.063559954244
06/1998,52114.810762421046
07/1998,53296.2401153827
08/1998,45642.93529616552
09/1998,40986.099368379175
10/1998,44309.32013726563
11/1998,48821.057343213804
12/1998,51332.37181081217
01/1999,54497.19003332173
02/1999,53551.499477793805
03/1999,54740.63758889939
04/1999,57807.35564728702
05/1999,56187.397423782764
06/1999,58765.35534888347
07/1999,56504.20251653654
08/1999,58610.55851196101
09/1999,57066.5688566171
10/1999,61006.7389466355
11/1999,67114.93509722983
12/1999,76299.67175610484
01/2000,72895.13602228081
02/2000,80659.72049534989
03/2000,81729.49719003332
04/2000,82670.58735763664
05/2000,81387.70080071618
06/2000,80672.15397622719
07/2000,80400.10941463172
08/2000,81292.08733276969
09/2000,77211.41890883772
10/2000,79460.51126473368
11/2000,75276.39627990252
12/2000,75000
01/2001,75143.23369970657
02/2001,67915.77560053713
03/2001,65856.7899239071
04/2001,71355.7467548615
05/2001,70204.65509524047
06/2001,67442.05873576367
07/2001,65064.03242651813
08/2001,59616.55144974387
09/2001,52497.88630825086
10/2001,55413.41323917044
11/2001,58282.43895160889
12/2001,60639.57825632864
01/2002,58525.38916795146
02/2002,57799.39697617745
03/2002,60370.51648679565
04/2002,57183.31924205501
05/2002,55217.71025016164
06/2002,50636.34555130055
07/2002,43445.193216292835
08/2002,43925.12557815686
09/2002,35739.419107773414
10/2002,40857.28850649028
11/2002,43103.894166210775
12/2002,38940.41875963595
01/2003,36537.89724971403
02/2003,34801.437310389425
03/2003,33154.249763763866
04/2003,38026.93091958025
05/2003,38403.53981200577
