Date,EURO STOXX Banks
12/1986,10000
01/1987,9979.120993840692
02/1987,9417.475728155337
03/1987,9427.915231234992
04/1987,9195.114312558722
05/1987,8800.501096147822
06/1987,9036.43386574799
07/1987,9742.14427393256
08/1987,9983.296795072554
09/1987,9931.099279674287
10/1987,7930.890489612694
11/1987,7419.354838709675
12/1987,7395.3439816264745
01/1988,7271.113894978598
02/1988,7935.066290844556
03/1988,7789.957198037373
04/1988,7866.165570518843
05/1988,8101.0543898110445
06/1988,8529.074016076835
07/1988,8740.995928593798
08/1988,8627.205345025577
09/1988,9024.950412360371
10/1988,9514.563106796117
11/1988,9471.761144169537
12/1988,9705.606013153772
01/1989,9868.462261196366
02/1989,9544.837665727113
03/1989,9958.241987681386
04/1989,10227.581167136444
05/1989,10212.965862824929
06/1989,10642.029439398684
07/1989,11316.421338344295
08/1989,11551.310157636495
09/1989,11518.94769808957
10/1989,11261.091972022132
11/1989,11603.507673034763
12/1989,12448.063472178723
01/1990,11955.318926819082
02/1990,11682.84789644013
03/1990,11708.946654139263
04/1990,11645.265685353377
05/1990,12043.010752688171
06/1990,12322.789435222883
07/1990,12606.743918989456
08/1990,11056.477711660924
09/1990,9325.60810105439
10/1990,9888.297317047707
11/1990,9742.14427393256
12/1990,9567.804572502348
01/1991,9751.539826704247
02/1991,10830.984445140411
03/1991,10969.829836099801
04/1991,11008.455997494519
05/1991,11707.902703831296
06/1991,11090.92807182378
07/1991,11044.994258273306
08/1991,11205.762605699969
09/1991,10984.445140411315
10/1991,10801.75383651738
11/1991,10413.404321954275
12/1991,10439.503079653408
01/1992,11054.389811044994
02/1992,11379.058356822214
03/1992,11040.818457041443
04/1992,11123.290531370705
05/1992,11287.190729721264
06/1992,10699.446706336777
07/1992,9981.208894456624
08/1992,9759.89142916797
09/1992,10291.262135922329
10/1992,10768.34742666249
11/1992,11153.565090301701
12/1992,11244.388767094686
01/1993,11538.782753940912
02/1993,12486.689633573442
03/1993,12590.04071406201
04/1993,12357.239795385738
05/1993,12526.359745276124
06/1993,12817.621881198455
07/1993,13603.716463096356
08/1993,14815.742770644114
09/1993,14273.932560810104
10/1993,15080.906148867312
11/1993,14537.00803841737
12/1993,15398.267042488776
01/1994,15367.992483557782
02/1994,14695.688485228102
03/1994,13929.428959181541
04/1994,13911.68180394613
05/1994,13552.562898006054
06/1994,12923.060862302953
07/1994,13683.05668650172
08/1994,13648.606326338866
09/1994,12876.083098444513
10/1994,13267.564463931516
11/1994,13575.529804781292
12/1994,13208.05929637749
01/1995,12692.347844242613
02/1995,12876.083098444513
03/1995,12445.975571562793
04/1995,12843.720638897588
05/1995,13575.529804781292
06/1995,13455.475519365275
07/1995,13640.254723875143
08/1995,13367.783693496189
09/1995,13310.366426558096
10/1995,13311.41037686606
11/1995,14007.725232278943
12/1995,14455.579914396074
01/1996,15076.73034763545
02/1996,14906.5664474371
03/1996,14808.43511848836
04/1996,15166.510074120471
05/1996,15275.080906148867
06/1996,15160.246372272679
07/1996,15312.66311723562
08/1996,15494.310470821585
09/1996,15970.351811253784
10/1996,15903.538991544001
11/1996,16975.67595782441
12/1996,17226.22403173609
01/1997,18985.28030065769
02/1997,19894.5610188955
03/1997,20294.393986846226
04/1997,20964.610084559972
05/1997,22239.273410585654
06/1997,23369.87159411212
07/1997,27654.243658001877
08/1997,25362.772732017955
09/1997,28319.2400041758
10/1997,25865.956780457247
11/1997,26854.577722100425
12/1997,30089.779726485016
01/1998,31470.925983923164
02/1998,34917.00595051676
03/1998,38771.270487524795
04/1998,40019.83505585134
05/1998,41269.44357448585
06/1998,41584.706127988306
07/1998,44390.85499530222
08/1998,34811.566969412255
09/1998,28899.676375404528
10/1998,32522.17350454118
11/1998,36469.349618958135
12/1998,36336.77836934962
01/1999,36212.54828270174
02/1999,35767.82545150851
03/1999,37592.65058983192
04/1999,39208.68566656227
05/1999,37417.266938093744
06/1999,38369.349618958135
07/1999,36048.64808435118
08/1999,37994.571458398575
09/1999,37874.51717298257
10/1999,39199.29011379058
11/1999,40634.721787242925
12/1999,44433.6569579288
01/2000,39750.49587639628
02/2000,42546.194801127465
03/2000,41996.02254932665
04/2000,43589.10115878484
05/2000,45089.25775133103
06/2000,46602.98569788078
07/2000,48087.48303580749
08/2000,50223.40536590458
09/2000,49209.72961687023
10/2000,49133.521244388765
11/2000,45604.96920346591
12/2000,46890.07203257125
01/2001,50149.28489403904
02/2001,46211.50433239377
03/2001,44618.436162438666
04/2001,46954.7969516651
05/2001,46721.99603298883
06/2001,45501.61812297734
07/2001,42380.20670216098
08/2001,42007.51644221735
09/2001,34659.15022444932
10/2001,35587.2220482305
11/2001,38145.94425305355
12/2001,38914.29167971604
01/2002,39295.3335421234
02/2002,39114.730138845385
03/2002,41895.81375926505
04/2002,42543.062950203566
05/2002,41994.989038521766
06/2002,38223.19657584299
07/2002,32278.943522288337
08/2002,33855.308487316004
09/2002,25809.58346382712
10/2002,28922.643282179768
11/2002,31956.362877127045
12/2002,29342.31130598183
01/2003,27504.958763962837
02/2003,27408.915335630023
03/2003,26537.216828478962
04/2003,30816.369140828894
05/2003,31476.14573546299
06/2003,33363.59745276125
07/2003,35043.32393778056
08/2003,34340.74538051988
09/2003,33222.674600689
10/2003,36510.074120471865
11/2003,37514.35431673452
12/2003,39161.70790270383
01/2004,40021.92295646727
02/2004,40287.08633469047
03/2004,38874.62156801336
04/2004,39444.60799665935
05/2004,39041.65361728781
06/2004,39959.28593798935
07/2004,38629.28280613843
08/2004,38881.92922016912
09/2004,40114.83453387619
10/2004,41973.066082054494
11/2004,43033.71959494728
12/2004,44517.17298256603
01/2005,45459.86011065873
02/2005,46777.32539931099
03/2005,46495.458816160346
04/2005,44889.86324250965
05/2005,47356.71782023175
06/2005,48929.950934335524
07/2005,51233.94926401503
08/2005,50574.17266938093
09/2005,53665.29909176323
10/2005,53071.30180603403
11/2005,55863.86887984131
12/2005,57876.60507359849
01/2006,61155.64255141455
02/2006,65107.00490656644
03/2006,65539.2003340641
04/2006,65477.60726589414
05/2006,62201.6911994989
06/2006,62447.00908236767
07/2006,63661.12329053137
08/2006,67187.59787034137
09/2006,68991.54400250547
10/2006,71225.5976615513
11/2006,70266.20732853116
12/2006,72817.62188119844
01/2007,75646.72721578453
02/2007,73114.10376866061
03/2007,74500.46977763857
04/2007,78846.43490969829
05/2007,80171.20785050631
06/2007,77293.03685144587
07/2007,74695.6884852281
08/2007,71810.2098340119
09/2007,70727.63336465183
10/2007,72714.27080070988
11/2007,69621.04603820857
12/2007,68290.00939555277
01/2008,58121.93339597035
02/2008,56059.08758743083
03/2008,55879.528134460794
04/2008,60884.22591084664
05/2008,58439.29428959181
06/2008,48579.18363085917
07/2008,49277.58638688798
08/2008,48901.76427602046
09/2008,43148.55412882347
10/2008,32071.197411003235
11/2008,26980.89570936423
