Date,EURO STOXX Quality Dividend 50
06/2006,10000
07/2006,10105.487273783025
08/2006,10491.628762218137
09/2006,10978.41865866641
10/2006,11339.398045098229
11/2006,11238.749637085068
12/2006,11630.697764444014
01/2007,11874.576599245138
02/2007,11784.573695925676
03/2007,12192.973966902158
04/2007,12762.02458143811
05/2007,13359.140617439272
06/2007,13179.13481080035
07/2007,12776.541178747702
08/2007,12837.510887447983
09/2007,13007.83896254718
10/2007,13427.852511371335
11/2007,13171.392625568567
12/2007,13185.909222878157
01/2008,11638.439949675796
02/2008,11360.689054485629
03/2008,11022.936223749153
04/2008,11739.088357688957
05/2008,11915.223071711991
06/2008,10632.923642698152
07/2008,10394.851446820865
08/2008,10589.37385076938
09/2008,9845.156295364366
10/2008,8600.600019355463
11/2008,8263.814961772961
12/2008,8381.883286557631
01/2009,8009.2906222781385
02/2009,7288.29962256847
03/2009,7336.688280267105
04/2009,8860.930997774121
05/2009,9256.75021774896
06/2009,9002.225878254138
07/2009,9625.47178941256
08/2009,10055.163069776445
09/2009,10464.5311139069
10/2009,10172.263621407143
11/2009,10302.912997193458
12/2009,10921.32004258202
01/2010,10470.337752830737
02/2010,10323.236233426886
03/2010,10823.574954030775
04/2010,10567.115068228008
05/2010,10064.840801316172
06/2010,9923.545920836157
07/2010,10437.433465595665
08/2010,10127.746056324399
09/2010,10452.917836059229
10/2010,10923.255588889964
11/2010,10300.00967773154
12/2010,10740.346462789123
01/2011,11323.913674634667
02/2011,11441.981999419337
03/2011,11212.619761927805
04/2011,11611.34230136456
05/2011,11311.332623633021
06/2011,11133.262363302043
07/2011,10595.180489693215
08/2011,9496.757959934192
09/2011,9180.296138585116
10/2011,9897.416045678892
11/2011,9753.21784573696
12/2011,9780.315494048195
01/2012,9803.54204974354
02/2012,10060.96970870028
03/2012,9901.287138294783
04/2012,9478.37027000871
05/2012,8859.963224620149
06/2012,9529.662247169264
07/2012,9531.597793477209
08/2012,9860.64066582793
09/2012,10027.097648311235
10/2012,10164.52143617536
11/2012,10288.396399883868
12/2012,10630.020323236233
01/2013,10758.734152714604
02/2013,10635.82696216007
03/2013,10731.636504403368
04/2013,11131.326816994097
05/2013,11315.203716248912
06/2013,10666.795703087197
07/2013,11182.61879415465
08/2013,10885.512435885028
09/2013,11657.795412755251
10/2013,12197.812832672022
11/2013,12368.140907771218
12/2013,12358.463176231491
01/2014,12049.743540114197
02/2014,12652.666215039195
03/2014,12816.219878060583
04/2014,12919.771605535663
05/2014,13341.720700667765
06/2014,13368.818348978997
07/2014,13093.003000096778
08/2014,13200.425820187747
09/2014,13175.263718184455
10/2014,12855.898577373464
11/2014,13362.043936901191
12/2014,13152.037162489112
01/2015,13988.193167521533
02/2015,14740.152908158329
03/2015,15006.290525500823
04/2015,14886.286654408206
05/2015,14823.38139939998
06/2015,14103.358172844286
07/2015,15003.387206038904
08/2015,13850.769379657408
09/2015,13324.300783896255
10/2015,14651.117777992837
11/2015,15014.032710732603
12/2015,14185.618890931968
01/2016,13471.402303300107
02/2016,13145.262750411306
03/2016,13501.40327107326
04/2016,13663.021387786703
05/2016,13974.644343365915
06/2016,13074.615310171295
07/2016,13648.504790477113
08/2016,14020.129681602633
09/2016,14074.324978225104
10/2016,14310.461627794446
11/2016,14128.520274847577
12/2016,15116.616665053712
01/2017,14909.513210103552
02/2017,15373.07655085648
03/2017,16110.519694183684
04/2017,16363.108487370562
05/2017,16962.160069679667
06/2017,16536.339881931675
07/2017,16496.661182618795
08/2017,16554.72757185716
09/2017,17125.713732701057
10/2017,17649.27900900029
11/2017,17763.47624116907
12/2017,17598.95480499371
01/2018,18040.259363205267
02/2018,17418.948998354786
03/2018,17097.63863350431
04/2018,18027.67831220362
05/2018,17461.531017129586
06/2018,17288.28994483693
