Date,EURO STOXX Small
12/1986,10000
01/1987,10090.72394001111
02/1987,10228.661359007592
03/1987,10540.640622107017
04/1987,10500.83317904092
05/1987,10062.025550823922
06/1987,10025.92112571746
07/1987,10494.352897611554
08/1987,10486.94686169228
09/1987,10421.218292908721
10/1987,7857.804110349935
11/1987,7251.43491945936
12/1987,7128.309572301426
01/1988,6923.717830031477
02/1988,7622.66246991298
03/1988,7480.096278466951
04/1988,7727.272727272728
05/1988,7867.9874097389375
06/1988,8528.97611553416
07/1988,8715.052768005926
08/1988,8618.77430105536
09/1988,9021.477504165896
10/1988,9398.25958155897
11/1988,9474.171449731532
12/1988,9630.6239585262
01/1989,10233.290131457137
02/1989,10038.88168857619
03/1989,10536.01184965747
04/1989,11056.285872986484
05/1989,11282.169968524347
06/1989,11498.79651916312
07/1989,11807.072764302908
08/1989,12453.249398259582
09/1989,12883.725236067394
10/1989,11855.21199777819
11/1989,12218.107757822625
12/1989,12718.015182373634
01/1990,12507.868913164231
02/1990,12201.44417700426
03/1990,12800.40733197556
04/1990,12980.003703017961
05/1990,13260.50731346047
06/1990,13120.71838548417
07/1990,12938.344750972043
08/1990,10852.619885206444
09/1990,9263.099426032217
10/1990,9659.322347713387
11/1990,9354.749120533235
12/1990,9277.911497870766
01/1991,9110.349935197186
02/1991,10501.758933530828
03/1991,10844.28809479726
04/1991,10790.594334382522
05/1991,10924.828735419367
06/1991,10660.988705795224
07/1991,10415.663765969266
08/1991,10485.09535271246
09/1991,10391.594149231623
10/1991,9894.463988150343
11/1991,9468.616922792076
12/1991,9257.544899092762
01/1992,9823.180892427328
02/1992,10071.283095723014
03/1992,9804.665802629142
04/1992,9938.900203665988
05/1992,10109.239029809294
06/1992,9431.586743195705
07/1992,8570.635067580079
08/1992,8028.142936493242
09/1992,7655.9896315497135
10/1992,7830.031475652657
11/1992,7971.671912608776
12/1992,7944.825032401406
01/1993,8224.402888354009
02/1993,8653.027217182003
03/1993,8967.783743751157
04/1993,9207.55415663766
05/1993,9355.674875023144
06/1993,9476.94871320126
07/1993,10159.229772264396
08/1993,10918.348453990002
09/1993,10410.109239029809
10/1993,10760.970190705426
11/1993,10594.334382521756
12/1993,11461.766339566748
01/1994,12395.852619885207
02/1994,11986.669135345306
03/1994,11932.97537493057
04/1994,12361.599703758564
05/1994,11884.836141455287
06/1994,11259.026106276617
07/1994,11800.592482873542
08/1994,11897.796704314016
09/1994,11320.125902610627
10/1994,11013.701166450657
11/1994,10889.650064802814
12/1994,10768.3762266247
01/1995,10456.396963525274
02/1995,10294.38992779115
03/1995,9738.011479355675
04/1995,10269.3945565636
05/1995,10695.241621921867
06/1995,10427.698574338086
07/1995,10619.329753749305
08/1995,10622.107017219034
09/1995,10344.380670246252
10/1995,9768.561377522681
11/1995,9559.340862803185
12/1995,9725.050916496946
01/1996,10333.27161636734
02/1996,10473.98629883355
03/1996,10607.294945380485
04/1996,10947.9725976671
05/1996,11069.246435845214
06/1996,11149.78707646732
07/1996,10513.793741899648
08/1996,10541.566376596928
09/1996,10626.73578966858
10/1996,10496.204406591372
11/1996,10919.274208479912
12/1996,11166.450657285688
01/1997,12188.483614145529
02/1997,12536.567302351415
03/1997,12710.60914645436
04/1997,12574.523236437699
05/1997,12680.059248287354
06/1997,13123.495648953898
07/1997,14102.943899277912
08/1997,13491.94593593779
09/1997,14256.619144602852
10/1997,13008.702092205147
11/1997,12958.711349750047
12/1997,13139.233475282355
01/1998,14069.616737641178
02/1998,14858.359563043881
03/1998,16403.443806702464
04/1998,16855.21199777819
05/1998,17358.822440288837
