Date,Elwood Blockchain Global Equity
07/2017,10000
08/2017,10369.345623678648
09/2017,10571.782229374894
10/2017,11732.03823681045
11/2017,11662.669254789433
12/2017,11712.332694071541
01/2018,12325.7293890985
02/2018,12166.738496806942
03/2018,11811.70927684441
04/2018,11960.006043546651
05/2018,12642.185144029405
06/2018,12015.6986618631
07/2018,12191.643404907976
08/2018,12383.253025491375
09/2018,12280.12214927436
10/2018,10954.041703481182
11/2018,10700.79716524342
12/2018,9699.099563318778
01/2019,10321.352454735375
02/2019,10916.50569376314
03/2019,11093.418424566089
04/2019,11418.614815475132
05/2019,10952.982243744957
06/2019,11380.754657293499
07/2019,11865.818401937046
08/2019,11661.11797752809
09/2019,11973.623473229867
10/2019,12107.596557288865
11/2019,12646.408759788746
12/2019,12711.383211678834
01/2020,12864.472312703583
02/2020,12161.808144301724
03/2020,10610.601588170866
04/2020,12937.869897020966
05/2020,13357.154094827587
06/2020,14158.6926236828
07/2020,16494.805452397028
08/2020,17372.46030150754
09/2020,17393.180304065598
10/2020,16837.638228757056
11/2020,20810.04115191987
12/2020,22631.16999429549
01/2021,24173.892468688202
02/2021,30763.420427357483
03/2021,33541.72042643923
04/2021,31398.503807316676
05/2021,28507.730513892307
06/2021,29922.401632446992
07/2021,28461.96451097469
08/2021,30185.579432144666
09/2021,28780.219276276024
10/2021,32825.52958351223
11/2021,33787.754378245176
12/2021,30556.88009888752
01/2022,26836.70760129079
02/2022,26871.888025716584
03/2022,28235.227096657956
04/2022,24765.777324478182
05/2022,22246.599551946234
06/2022,19187.480985847695
07/2022,21189.785153951754
08/2022,20804.8707
09/2022,18095.766721378743
10/2022,17575.122654831554
11/2022,16929.33047417116
12/2022,15587.256609788114
01/2023,18048.949598449184
02/2023,17941.128354835673
03/2023,17355.96
04/2023,16963.087879063834
05/2023,17494.449031171018
06/2023,18069.68166758697
07/2023,19885.791889685202
08/2023,17618.555023923447
09/2023,17130.009911270532
10/2023,17127.228835106882
11/2023,19650.851614673862
12/2023,23635.476651583715
01/2024,21414.19239641967
02/2024,26079.73877701829
03/2024,28934.048469151792
04/2024,24335.877402500464
05/2024,25425.06966457796
06/2024,26340.561886968706
07/2024,27356.140838566684
08/2024,24783.560656624875
09/2024,25170.733922829586
