Date,FTSE 100
04/2000,10000
05/2000,9822.405640416851
06/2000,9609.161802440161
07/2000,9922.954304994219
08/2000,10529.216230826227
09/2000,10220.113207497805
10/2000,10745.96187278804
11/2000,9731.815104920195
12/2000,9697.395591042061
01/2001,9624.119202449723
02/2001,9044.440868246076
03/2001,8922.693252546695
04/2001,9473.308277912512
05/2001,9562.361630437992
06/2001,9230.135406657992
07/2001,8884.74861199264
08/2001,8437.03568219696
09/2001,7837.428093515798
10/2001,8071.704286522885
11/2001,8317.1357003018
12/2001,8552.788428778853
01/2002,8434.573531662856
02/2002,8363.929556848338
03/2002,8664.634144409869
04/2002,8116.92111604379
05/2002,8180.314974725674
06/2002,7531.268515917321
07/2002,7138.763259881898
08/2002,7047.954456228306
09/2002,6273.420789370085
10/2002,6785.182984085662
11/2002,6943.568508900498
12/2002,6457.95813223352
01/2003,5804.225676310925
02/2003,5730.808131273244
03/2003,5663.614491833419
04/2003,6063.503111425169
05/2003,6073.691593517252
06/2003,6289.081918026703
07/2003,6413.633519415334
08/2003,6553.527885791159
09/2003,6399.817707888393
10/2003,6834.479649867333
11/2003,6836.566651409467
12/2003,6955.844749135006
01/2004,7026.367780168894
02/2004,7369.180359800558
03/2004,7300.258580116289
04/2004,7358.091904460645
05/2004,7380.379315039529
06/2004,6970.322906187002
07/2004,7325.017684262967
08/2004,6968.824978294159
09/2004,7382.801348498651
10/2004,7378.901449124683
11/2004,7522.65752511166
12/2004,7578.339832120837
01/2005,7464.4239713482975
02/2005,8033.681901670533
03/2005,7990.575274322294
04/2005,7981.161164355449
05/2005,7924.476963502599
06/2005,8591.916346069333
07/2005,8687.548868256483
08/2005,8853.730034344913
09/2005,9180.211573797129
10/2005,8598.62221150074
11/2005,9133.385967408361
12/2005,9375.926256248413
01/2006,9629.541105731842
02/2006,9778.426957245436
03/2006,9901.770518554375
04/2006,10022.742039453775
05/2006,9675.530414186867
06/2006,9798.691578119433
07/2006,9717.636449128973
08/2006,10262.386057406035
09/2006,10314.848833437653
10/2006,10758.65959760683
11/2006,10570.688723462386
12/2006,10821.891176769604
01/2007,10928.460776637072
02/2007,10736.706307508004
03/2007,10959.888367233927
04/2007,10881.39148395451
05/2007,11528.062599264997
06/2007,11638.341141419487
07/2007,11206.212293722494
08/2007,11118.254732671123
09/2007,11113.838144591855
10/2007,11566.115404783981
11/2007,10835.555746433904
12/2007,10352.84203088922
01/2008,9476.043102779815
02/2008,9302.606942680604
03/2008,8539.96232178109
04/2008,9431.929981108326
05/2008,9465.213679520175
06/2008,8546.390674482436
07/2008,8466.516395598537
08/2008,8701.277053986998
09/2008,7723.035352131587
10/2008,6938.1670263766355
11/2008,6487.871347691834
12/2008,5712.751697789003
01/2009,5675.52569968337
02/2009,5307.405431584856
03/2009,5244.661923791593
04/2009,5928.251884830731
05/2009,6350.95600729692
06/2009,6283.303358629059
07/2009,6794.150564324066
08/2009,7068.884890786603
09/2009,7177.513613414005
10/2009,7180.690623147063
11/2009,7283.186439398647
12/2009,7801.2327883460985
01/2010,7668.130921799412
02/2010,7723.956498862487
03/2010,8252.47637371659
04/2010,8266.716631796655
05/2010,7959.633836845079
06/2010,7849.047287376379
