Date,FTSE Actuaries UK Conventional Gilts All Stocks
12/2006,10000
01/2007,9988.071338402651
02/2007,9999.028742397328
03/2007,9804.716124435012
04/2007,9735.15744505134
05/2007,9684.832302517736
06/2007,9657.407798970047
07/2007,9901.51150183862
08/2007,9992.581365306205
09/2007,9721.963002560757
10/2007,9798.647993785642
11/2007,9727.348539100467
12/2007,9639.417276712542
01/2008,9491.281577276748
02/2008,9301.099395700492
03/2008,9010.305165529067
04/2008,8935.846917943996
05/2008,8853.533587599137
06/2008,8724.106103036242
07/2008,8971.886325966952
08/2008,8977.91091677591
09/2008,9153.624422056128
10/2008,9222.293127188055
11/2008,9134.722093668626
12/2008,8372.533107157675
01/2009,8479.395586899846
02/2009,8642.085173174875
03/2009,8498.650038433168
04/2009,8741.643337854937
05/2009,8858.573421058229
06/2009,9160.700180758751
07/2009,9054.041348142779
08/2009,9112.31443643059
09/2009,8848.40086697761
10/2009,8977.754653551166
11/2009,8880.537154464151
12/2009,8875.065003986156
01/2010,9160.1909130408
02/2010,8858.319089241431
03/2010,8958.711031146044
04/2010,9219.380694439811
05/2010,9669.582276636676
06/2010,10189.306956780034
07/2010,9952.86105445616
08/2010,10518.300369360684
09/2010,10034.560380519997
10/2010,9799.00548996163
11/2010,10100.310568137536
12/2010,9816.79863599736
01/2011,9631.263182335504
02/2011,9791.346385225632
03/2011,9486.172799912722
04/2011,9576.532664442495
05/2011,9908.247422159135
06/2011,9517.87066832242
07/2011,10133.717584109063
08/2011,10161.859979557526
09/2011,10729.945930564478
10/2011,10771.240160839023
11/2011,11220.322721308235
12/2011,11690.472782415936
01/2012,11742.536256529964
02/2012,11465.18208816612
03/2012,11506.563392545233
04/2012,11850.730501840797
05/2012,12564.631046025415
06/2012,12340.030290396568
07/2012,12957.527276022638
08/2012,12748.366075910926
09/2012,12618.151544665267
10/2012,12399.347709399322
11/2012,12428.44009710392
12/2012,12288.99818355563
01/2013,11480.056123337483
02/2013,11497.100342101177
03/2013,11943.565291815754
04/2013,12093.934034875268
05/2013,11659.555961657356
06/2013,11339.506594566414
07/2013,11211.647989680034
08/2013,11348.285963754379
09/2013,11680.974641478171
10/2013,11561.581219314889
11/2013,11698.962632103388
12/2013,11555.198540417967
01/2014,11960.509433713503
02/2014,11906.467745590846
03/2014,11881.88697241271
04/2014,12040.27411856047
05/2014,12298.192936502384
06/2014,12409.894020165739
07/2014,12673.15646978124
08/2014,13053.692972105258
09/2014,13273.972643408259
10/2014,13331.374476089417
11/2014,13550.967367047457
12/2014,14082.285890196337
01/2015,15270.599199296625
02/2015,15101.08790095483
03/2015,15413.010072078841
04/2015,15100.381585837225
05/2015,15325.065480365807
06/2015,15220.124293166253
07/2015,15623.434969357784
08/2015,15159.782643690389
09/2015,15118.371770051766
10/2015,15374.279296889395
11/2015,15810.995320008873
12/2015,15029.195771796809
01/2016,14958.34980108852
02/2016,14747.937473778326
03/2016,14621.521540199088
04/2016,14654.607717982823
05/2016,15270.94514935319
06/2016,14868.515023292179
07/2016,14855.055215145618
08/2016,15176.859596189048
09/2016,14605.901299915982
10/2016,13420.920674756715
11/2016,13993.455002403158
12/2016,14184.227120286587
01/2017,13858.465265968585
02/2017,14419.162921026991
03/2017,14425.653501599714
04/2017,14644.7990571218
05/2017,14224.107607100419
06/2017,13854.647850824324
07/2017,13664.558404273062
08/2017,13535.844451458648
09/2017,13753.906433754599
10/2017,13843.261638492437
11/2017,13860.048475299884
12/2017,13938.159143894774
01/2018,13786.312005810287
02/2018,13741.550860342842
03/2018,14170.940192318882
04/2018,13953.691640849192
05/2018,14243.229852793804
06/2018,14015.284904959315
07/2018,13869.283147597002
08/2018,13810.418534683582
09/2018,13752.840277922372
10/2018,13858.108258017508
11/2018,13664.982966266078
12/2018,13903.530262739298
01/2019,14351.959544508374
02/2019,14514.42066356284
03/2019,14980.375867938255
04/2019,14681.139847146747
05/2019,14663.664277804573
06/2019,14529.343320287953
07/2019,14510.363509578223
08/2019,15197.71075617771
09/2019,15618.319264404738
10/2019,15769.058422598677
11/2019,15811.127695763817
12/2019,15627.525265017677
01/2020,16354.324990893185
02/2020,16337.443984235659
03/2020,15947.110370319047
04/2020,16751.67686996918
05/2020,16166.077068962855
06/2020,15872.809987792964
07/2020,16148.829322950132
08/2020,15732.335013022175
09/2020,15679.216639042108
10/2020,15774.30166629335
11/2020,15766.319669860102
12/2020,16012.04694701499
01/2021,16011.097880301586
02/2021,15336.269917006462
03/2021,15670.303780319975
04/2021,15454.662814748324
05/2021,15674.607747104315
06/2021,15826.165242502364
07/2021,16391.502137365584
08/2021,16118.440793024174
09/2021,15490.58482613701
10/2021,16116.648799012855
11/2021,16466.058793457
12/2021,16248.398135505242
01/2022,15788.04985259711
02/2022,15497.141323555756
03/2022,14982.145024574287
04/2022,14677.791069085057
05/2022,14036.024350829104
06/2022,13671.785532053866
07/2022,14335.436670191786
08/2022,12925.238064740273
09/2022,11580.935086036923
10/2022,12245.642920806547
11/2022,12536.399537002517
12/2022,11724.793415463831
01/2023,12109.31216474065
02/2023,11764.066885931557
03/2023,12069.836695744578
04/2023,11852.169522014907
05/2023,11663.532284083847
06/2023,11693.809395275299
07/2023,11791.667059357382
08/2023,11746.319200370903
09/2023,11535.669150158878
10/2023,11374.841271557303
11/2023,11843.105315583301
12/2023,12407.060651128231
01/2024,12342.464045710229
02/2024,12174.23565171468
03/2024,12405.49804177252
04/2024,12049.65511809332
05/2024,12164.655824029402
06/2024,12422.252729549728
07/2024,12678.124930699334
08/2024,12783.993951777544
09/2024,12876.618695011948
