Date,FTSE All-World High Dividend Yield
03/2008,10000
04/2008,10655.293693693691
05/2008,10671.941731235489
06/2008,9425.673946459678
07/2008,9429.535025170386
08/2008,9753.357672795915
09/2008,8949.702617102192
10/2008,7973.256737842366
11/2008,7474.16632502502
12/2008,7092.072033899013
01/2009,6772.557919505491
02/2009,6138.403106091832
03/2009,6359.353145445052
04/2009,7266.409313566284
05/2009,7638.651721734158
06/2009,7546.813337290548
07/2009,8326.30680825749
08/2009,8659.712738602586
09/2009,8884.267493555748
10/2009,8718.823043512224
11/2009,8938.1313608711
12/2009,9487.790888063424
01/2010,9315.96404670508
02/2010,9603.163204309889
03/2010,10232.607484527216
04/2010,10289.238953423954
05/2010,10032.135894885329
06/2010,9897.564083292524
07/2010,10186.6520408327
08/2010,10190.96096251142
09/2010,10329.757549829095
10/2010,10502.576473454696
11/2010,10679.37544632718
12/2010,11127.073055621348
01/2011,11031.548449963695
02/2011,11218.568043571475
03/2011,10987.387682311073
04/2011,11060.255135360068
05/2011,11196.960965256976
06/2011,10958.170840034483
07/2011,10837.705808328456
08/2011,10053.490916066292
09/2011,9821.496729441715
10/2011,10402.322831569805
11/2011,10481.992080892525
12/2011,10955.907254221584
01/2012,11183.814820801977
02/2012,11508.674067427159
03/2012,11547.73143616421
04/2012,11525.927599375027
05/2012,11183.011784763168
06/2012,11694.449818836558
07/2012,12235.06774520601
08/2012,12118.03487390136
09/2012,12161.820061161514
10/2012,12098.009117021633
11/2012,12235.259381487958
12/2012,12378.355905210998
01/2013,12657.000827070327
02/2013,12992.32603064104
03/2013,13474.25812678903
04/2013,13709.844789486482
05/2013,13531.387009732452
06/2013,13041.769909136761
07/2013,13436.164820359598
08/2013,13178.936119810245
09/2013,13585.76709663901
10/2013,14060.96219212454
11/2013,14139.866597065926
12/2013,14078.119949683689
01/2014,13738.262301644743
02/2014,14120.389884441427
03/2014,14389.303636200948
04/2014,14615.684680304565
05/2014,15089.435015181592
06/2014,15231.52671615879
07/2014,15340.799799535107
08/2014,15821.323947723586
09/2014,15941.958808073365
10/2014,15999.441891371522
11/2014,16231.773833398172
12/2014,16184.99889077404
01/2015,17081.166359608018
02/2015,18049.250581099142
03/2015,18405.511483636972
04/2015,18497.626678532935
05/2015,18664.906264188707
06/2015,17792.6834673838
07/2015,18185.527812540087
08/2015,16531.436415542597
09/2015,15941.790343686405
10/2015,17447.829958448685
11/2015,17892.214263129787
12/2015,17102.640067439035
01/2016,16239.330746821648
02/2016,16230.053686090088
03/2016,16698.081390763055
04/2016,16981.816982129854
05/2016,17272.375505297285
06/2016,17285.59878293822
07/2016,17891.881399867136
08/2016,17964.939486983872
09/2016,17975.59901706707
10/2016,18123.392401830384
11/2016,18729.854791601334
12/2016,19526.145479440205
01/2017,19445.73534176751
02/2017,20187.615743622326
03/2017,20262.244776167703
04/2017,19989.626932165247
05/2017,19847.020245992284
06/2017,19563.63237957677
07/2017,19561.680520628695
08/2017,19424.782007705522
09/2017,19893.80427782847
10/2017,20296.01228285582
11/2017,20245.572521450154
12/2017,20412.534768381513
01/2018,20601.407493854716
02/2018,19943.90380766989
03/2018,19347.61070588368
04/2018,19979.95257967398
05/2018,20170.967347792342
06/2018,20057.70523795729
07/2018,20607.804211229115
08/2018,20492.44437285475
09/2018,20802.59015418699
10/2018,20046.997732050822
11/2018,20264.270902029737
12/2018,18907.077110233582
01/2019,20107.12022260534
02/2019,20729.665972903273
03/2019,21126.819434526366
04/2019,21685.69047726347
05/2019,20655.37689380037
06/2019,21417.68045811924
07/2019,21673.916662455784
08/2019,21236.205473771493
09/2019,22295.563120772233
10/2019,22344.830438547284
11/2019,22976.210459987222
12/2019,23359.242745455125
01/2020,22886.758309903606
02/2020,20920.85895366617
03/2020,17617.686187591982
04/2020,19211.425881356794
05/2020,19168.161529450994
06/2020,19452.804791141414
07/2020,18977.609285149414
08/2020,19499.897251777325
09/2020,19234.027111864812
10/2020,18738.406779534045
11/2020,20829.66803388619
12/2020,21317.918440149642
01/2021,21477.459240378343
02/2021,22316.89070003549
03/2021,24226.459197194385
04/2021,24084.272620330205
05/2021,24657.865204639773
06/2021,24940.931023565725
07/2021,24804.11016441537
08/2021,25332.329137915345
09/2021,25250.725302491006
10/2021,25845.776370708725
11/2021,25483.336156092977
12/2021,27233.52700332353
01/2022,27714.87983722279
02/2022,27210.903097756498
03/2022,27862.888690086624
04/2022,28007.73975916064
05/2022,28255.362374583838
06/2022,26592.22813334085
07/2022,27848.861892245928
08/2022,27622.101977311075
09/2022,25859.59198245187
10/2022,27463.269597216116
11/2022,28486.62682696132
12/2022,27263.16226038389
01/2023,28147.44102820829
02/2023,27833.143133888498
03/2023,27221.429257366806
