Date,FTSE All-World
09/2003,10000
10/2003,10631.818455128581
11/2003,10455.157280050089
12/2003,10543.33394113738
01/2004,10950.718961589651
02/2004,11135.425667618512
03/2004,11255.08939113129
04/2004,11240.298931904184
05/2004,11094.045239005523
06/2004,11344.092546026888
07/2004,11096.762609499807
08/2004,11108.468348800143
09/2004,11072.687654964277
10/2004,11051.527387980503
11/2004,11170.885076700584
12/2004,11323.867931266957
01/2005,11586.887808041398
02/2005,11790.203085556366
03/2005,11791.337451158632
04/2005,11540.325591588755
05/2005,12378.06946573632
06/2005,12767.67077317695
07/2005,13251.210979753525
08/2005,13232.154681973741
09/2005,13796.158832213237
10/2005,13459.76123855101
11/2005,14245.554305101945
12/2005,14562.958124476892
01/2006,14883.547901731321
02/2006,15178.272570893703
03/2006,15215.981140142036
04/2006,15174.056660569511
05/2006,14212.506796851356
06/2006,14396.105711801089
07/2006,14451.859567924972
08/2006,14735.380522102256
09/2006,15144.072900215353
10/2006,15664.418517929475
11/2006,15498.626400715915
12/2006,15893.254334780193
01/2007,16312.895304059139
02/2007,15906.023092285326
03/2007,16098.108285306196
04/2007,16472.93960809943
05/2007,17176.82577087288
06/2007,17070.16403818842
07/2007,16571.03975795002
08/2007,16530.306794156917
09/2007,16834.076610855016
10/2007,17189.13385605673
11/2007,16118.23929611018
12/2007,15973.724750677566
01/2008,14524.331255080822
02/2008,14273.247613950845
03/2008,13492.397772966675
04/2008,14494.431400945534
05/2008,14744.76566426708
06/2008,13279.951771905153
07/2008,13095.205457662298
08/2008,13568.823634449069
09/2008,12260.66094309495
10/2008,11007.657552032426
11/2008,10315.706083340747
12/2008,9787.471786149306
01/2009,9702.150976884772
02/2009,8879.54605929278
03/2009,9150.475224089023
04/2009,10277.874527778637
05/2009,10656.225243263187
06/2009,10572.90101081413
07/2009,11508.63072151227
08/2009,11822.213135673832
09/2009,12051.621418694802
10/2009,11737.759543920649
11/2009,12035.752166892456
12/2009,12806.152260589903
01/2010,12641.968995024183
02/2010,13163.331053084508
03/2010,14115.80652745867
04/2010,14312.683490543417
05/2010,14001.517910475073
06/2010,13631.003357478554
07/2010,13884.664787240357
08/2010,13765.105469996559
09/2010,14027.23983837962
10/2010,14305.177103386432
11/2010,14886.944882907512
12/2010,15555.1275520376
01/2011,15410.726511583309
02/2011,15682.443664107583
03/2011,15269.27967374017
04/2011,15195.65465109979
05/2011,15352.451899041345
06/2011,15046.509186039222
07/2011,14993.9656110959
08/2011,13710.694182244024
09/2011,13273.501999339678
10/2011,14176.187546153727
11/2011,14332.639012149852
12/2011,14822.778017563396
01/2012,15428.131055390846
02/2012,15883.761795677356
03/2012,16079.266601585648
04/2012,16063.293893729147
05/2012,15576.688062135643
06/2012,16105.03562691539
07/2012,16736.256987310524
08/2012,16653.81027023794
09/2012,16762.83551060157
10/2012,16583.734109021276
11/2012,16805.22580792
12/2012,16933.124740919564
01/2013,17246.480494111373
02/2013,17787.61654853519
03/2013,18556.41591229303
04/2013,18704.04851488078
05/2013,18751.29319709118
06/2013,18102.83300979879
07/2013,18685.501386269534
08/2013,18352.073997999745
09/2013,18920.3021696723
10/2013,19482.840001560715
11/2013,19799.529734642743
12/2013,19875.690762874903
01/2014,19469.832387424634
02/2014,19950.982941313
03/2014,20093.434892216632
04/2014,20189.262973593526
05/2014,20994.245957663137
06/2014,21317.770883653247
07/2014,21501.02791090751
08/2014,22293.128731894678
09/2014,22613.869106114707
10/2014,22875.105710303927
11/2014,23333.444242821977
12/2014,23531.122534944774
01/2015,24895.141071884424
02/2015,26421.299897024892
03/2015,27181.06178404341
04/2015,26837.731622079402
05/2015,27417.98660146126
06/2015,26249.538657795765
07/2015,27005.181925618082
08/2015,24613.001700579338
09/2015,23746.11526964008
10/2015,26033.488317477317
11/2015,26889.993162349045
12/2015,25672.900574156913
01/2016,24045.201283786715
02/2016,23943.068312440326
03/2016,24613.072763441716
04/2016,24937.048164823464
05/2016,25527.30379854569
06/2016,25487.171395899815
07/2016,26561.23620149465
08/2016,26596.98158473673
09/2016,26686.19363560407
10/2016,26764.52304314791
11/2016,27757.297994476197
12/2016,28635.537670697697
01/2017,28822.827470457854
02/2017,30085.740181862955
03/2017,30184.003699749173
04/2017,29983.568076392014
05/2017,29843.107480212686
06/2017,29462.840728986834
07/2017,29454.721523756176
08/2017,29326.56909020211
09/2017,29941.846624946524
10/2017,31010.490708566736
11/2017,31054.380477360264
12/2017,31202.75597394089
01/2018,31723.073466907856
02/2018,31006.29322752897
03/2018,30070.17573285866
04/2018,30967.56909121452
05/2018,31984.344351262298
06/2018,31902.30441369001
07/2018,32648.615822369185
08/2018,33118.08283652377
09/2018,33489.931356956295
10/2018,31690.269056207035
11/2018,32037.316138313538
12/2018,29554.580648666844
01/2019,31748.971578884906
02/2019,32786.210888297865
03/2019,33735.61856701499
04/2019,34924.84973879199
05/2019,33061.96511028284
06/2019,34490.750168497725
07/2019,35292.94125271741
08/2019,34822.22228584945
09/2019,36063.833590730625
10/2019,36189.38876616937
11/2019,37642.333150096536
12/2019,38112.73621180722
01/2020,38296.211106578805
02/2020,35438.43329647421
03/2020,30704.459160342336
04/2020,34218.380326852566
05/2020,34895.50415235561
06/2020,35793.672491817386
07/2020,35573.56204464955
08/2020,37487.66518469186
09/2020,37000.713023166274
10/2020,36112.27019993203
11/2020,39624.21033602963
12/2020,40479.37815149654
01/2021,40745.45666140858
02/2021,41747.29109270782
03/2021,44358.627164666956
04/2021,44904.08231470343
05/2021,45177.539762183194
06/2021,46942.56669639671
07/2021,47212.43426885548
08/2021,48619.054386490214
09/2021,47667.40291200923
10/2021,49762.719641821175
11/2021,49709.79653128386
12/2021,51924.892558276166
01/2022,50183.49651865054
02/2022,48718.00900344173
03/2022,50202.067586966354
04/2022,48695.700145405186
05/2022,47964.646615707396
06/2022,45315.47775740647
07/2022,49307.377073739
08/2022,48469.08167734278
09/2022,44962.73263868545
10/2022,46833.95193878456
11/2022,48244.32916786791
12/2022,45173.53449237652
01/2023,47621.757536810794
02/2023,47183.78233873773
03/2023,47462.72684994712
04/2023,47708.05497954176
05/2023,48512.06902704083
06/2023,50400.19609701531
07/2023,51498.45499913056
08/2023,50805.948806971006
09/2023,50015.14160149816
10/2023,48395.071050060134
11/2023,51327.49629511699
12/2023,53197.13062368579
01/2024,54558.36854931186
02/2024,56908.4505391755
03/2024,58732.81234626059
04/2024,57329.595891330195
05/2024,58887.5492013111
06/2024,60965.01783580575
