Date,FTSE Developed All Cap Choice
01/2011,10000
02/2011,10241.32480782
03/2011,9901.717077382495
04/2011,9883.684172723937
05/2011,9982.182628070685
06/2011,9743.803434162828
07/2011,9651.914649049546
08/2011,8932.753789793232
09/2011,8737.912206346675
10/2011,9290.322580656699
11/2011,9372.009483455251
12/2011,9700.696889163217
01/2012,10127.092463555822
02/2012,10396.364681390394
03/2012,10567.353976529488
04/2012,10516.344565001746
05/2012,10276.887707469683
06/2012,10520.65521943571
07/2012,10986.924348040753
08/2012,10998.13204966748
09/2012,11084.991737930164
10/2012,10937.20813271252
11/2012,11042.100725643646
12/2012,11113.657590366143
01/2013,11323.586464565928
02/2013,11784.17989800208
03/2013,12253.39464043723
04/2013,12300.291891245448
05/2013,12521.279994480195
06/2013,12166.9123253245
07/2013,12530.498527136839
08/2013,12365.450346167256
09/2013,12652.850791891264
10/2013,13088.7228640227
11/2013,13300.855655527532
12/2013,13407.645006911702
01/2014,13188.559131992946
02/2014,13506.232510608379
03/2014,13563.434880390407
04/2014,13614.70551621188
05/2014,14111.442374677314
06/2014,14316.200486897531
07/2014,14425.704165465168
08/2014,14964.377567580745
09/2014,15165.376887723993
10/2014,15373.582465502643
11/2014,15746.990709263971
12/2014,15958.082114531586
01/2015,16819.923796257357
02/2015,17895.937871196496
03/2015,18412.106399760152
04/2015,18074.833625920663
05/2015,18525.549817602267
06/2015,17798.9903248235
07/2015,18242.428700352757
08/2015,16809.765493002367
09/2015,16263.787479573512
10/2015,15795.390400161792
11/2015,16429.26687476125
12/2015,15699.737819548307
01/2016,14813.507218842105
02/2016,14636.211754019645
03/2016,14927.55222318378
04/2016,15079.255226221301
05/2016,15590.041575156367
06/2016,15450.67825915079
07/2016,16002.808109091453
08/2016,16093.286076349134
09/2016,16038.210021108704
10/2016,16122.999092733731
11/2016,16885.065354128288
12/2016,17390.115994936827
01/2017,17398.555207878326
02/2017,18191.749604145592
03/2017,18279.800347417397
04/2017,18227.269553617578
05/2017,18047.38153950369
06/2017,17864.10232065914
07/2017,17676.529246292223
08/2017,17552.30271950178
09/2017,18051.160182163992
10/2017,18693.32715851838
11/2017,18655.361328640363
12/2017,18790.8815825664
01/2018,19061.253048769966
02/2018,18659.106377587166
03/2018,18115.427787762175
04/2018,18657.490660845757
05/2018,19399.61334137131
06/2018,19349.95950143403
07/2018,19886.294603736882
08/2018,20229.077355550788
09/2018,20382.99430644647
10/2018,19331.5935958349
11/2018,19573.893676557956
12/2018,17936.82560832893
01/2019,19250.783547319457
02/2019,19953.89068037613
03/2019,20486.652386043268
04/2019,21242.2052807691
05/2019,20111.185547382585
06/2019,20973.14743087278
07/2019,21528.993021916303
08/2019,21307.093632883363
09/2019,22017.729129495638
10/2019,22080.982280657216
11/2019,22936.750689771325
12/2019,23247.52376251855
01/2020,23374.921673209203
02/2020,21590.73087968313
03/2020,18768.8490757573
04/2020,20831.760844983928
05/2020,21521.44626967173
06/2020,21975.128994118837
07/2020,21974.72242584058
08/2020,23204.042641142485
09/2020,22938.303686430576
10/2020,22480.133077646755
11/2020,24588.781204949035
12/2020,25196.615666125883
01/2021,25188.906514132064
02/2021,25786.795701416326
03/2021,27392.316208182074
04/2021,28023.794148005036
05/2021,27874.959067806587
06/2021,29266.609287584273
07/2021,29776.163805332653
08/2021,30745.749761682036
09/2021,29930.659558016294
10/2021,31643.779787909905
11/2021,31832.83380323133
12/2021,32743.576893322268
01/2022,30905.296333163165
02/2022,29931.159942572638
03/2022,30889.821343241696
04/2022,29626.247667237618
05/2022,28950.282032187362
06/2022,27155.87920835411
07/2022,30166.93078234416
08/2022,29198.49822752236
09/2022,27077.02022687051
10/2022,28523.74567921037
11/2022,29244.143430262102
12/2022,26901.622349897934
01/2023,28578.566961153258
02/2023,28581.004490488056
03/2023,28716.63581060953
04/2023,28657.13711663869
05/2023,29693.178295177502
06/2023,30678.69545153758
07/2023,31436.380158810578
08/2023,31105.682307330506
09/2023,30378.100657500672
10/2023,29432.150205291404
11/2023,31440.914166542272
12/2023,32810.32856584485
01/2024,33677.85521958443
02/2024,35294.78980049648
03/2024,36374.968600934466
04/2024,35104.323428450734
05/2024,36134.07859946915
06/2024,37601.82798278603
07/2024,37895.55756256577
08/2024,37931.74303121431
09/2024,38295.95175816108
