Date,FTSE Developed Europe
03/2005,10000
04/2005,9834.158270595204
05/2005,10327.823758226621
06/2005,10685.97950589456
07/2005,11051.12176022983
08/2005,11080.105543183858
09/2005,11571.141857019813
10/2005,11299.453099426593
11/2005,11674.793273822892
12/2005,12080.233852466858
01/2006,12510.065428146956
02/2006,12775.76092898601
03/2006,13091.002710718056
04/2006,13223.309338921004
05/2006,12641.453969625953
06/2006,12752.474823643282
07/2006,12992.02088563182
08/2006,13365.214090644986
09/2006,13622.206572324207
10/2006,14107.13241945717
11/2006,14058.277717251845
12/2006,14578.99924636311
01/2007,14882.864532765765
02/2007,14592.376833157721
03/2007,15003.277673334434
04/2007,15615.130958153686
05/2007,16155.294628681542
06/2007,16109.464104632898
07/2007,15561.570428108922
08/2007,15446.685735346966
09/2007,15557.31825971863
10/2007,16018.64603220865
11/2007,15319.004719440543
12/2007,15105.51966517995
01/2008,13358.846620564926
02/2008,13251.662123343045
03/2008,12763.348412109528
04/2008,13603.197261356658
05/2008,13730.081747709033
06/2008,12346.734325722135
07/2008,12117.403177845164
08/2008,12332.038334797127
09/2008,10994.637220850347
10/2008,9554.230550580645
11/2008,8919.022129301664
12/2008,8590.539337320395
01/2009,8265.49853355697
02/2009,7497.368770411384
03/2009,7686.403237601787
04/2009,8815.698296968312
05/2009,9280.597406738736
06/2009,9180.773024604494
07/2009,10049.55741520538
08/2009,10583.464025349565
09/2009,10876.475626451504
10/2009,10630.786834778763
11/2009,10759.663717648004
12/2009,11430.848952417147
01/2010,11097.113134495534
02/2010,11063.671358836446
03/2010,11902.530823491808
04/2010,11805.083081496748
05/2010,11240.32199837973
06/2010,11172.951675738594
07/2010,11741.311516835332
08/2010,11574.88741166527
09/2010,11983.445204463906
10/2010,12283.75597148009
11/2010,12112.232587628409
12/2010,12762.33911726547
01/2011,13007.083277742195
02/2011,13333.857156262495
03/2011,12876.776348456118
04/2011,13321.147418645807
05/2011,13311.07854241045
06/2011,12960.356707299467
07/2011,12609.511153556768
08/2011,11307.662691277208
09/2011,10769.115478314254
10/2011,11626.60945747216
11/2011,11495.616324805897
12/2011,11716.818602572308
01/2012,12194.195689115362
02/2012,12700.05150193003
03/2012,12685.041303301037
04/2012,12482.06783416212
05/2012,11738.52659377144
06/2012,12345.081461952392
07/2012,12865.626670449468
08/2012,13139.370312066072
09/2012,13256.604049123674
10/2012,13358.969618878102
11/2012,13661.778014743983
12/2012,13868.573792188996
01/2013,14265.107418004698
02/2013,14403.34798779281
03/2013,14648.21275986317
04/2013,14912.441636479725
05/2013,15239.984922511068
06/2013,14465.729638865603
07/2013,15208.421415654431
08/2013,15126.17049097726
09/2013,15795.942456221532
10/2013,16399.19079454053
11/2013,16581.668086677975
12/2013,16748.6998496297
01/2014,16458.781652687343
02/2014,17247.30331419782
03/2014,17124.33489651765
04/2014,17449.41791560434
05/2014,17926.68610699286
06/2014,17857.814294282296
07/2014,17578.307029208987
08/2014,17935.334395611226
09/2014,17896.973533280474
10/2014,17680.650205814134
11/2014,18249.241621474383
12/2014,17995.662644299682
01/2015,19294.789371598712
02/2015,20559.437195650797
03/2015,21001.57890072334
04/2015,21038.078712041315
05/2015,21864.930831657253
06/2015,20418.06758795512
07/2015,21235.692396743503
08/2015,19463.91689854901
09/2015,18304.74598095097
10/2015,20183.941831333916
11/2015,20738.571212063172
12/2015,19662.85260770358
01/2016,18032.633059003823
02/2016,18039.671772313664
03/2016,18313.60380076579
04/2016,18689.790273513194
05/2016,19166.45924036449
06/2016,18342.832873694962
07/2016,18992.175814557162
08/2016,19130.929293663994
09/2016,19123.697904510223
10/2016,18948.136433670832
11/2016,19151.957549670053
12/2016,20211.334109711283
01/2017,20208.124796023338
02/2017,20763.284917878133
03/2017,21516.27220650029
04/2017,21926.993920718232
05/2017,22301.45697796267
06/2017,21748.74373666904
07/2017,21697.86878242418
08/2017,21506.46500533544
09/2017,22253.141884444463
10/2017,22794.33059102898
11/2017,22346.704185225553
12/2017,22540.259937987183
01/2018,22941.7958014547
02/2018,22017.793884952025
03/2018,21599.133053685135
04/2018,22640.101880606566
05/2018,22707.16785423931
06/2018,22562.345050108608
07/2018,23266.800702173256
08/2018,22754.719372143783
09/2018,23060.79965880101
10/2018,21633.38220822167
11/2018,21420.87883372611
12/2018,20255.5569906059
01/2019,21533.065404085733
02/2019,22420.928536160725
03/2019,22893.19606163956
04/2019,23779.53128875952
05/2019,22637.134683037668
06/2019,23652.187313085484
07/2019,23733.68164007656
08/2019,23383.94798582053
09/2019,24266.247606824996
10/2019,24502.967773140364
11/2019,25164.983186397858
12/2019,25708.022982035352
01/2020,25385.969738633365
02/2020,23250.580480272096
03/2020,19896.046744926367
04/2020,21183.337049713813
05/2020,21883.79643578644
06/2020,22546.271882021334
07/2020,22289.61251855902
08/2020,22970.887368460535
09/2020,22651.33703253206
10/2020,21500.97023938054
11/2020,24514.515919415284
12/2020,25142.232342014973
01/2021,24966.810806339017
02/2021,25602.64364305613
03/2021,27248.76104909227
04/2021,27868.63235393417
05/2021,28629.117305581673
06/2021,29105.94980245771
07/2021,29668.034983708454
08/2021,30279.66573565759
09/2021,29360.730999369385
10/2021,30719.71871844003
11/2021,29937.025595614276
12/2021,31563.604105711605
01/2022,30511.398386052693
02/2022,28643.51513677077
03/2022,30119.293312009922
04/2022,29433.926339081718
05/2022,29458.055794177184
06/2022,27131.307979849098
07/2022,28844.160795571865
08/2022,27745.4708463408
09/2022,25628.136831223896
10/2022,27585.689143118336
11/2022,29500.64403237448
12/2022,28493.876463615758
