Date,FTSE EPRA Nareit Developed Green EU CTB
12/2021,10000
01/2022,9534.066277412174
02/2022,9340.506551582728
03/2022,9805.112382588997
04/2022,9723.632564588255
05/2022,9193.364447655686
06/2022,8540.71549922865
07/2022,9395.301607139369
08/2022,8870.110722724521
09/2022,7982.29803354879
10/2022,8044.123103360736
11/2022,8290.281005292038
12/2022,7776.953269933019
01/2023,8335.566013786638
02/2023,8145.101447011267
03/2023,7654.045187369407
04/2023,7715.264894842702
05/2023,7621.50207971255
06/2023,7700.394461910992
07/2023,7968.6285613856935
08/2023,7846.05245171747
09/2023,7553.47692788377
10/2023,7233.679626628132
11/2023,7748.946474252572
12/2023,8338.571344880782
01/2024,8175.709347966178
02/2024,8142.229881466148
03/2024,8380.386846062216
04/2024,7991.505789997851
05/2024,8115.352770020894
06/2024,8212.723349411235
07/2024,8575.185026069636
08/2024,8918.515300044914
09/2024,9130.19586400828
