Date,FTSE Emerging All Cap Choice
05/2020,10000
06/2020,10676.085982259998
07/2020,11053.521491289277
08/2020,11194.963466774174
09/2020,11229.883887231566
10/2020,11636.692512859667
11/2020,12192.127015183156
12/2020,12592.313130554114
01/2021,13158.632908359588
02/2021,13319.447629357404
03/2021,13485.971410920267
04/2021,13549.855798633194
05/2021,13556.744731713035
06/2021,13997.902871740192
07/2021,13055.555819857722
08/2021,13465.295096577658
09/2021,13153.542329347252
10/2021,13352.455514520878
11/2021,13279.855294347326
12/2021,13315.441771863652
01/2022,13342.455143429646
02/2022,12965.228966630424
03/2022,12899.707981545147
04/2022,12814.17673918337
05/2022,12611.590725051763
06/2022,12266.097409882144
07/2022,12439.081944992733
08/2022,12722.19425838428
09/2022,11645.998281556076
10/2022,11134.475970067237
11/2022,12134.836592388625
12/2022,11537.373889202468
01/2023,12107.06201273425
02/2023,11693.012395295755
03/2023,11624.052357764856
04/2023,11336.651343835814
05/2023,11579.035476133884
06/2023,11735.24393681595
07/2023,12287.228748952537
08/2023,11823.161919511324
09/2023,11845.679338718
10/2023,11441.373469977454
11/2023,11872.595465970026
12/2023,12165.944600801982
01/2024,11898.641817840487
02/2024,12459.834193360868
03/2024,12666.117109718576
04/2024,12883.817576310033
05/2024,12787.719909478803
06/2024,13407.931601620847
07/2024,13349.615260655619
08/2024,13330.683064304387
09/2024,14316.254746112645
