Date,FTSE Emerging Markets US Dollar Government Bond (EUR Hedged)
01/1996,10000
02/1996,9411.619966547325
03/1996,9618.455186777439
04/1996,10060.076581744792
05/1996,10189.509867617719
06/1996,10454.49560645646
07/1996,10507.264207019532
08/1996,10810.808071033945
09/1996,11445.524207111688
10/1996,11518.696175059786
11/1996,12120.871981310736
12/1996,12222.713721587115
01/1997,12661.21102371638
02/1997,12842.712523557411
03/1997,12370.790192744547
04/1997,12805.665758928777
05/1997,13291.448371831557
06/1997,13589.435221151678
07/1997,14189.29790851661
08/1997,14063.237537035247
09/1997,14488.409062633915
10/1997,13007.109845500247
11/1997,13658.985453154735
12/1997,14035.784225635069
01/1998,14162.720080360146
02/1998,14475.580929210266
03/1998,14809.167691903622
04/1998,14781.161443717945
05/1998,14425.300544181953
06/1998,14143.16454937956
07/1998,14293.27767103026
08/1998,10773.466406786378
09/1998,11568.036567552748
10/1998,12189.132027480959
11/1998,13166.254267980814
12/1998,12816.208420305684
01/1999,12388.732991434086
02/1999,12587.182003750755
03/1999,13572.22967150947
04/1999,14397.782723490134
05/1999,13619.671647705543
06/1999,13987.383825677463
07/1999,13762.77168779346
08/1999,13845.491030904559
09/1999,14336.001253323378
10/1999,14889.92410942619
11/1999,15254.9821908277
12/1999,15934.375619174003
01/2000,15736.663855904673
02/2000,16389.202987701763
03/2000,16719.223308128632
04/2000,16466.549628380402
05/2000,16078.553885993651
06/2000,16818.171345894214
07/2000,16987.637255037484
08/2000,17993.373974187067
09/2000,17760.99307446676
10/2000,17434.84331153841
11/2000,17362.067614953256
12/2000,18087.815577150806
01/2001,18962.01785064256
02/2001,18664.73138791741
03/2001,18458.47675131207
04/2001,18362.791040580953
05/2001,18783.24417227667
06/2001,19115.356436875354
07/2001,17923.270805398508
08/2001,18734.27240430738
09/2001,18117.04750187768
10/2001,18076.563313565843
11/2001,17997.60394059616
12/2001,18283.075987337746
01/2002,18604.17559429185
02/2002,19333.0384337144
03/2002,19390.037000686563
04/2002,19597.305354731987
05/2002,19484.88409062634
06/2002,18417.808250738402
07/2002,17549.107698262396
08/2002,18855.80790976072
09/2002,18271.11412154472
10/2002,19520.926353427978
11/2002,20143.136902540286
12/2002,20773.106997875802
01/2003,21126.48889749013
02/2003,21834.303276611234
03/2003,22221.40510452809
04/2003,23492.929320855394
05/2003,24462.052409191652
06/2003,24484.48321145685
07/2003,23665.970887878244
08/2003,24305.93992341826
09/2003,25106.371214110946
10/2003,25330.633158697463
11/2003,25731.22664418057
12/2003,26442.58903434198
01/2004,26642.60470088424
02/2004,26647.793091054864
03/2004,27329.591794418102
04/2004,25807.587214258394
05/2004,25373.107919437112
06/2004,25820.959068854452
07/2004,26562.85278518867
08/2004,27734.986614321984
09/2004,28210.44774056206
10/2004,28646.770158001687
11/2004,28830.299092722893
12/2004,29525.31298525963
01/2005,29771.259267450914
02/2005,29958.373075664793
03/2005,29180.38180285039
04/2005,29682.54056021712
05/2005,30613.27140441336
06/2005,31156.716108430905
07/2005,31128.45182307866
08/2005,31669.684779954194
09/2005,32314.399856236436
10/2005,31809.06171235307
11/2005,32270.607262824677
12/2005,32827.792445961946
01/2006,33308.73686199159
02/2006,34025.73920736511
03/2006,33434.56684314566
04/2006,33394.386770065845
05/2006,32693.852725287183
06/2006,32665.404127673104
07/2006,33731.245075406754
08/2006,34583.44968044862
09/2006,34832.10535288886
10/2006,35530.611962787356
11/2006,35932.09014712727
12/2006,36274.1368426388
01/2007,36192.44964819397
02/2007,36705.6026319791
03/2007,37088.38233735595
04/2007,37425.93181367873
05/2007,37271.64401929749
06/2007,36589.65178805933
07/2007,36155.891311059204
08/2007,36605.67773922579
09/2007,37512.060933633766
10/2007,38408.067347700475
11/2007,38287.59163775268
12/2007,38537.85082687088
01/2008,38796.26583357524
02/2008,38661.09122074619
03/2008,38777.346179897984
04/2008,39298.793215465645
05/2008,39256.16178930344
06/2008,38409.3759647595
07/2008,38834.31710003087
08/2008,39095.321694014
09/2008,36776.72873382084
10/2008,31205.835326209664
11/2008,32021.241988176367
12/2008,34486.363196527556
01/2009,34842.04899941481
02/2009,34449.88779991061
03/2009,35697.36848168167
04/2009,37432.89881717606
05/2009,38798.62503052672
06/2009,39321.74009206398
07/2009,40328.14033535616
08/2009,41289.605249213215
09/2009,43198.74851974215
10/2009,43527.81963202057
11/2009,44155.95582035084
12/2009,43960.004239182024
01/2010,44133.92128944858
02/2010,44761.72571570755
03/2010,45706.040373600954
04/2010,46149.08097298443
05/2010,45496.680075383716
06/2010,46261.45615902462
07/2010,48187.70360745175
08/2010,49297.24499246623
09/2010,50076.738410214595
10/2010,51116.95995355332
11/2010,49523.617312450755
12/2010,49241.36151467816
01/2011,48944.89524151818
02/2011,48989.406652751095
03/2011,49598.98259631468
04/2011,50195.98844362119
05/2011,50942.55447579289
06/2011,51558.88546375269
07/2011,52454.36658787318
08/2011,52879.74085695986
09/2011,50920.01308617059
10/2011,53018.22387488884
11/2011,52588.74865797634
12/2011,53409.45429747077
01/2012,54164.71065278795
02/2012,55685.39740027555
03/2012,55822.4704294015
04/2012,56659.92083788355
05/2012,55323.48184293831
06/2012,57051.32635711422
07/2012,59224.2296899407
08/2012,59918.88417356686
09/2012,60881.64848886985
10/2012,61464.53601691987
11/2012,62412.186726752465
12/2012,62836.13257580994
01/2013,62132.48365380628
02/2013,61900.61882841911
03/2013,61419.33343470508
04/2013,63254.68729120878
05/2013,61113.80821387594
06/2013,57911.41952696258
07/2013,58503.08953428899
08/2013,56870.00916953503
09/2013,58390.281214433504
10/2013,59922.98512139267
11/2013,58605.13401805339
12/2013,58926.13225326348
01/2014,58375.5085866475
02/2014,60226.27094824051
03/2014,61020.90561829853
04/2014,62013.59302931026
05/2014,63951.811559143505
06/2014,64217.138275666635
07/2014,64353.02249070375
08/2014,64986.5129502403
09/2014,63420.199702335696
10/2014,64686.08396345088
11/2014,64498.260553028944
12/2014,63086.41941176742
01/2015,63799.40374983298
02/2015,64050.280385028316
03/2015,64246.66510001244
04/2015,65089.08272395091
05/2015,64841.099791266366
06/2015,63800.38060482069
07/2015,64063.79968943384
08/2015,63500.21887081093
09/2015,62729.775185118626
10/2015,64629.82264552605
11/2015,64320.31627984131
12/2015,63478.359436557424
01/2016,63500.61514217387
02/2016,64712.00748307783
03/2016,66820.88995175627
04/2016,67934.24660059072
05/2016,67764.22775466194
06/2016,70366.56944194857
07/2016,71343.48893896039
08/2016,72680.88635766716
09/2016,72923.45972546689
10/2016,71903.89037106666
11/2016,68732.99143408763
12/2016,69542.59225980658
01/2017,70606.02793252328
02/2017,72031.95974620202
