Date,FTSE Emerging Markets USD Government and Government-Related Bond Select
05/2018,10000
06/2018,9897.100014942767
07/2018,10084.908840056301
08/2018,9936.86469878274
09/2018,10205.470144558341
10/2018,10218.118040157477
11/2018,10127.35923881451
12/2018,10192.573383880503
01/2019,10599.627770420042
02/2019,10779.569341036873
03/2019,11101.722763597212
04/2019,11146.944509192404
05/2019,11236.47428554849
06/2019,11461.208290015798
07/2019,11864.231279288151
08/2019,11931.648535284477
09/2019,12091.954252940135
10/2019,11815.944099630673
11/2019,11923.904534575679
12/2019,11984.032515817551
01/2020,12356.603414651794
02/2020,12197.40222928584
03/2020,10316.234352085388
04/2020,10642.631526306976
05/2020,11118.360933851418
06/2020,11407.169755514387
07/2020,11190.334043712897
08/2020,11169.408009832994
09/2020,11180.220306448919
10/2020,11221.3102969581
11/2020,11410.627290557712
12/2020,11359.33325393294
01/2021,11342.701030504159
02/2021,11035.816652409474
03/2021,11232.650180025803
04/2021,11177.602221437874
05/2021,11203.256418797397
06/2021,11607.207544662297
07/2021,11641.26568148681
08/2021,11818.476201329668
09/2021,11794.212016472202
10/2021,11750.40351593226
11/2021,11769.77765717259
12/2021,12008.81848665582
01/2022,11815.328723337152
02/2022,10925.56121850082
03/2022,10933.65509370962
04/2022,10828.393650776383
05/2022,10677.789014127533
06/2022,10195.32056390114
07/2022,10724.604040288914
08/2022,10849.764098889284
09/2022,10325.277171022926
10/2022,10243.71660052879
11/2022,10537.39191425683
12/2022,10297.262107186965
01/2023,10468.191215959912
02/2023,10409.942981606255
03/2023,10241.979037711528
04/2023,10201.897998402568
05/2023,10413.496960868957
06/2023,10445.657642564516
07/2023,10546.33611432244
08/2023,10479.218917950555
09/2023,10442.421962716673
10/2023,10256.785925756745
11/2023,10607.48892904028
12/2023,11043.29488287336
01/2024,11104.084772410242
02/2024,11205.96910856549
03/2024,11485.169652669738
04/2024,11339.222739580457
05/2024,11391.56374228521
06/2024,11667.026880121615
07/2024,11714.117637871583
08/2024,11760.316899495623
09/2024,11860.723662760756
